"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,45.5,227,3510,47.52,31.5,5,2014,1,1,1,"winter","1.pre","beijing","north",3,12.8,-3.4,33,15,1.8,6.2,14,11.1,14,7.7,0,101060,101320,100820,-1,20.3,-9.5
"2",2014-01-02,3,168.5,113,1980,21.6,10.5,27.5,2014,1,2,1,"winter","1.pre","beijing","north",1,7.4,-2.5,55,32,1.1,3.4,4,4.7,4,6.6,0,101430,101740,101160,-0.9,16,-8.6
"3",2014-01-03,4,46.3,173,2880,39.96,18.2,3.75,2014,1,3,1,"winter","1.pre","beijing","north",4.4,8.5,-1,31,18,2.3,5.6,16,11.1,16,8.4,0,101800,102070,101280,1.2,18.6,-7.4
"4",2014-01-04,5,163.5,103,2160,34.56,16.1,20,2014,1,4,1,"winter","1.pre","beijing","north",-1.3,3.3,-4.5,74,31,1.5,3.5,9,5.9,10,6,0,101890,102160,101570,-4.1,9.6,-9.6
"5",2014-01-05,6,89.7,137,1980,35.64,21,5,2014,1,5,1,"winter","1.pre","beijing","north",1.2,6.4,-5.9,46,24,2.3,5.2,4,7.7,4,8.4,0,102010,102220,101680,-2.5,16.2,-11.9
"6",2014-01-06,7,154.5,93,1980,29.16,14.7,23.75,2014,1,6,1,"winter","1.pre","beijing","north",-0.8,1.4,-2.9,77,37,1.3,3.5,9,5.7,8,0,0,102220,102430,101990,-1,3.2,-8.8
"7",2014-01-07,8,108.7,18.87,990,7.56,4.9,26.25,2014,1,7,1,"winter","1.pre","beijing","north",1.3,4.9,-2.8,51,17,2.6,5.1,3,7.9,3,2,0,102260,102620,101990,-0.6,12.5,-6.3
"8",2014-01-08,9,19.05,46.62,1170,15.12,6.3,27.5,2014,1,8,2,"winter","1.pre","beijing","north",-1.4,3.5,-3.9,20,13,3.7,6.4,2,10.1,1,7.5,0,102940,103200,102620,-2.8,12.6,-8.8
"9",2014-01-09,10,31.74,109,2070,35.64,21.7,6.25,2014,1,9,2,"winter","1.pre","beijing","north",-2.7,0.9,-5.1,19,9,2.5,5.3,1,9.4,16,8.2,0,102790,103040,102530,-4.5,15.1,-12.4
"10",2014-01-10,11,74.5,195,3060,51.84,32.9,3.75,2014,1,10,2,"winter","1.pre","beijing","north",-4.3,3.1,-10.4,31,12,1.2,2.9,10,4.2,11,8.1,0,102680,102870,102530,-6.5,14.4,-15.3
"11",2014-01-11,12,168.5,39.96,1080,17.28,7.7,27.5,2014,1,11,2,"winter","1.pre","beijing","north",-3.1,4.3,-9.1,40,17,1.1,2.6,12,3.7,10,7.3,0,102660,102850,102330,-6.4,14,-14.4
"12",2014-01-12,13,24.22,149,2610,43.2,30.1,7.5,2014,1,12,2,"winter","1.pre","beijing","north",-1,3.9,-4.7,21,13,2.2,6.5,1,11.7,1,8.2,0,103180,103510,102580,-3.2,16.9,-12.7
"13",2014-01-13,14,131.5,143,2700,41.04,32.2,6.25,2014,1,13,2,"winter","1.pre","beijing","north",-3.1,3.2,-8.6,37,18,1,2.7,11,4,12,7.6,0,102800,103140,102520,-6.1,14,-14
"14",2014-01-14,15,131.5,279,3240,49.68,32.9,7.5,2014,1,14,2,"winter","1.pre","beijing","north",-3,2.3,-7.2,53,32,1.4,3.1,4,4.5,10,7.7,0,102990,103220,102680,-6.1,13.4,-13.8
"15",2014-01-15,16,199.5,457,4230,61.36,41.4,8.75,2014,1,15,3,"winter","1.pre","beijing","north",-3,5.2,-9.1,49,18,0.9,2.6,10,4.3,6,7.4,0,102720,103010,102470,-4.4,16.5,-14.7
"16",2014-01-16,17,449.5,131,2160,33.48,23.1,17.5,2014,1,16,3,"winter","1.pre","beijing","north",-0.5,4.6,-4,68,28,1.8,3.8,3,5.8,2,3.3,0,102390,102610,102220,-2.1,12.2,-7.7
"17",2014-01-17,18,178.5,69,1710,34.56,15.4,17.5,2014,1,17,3,"winter","1.pre","beijing","north",-0.2,4.4,-2.7,67,31,1.8,4.5,12,6.8,13,5.5,0,102740,102910,102590,0.6,13.2,-7.2
"18",2014-01-18,19,49.1,205,2520,35.64,28,32.5,2014,1,18,3,"winter","1.pre","beijing","north",-1.5,5.5,-7.5,59,22,1.7,3.8,10,5.8,11,7.1,0,102890,103130,102730,-4.1,15.3,-13.3
"19",2014-01-19,20,122,33.3,990,7.56,2.1,30,2014,1,19,3,"winter","1.pre","beijing","north",0.2,4.4,-3.9,54,19,3,8,14,14.9,15,2.7,0,102120,102810,101670,0.4,12,-8.7
"20",2014-01-20,21,10.08,39.96,1530,22.68,12.6,22.5,2014,1,20,3,"winter","1.pre","beijing","north",0.2,3.7,-2,23,18,4.4,9.8,15,18.1,14,8.9,0,102540,102900,102090,-0.6,13.6,-7.3
"21",2014-01-21,22,33.15,159,2430,47.52,32.2,7.5,2014,1,21,3,"winter","1.pre","beijing","north",-1.3,3.5,-5.8,25,16,2,5,1,10.1,1,8.3,0,102840,103150,102490,-3.7,16.1,-13.6
"22",2014-01-22,23,161.5,301,3690,59.52,47.8,2.5,2014,1,22,4,"winter","1.pre","beijing","north",-2.1,6.2,-7.9,35,17,1,3.5,11,5.4,11,7.1,0,101990,102480,101700,-4.2,17.5,-13.4
