"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,35.9,125,990,30.24,35,NA,2014,1,1,1,"winter","1.pre","changchun","northeast",-10.9,-6.8,-14.3,53,37,3.1,6.6,14,11.1,14,7.3,0,98050,98730,97360,-4.5,-3.6,-4.9
"2",2014-01-02,3,51.9,155,900,32.4,34.3,NA,2014,1,2,1,"winter","1.pre","changchun","northeast",-11.5,-3.8,-19.6,54,33,2.2,4.8,9,7.3,9,4.8,0,98650,99120,98190,-5.7,-4.5,-7
"3",2014-01-03,4,104.9,149,1080,34.56,34.3,NA,2014,1,3,1,"winter","1.pre","changchun","northeast",-14.2,-5,-17.8,67,55,1.7,3.2,1,4.9,1,7.5,0,99220,99550,98310,-5.6,-4.6,-6.2
"4",2014-01-04,5,91.6,321,2070,52.92,36.6,NA,2014,1,4,1,"winter","1.pre","changchun","northeast",-15,-7.5,-19.9,68,38,1.5,4.3,11,6.2,12,6.8,0,99520,99660,99380,-7,-5.5,-8.1
"5",2014-01-05,6,231.5,201,1260,36.72,38.2,NA,2014,1,5,1,"winter","1.pre","changchun","northeast",-14.4,-8.3,-17.6,67,34,1,2.3,2,3,2,6.4,0,99630,99830,99410,-7,-5.7,-7.7
"6",2014-01-06,7,172.5,121,990,29.16,37.4,NA,2014,1,6,1,"winter","1.pre","changchun","northeast",-8.7,-3.5,-17.8,60,46,3.7,6,11,9.4,12,7.4,0,99390,99840,98970,-6.6,-5,-8
"7",2014-01-07,8,57.4,89,720,24.84,31.5,NA,2014,1,7,1,"winter","1.pre","changchun","northeast",-7.2,-2,-12.6,71,53,3.6,8.2,11,12.6,11,7.6,0,99410,99720,98920,-4.4,-3.7,-5.3
"8",2014-01-08,9,43.1,103,900,27,36.6,NA,2014,1,8,2,"winter","1.pre","changchun","northeast",-17.6,-10.8,-21.3,53,39,2.6,4.2,14,6.5,13,8.1,0,99930,100030,99700,-6.8,-5.3,-7.5
"9",2014-01-09,10,49.5,113,810,31.32,44.6,NA,2014,1,9,2,"winter","1.pre","changchun","northeast",-18.2,-13.9,-22.7,51,40,2.9,5,12,7.7,12,7,0,99700,99940,99580,-8,-7.1,-9
"10",2014-01-10,11,65,129,900,31.32,44.6,NA,2014,1,10,2,"winter","1.pre","changchun","northeast",-15.1,-10.8,-19.4,46,38,2.5,4.4,12,6.4,12,7,0,99690,99780,99590,-7.8,-6.7,-8.8
