,date,X,PM25,PM10,CO,NO2,SO2,O3,year,month,day,week,season,covid,city,region,avgtemp,maxtemp,mintemp,avgrh,minrh,avgws,maxws,maxwswd,extremews,extremewswd,daylight,precipitation,avgp,maxp,minp,avggt,maxgt,mingt
1,2014/1/1,2,191.5,175,2070,54,23.8,NA,2014,1,1,1,winter,1.pre,changsha,central,8.8,17.7,0.7,49,21,1.3,3.3,8,4.8,8,8.9,0,100600,100940,100230,8.7,30.9,-2.4
2,2014/1/2,3,187.5,117,1800,37.8,24.5,13.75,2014,1,2,1,winter,1.pre,changsha,central,10.9,17.2,5.7,49,33,1.8,3.8,2,5.7,15,3.8,0,100260,100430,100010,10.8,27.8,1.6
3,2014/1/3,4,222.5,109,1530,41.04,22.4,28.75,2014,1,3,1,winter,1.pre,changsha,central,10.5,13.7,9.2,49,33,3.1,4.8,16,7.7,16,0,0,100690,100880,100300,8.3,15.6,4.9
4,2014/1/4,5,135.3,123,1890,48.6,21,30,2014,1,4,1,winter,1.pre,changsha,central,8.9,16.7,4.7,44,16,2.3,5.8,2,8.6,2,8.6,0,100980,101290,100730,9.1,29.8,0.8
5,2014/1/5,6,151.5,121,1710,46.44,20.3,20,2014,1,5,1,winter,1.pre,changsha,central,8.6,17.1,1.6,51,20,1.8,3.7,8,6.2,9,7.9,0,100560,100880,100200,9.6,31.3,-2.5
6,2014/1/6,7,158.5,NA,1980,27,9.8,8.75,2014,1,6,1,winter,1.pre,changsha,central,10.6,12.5,8.7,51,33,2,3.8,6,6.6,6,0,0,100290,100480,100070,10.8,15.2,9
7,2014/1/7,8,192.5,NA,1440,19.44,11.9,16.25,2014,1,7,1,winter,1.pre,changsha,central,5.5,8.7,5,95,81,4.2,6.2,15,12.1,16,0,5.5,100530,100930,100240,6,9.4,5.3
8,2014/1/8,9,142.9,NA,1710,24.84,14.7,NA,2014,1,8,2,winter,1.pre,changsha,central,5.7,7,4.9,85,74,4.6,7.1,1,12.6,1,0,1.4,101450,101740,100930,5.6,9.1,4.4
9,2014/1/9,10,148.6,NA,1890,25.92,13.3,NA,2014,1,9,2,winter,1.pre,changsha,central,5.1,7.1,3.3,78,68,2.5,4.8,1,8.7,1,0,0,101590,101830,101440,4.5,9.4,1.8
10,2014/1/10,11,157.5,NA,1260,17.28,7.7,NA,2014,1,10,2,winter,1.pre,changsha,central,4.3,5.5,2.4,94,81,1,3,14,4.8,2,0,3.1,101340,101560,101090,4.4,7.2,0.2
11,2014/1/11,12,48.7,NA,1350,19.44,14.7,NA,2014,1,11,2,winter,1.pre,changsha,central,3.7,4.7,3.4,95,92,3.3,4.5,16,8.1,16,0,3.4,101590,101790,101310,4.3,5,3.8
12,2014/1/12,13,104.9,NA,1710,29.16,18.2,NA,2014,1,12,2,winter,1.pre,changsha,central,5.6,9,3.6,79,58,3.1,5.5,16,8.9,1,2.1,0.1,101850,102090,101690,6.2,15.5,3
13,2014/1/13,14,180.5,NA,2160,35.64,16.8,NA,2014,1,13,2,winter,1.pre,changsha,central,5,9.5,3.1,71,48,2.6,4.8,1,7.2,1,4.6,0,101700,101940,101430,4.9,15.7,0.7
14,2014/1/14,15,183.5,165,1620,35.64,14.7,NA,2014,1,14,2,winter,1.pre,changsha,central,3.9,11.8,-2,81,36,1.4,3.2,4,6.1,4,6.6,0,101570,101740,101460,5.5,22.4,-2.2
15,2014/1/15,16,139.1,203,1620,33.48,14.7,23.75,2014,1,15,3,winter,1.pre,changsha,central,5,12.2,-0.4,70,33,2,3.5,6,7.4,5,8.8,0,101590,101880,101290,6.6,24.8,-1.8
16,2014/1/16,17,153.5,245,1530,22.68,17.5,33.75,2014,1,16,3,winter,1.pre,changsha,central,6.5,12.6,0.2,66,39,1.7,3.9,2,6,1,4.9,0,101320,101500,101080,7.8,26.9,-1.5
17,2014/1/17,18,206.5,NA,1530,28.08,17.5,27.5,2014,1,17,3,winter,1.pre,changsha,central,8.9,13.5,5.9,65,44,3.4,6.1,1,8.6,16,7.7,0,101470,101640,101310,10,25.9,3.1
18,2014/1/18,19,195.5,NA,1530,36.72,18.9,32.5,2014,1,18,3,winter,1.pre,changsha,central,7.9,14,2.7,59,22,2.8,5.4,15,8.4,15,9,0,101850,102250,101590,9,28.5,-0.2
19,2014/1/19,20,156.5,81,1440,27,18.2,30,2014,1,19,3,winter,1.pre,changsha,central,7.3,15.1,1.4,51,28,1.2,3.1,7,6.8,1,9,0,101380,101750,101100,8.8,30.2,-1.6
20,2014/1/20,21,175.5,79,1350,30.24,13.3,30,2014,1,20,3,winter,1.pre,changsha,central,9.5,14.8,6.9,44,19,4.7,6.9,1,10.2,15,8.2,0,101630,101890,101310,10.9,28.5,3.8
