,date,X,PM25,PM10,CO,NO2,SO2,O3,year,month,day,week,season,covid,city,region,avgtemp,maxtemp,mintemp,avgrh,minrh,avgws,maxws,maxwswd,extremews,extremewswd,daylight,precipitation,avgp,maxp,minp,avggt,maxgt,mingt
1,2014/1/1,2,170.5,265,1620,47.52,12.6,16.25,2014,1,1,1,winter,1.pre,chengdu,southwest,3.5,4.5,2.3,89,80,1,1.6,3,2.6,5,0,0,93900,94350,93490,4.5,6.3,2.9
2,2014/1/2,3,192.5,269,1980,54,17.5,30,2014,1,2,1,winter,1.pre,chengdu,southwest,4.7,12.1,-1.4,72,28,1.2,2.7,6,4.7,8,7.5,0,93750,94040,93490,6.2,16.8,0.1
3,2014/1/3,4,167.5,364.1,2430,65.04,20.3,33.75,2014,1,3,1,winter,1.pre,chengdu,southwest,6.9,13.6,3,56,22,1.5,4.1,11,6.9,11,6.6,0,94230,94470,93860,6.8,17.5,1.9
4,2014/1/4,5,129.6,293,1440,62.28,26.6,26.25,2014,1,4,1,winter,1.pre,chengdu,southwest,6,13.8,1.1,57,23,0.8,2.5,13,4.4,13,8.4,0,94090,94490,93700,6.2,17.6,0.2
5,2014/1/5,6,168.5,223,1260,44.28,20.3,21.25,2014,1,5,1,winter,1.pre,chengdu,southwest,6.4,10.8,3.2,65,41,0.7,2.1,8,3.8,9,2.5,0,93430,93830,93110,7.2,15,2.6
6,2014/1/6,7,129.6,95,810,35.64,7.7,31.25,2014,1,6,1,winter,1.pre,chengdu,southwest,6.5,9.5,4,73,57,1.3,3.7,5,6,5,1.4,0,93320,93490,92990,7,14.5,3.9
7,2014/1/7,8,59.3,103,810,37.8,9.8,35,2014,1,7,1,winter,1.pre,chengdu,southwest,6.2,7.8,5.1,83,72,0.6,2.9,5,4.3,5,0,0.3,93830,94240,93450,6.7,10.6,5.3
8,2014/1/8,9,41.9,151,990,38.88,9.8,31.25,2014,1,8,2,winter,1.pre,chengdu,southwest,5.4,9.2,4,68,34,1.1,3.2,1,5.7,3,2.8,4.9,94550,94820,94240,8.2,18.2,4.5
9,2014/1/9,10,76.4,135,900,34.56,13.3,21.25,2014,1,9,2,winter,1.pre,chengdu,southwest,4.7,10,0,64,32,0.9,2.6,8,4.7,9,5.8,0,94270,94700,93880,6.9,17,0.7
10,2014/1/10,11,89.7,125,1080,38.88,10.5,26.25,2014,1,10,2,winter,1.pre,chengdu,southwest,4.7,6.5,3,81,56,1.3,3,5,4.9,5,0,0.6,94110,94280,93900,6,12.1,4.5
11,2014/1/11,12,70.7,177,1170,36.72,12.6,38.75,2014,1,11,2,winter,1.pre,chengdu,southwest,5.4,8.5,3.3,75,53,0.8,3.2,3,4.9,3,0,0,94590,94800,94230,6.4,13.3,4
12,2014/1/12,13,48.3,161,1170,41.04,8.4,43.75,2014,1,12,2,winter,1.pre,chengdu,southwest,6.2,9.6,4.7,61,35,1.1,4.6,14,7,15,2.3,0.1,94950,95130,94730,7.3,16.1,4.4
13,2014/1/13,14,63.1,271,1620,54,23.1,11.25,2014,1,13,2,winter,1.pre,chengdu,southwest,4.2,11,-1.1,64,28,0.8,2.9,10,5.2,11,6.8,0,94570,95050,94140,6,17.3,0
14,2014/1/14,15,125.8,245,1440,54.92,16.1,11.25,2014,1,14,2,winter,1.pre,chengdu,southwest,4.3,6.4,1.3,74,63,1,1.6,5,2.9,5,0,0,94380,94590,94210,4.7,8.1,1.9
15,2014/1/15,16,153.5,297,1620,57.68,17.5,35,2014,1,15,3,winter,1.pre,chengdu,southwest,5.3,9,3.7,78,50,0.4,1.3,6,2.3,7,0,0,94310,94600,94040,6.2,10.5,4.2
16,2014/1/16,17,175.5,339,1620,59.52,17.5,15,2014,1,16,3,winter,1.pre,chengdu,southwest,5.7,11.8,0.9,73,42,0.2,1.8,5,3.1,11,1.7,0,94350,94510,94120,6.4,16.1,0.9
17,2014/1/17,18,174.5,362.7,1800,39.96,18.9,8.75,2014,1,17,3,winter,1.pre,chengdu,southwest,4.8,8,1.1,78,60,0.6,1.6,6,2.6,2,0,0,94660,94890,94490,4.8,9.2,0.8
18,2014/1/18,19,213.5,149,1080,35.64,13.3,37.5,2014,1,18,3,winter,1.pre,chengdu,southwest,5.2,7,4.6,87,69,0.2,1.2,7,1.8,7,0,0,94670,94960,94390,5.9,7.6,4.7
19,2014/1/19,20,106.8,135,1350,45.36,9.1,35,2014,1,19,3,winter,1.pre,chengdu,southwest,7.7,13.6,4.5,72,34,1.5,3.3,13,5.3,13,2.7,3.6,94530,94880,94160,8.8,18.6,5.3
20,2014/1/20,21,48.3,195,1260,48.6,15.4,47.5,2014,1,20,3,winter,1.pre,chengdu,southwest,9.1,15.2,2.9,53,25,1.1,3.7,13,6.2,13,8.7,0,94820,95090,94500,8.7,20.6,2.1
21,2014/1/21,22,99.2,362,1980,72.4,18.2,25,2014,1,21,3,winter,1.pre,chengdu,southwest,6.7,13.1,1.2,65,38,1,2.7,7,4.9,7,7.2,0,94510,94760,94300,7.6,18.7,0.8
22,2014/1/22,23,170.5,367.6,1800,73.32,27.3,32.5,2014,1,22,4,winter,1.pre,chengdu,southwest,6.8,13.7,1.8,66,36,0.4,2.3,8,4,7,5.8,0,94000,94500,93610,7.9,19.1,1.6
23,2014/1/23,24,218.5,327,1890,68.72,21,12.5,2014,1,23,4,winter,1.pre,chengdu,southwest,6.9,14.1,2.1,68,38,0.2,2.2,8,4,7,4.6,0,93370,93870,92900,7.6,19.1,1.4
24,2014/1/24,25,188.5,295,2070,63.2,16.8,15,2014,1,24,4,winter,1.pre,chengdu,southwest,9.4,18.3,3.9,61,26,0.8,3.2,13,5.7,13,5.7,0,93130,93580,92820,9,20.9,2.6
25,2014/1/25,26,180.5,293,1620,57.68,16.1,46.25,2014,1,25,4,winter,1.pre,chengdu,southwest,11.1,17.4,5.8,46,20,0.7,3.5,13,6.1,5,6.2,0,93730,93910,93480,9.8,20.2,3.4
26,2014/1/26,27,200.5,382.3,1620,43.2,11.9,20,2014,1,26,4,winter,1.pre,chengdu,southwest,10.7,17.1,5.5,54,34,0.4,2.6,6,4.5,7,4,0,93930,94210,93570,10.3,20.6,3.7
27,2014/1/27,28,276.5,406.1,1800,43.2,11.2,33.75,2014,1,27,4,winter,1.pre,chengdu,southwest,10.4,12.9,8.6,74,53,0.4,1.7,3,2.9,5,0,0,93750,93910,93510,10.5,14.3,8.5
28,2014/1/28,29,271.5,371.8,1440,37.8,8.4,28.75,2014,1,28,4,winter,1.pre,chengdu,southwest,10.3,15.7,6.9,67,38,1.2,2.6,6,4.5,4,1,0,93850,94010,93610,10.5,19.8,6.1
29,2014/1/29,30,263.5,380.9,1350,35.64,7,18.75,2014,1,29,5,winter,1.pre,chengdu,southwest,9,13.6,5.1,76,57,1,1.9,8,3.1,6,5.3,0,93900,94170,93540,10.7,19.9,4.8
30,2014/1/30,31,282.5,556,1440,29.16,9.8,22.5,2014,1,30,5,winter,1.pre,chengdu,southwest,9.6,12.6,7.4,80,60,0.9,1.6,11,2.9,11,0,0,93680,93980,93390,10.5,20.1,8.6
31,2014/1/31,32,373,217,1350,32.4,7,40,2014,1,31,5,winter,1.pre,chengdu,southwest,8.2,14.1,5.5,84,57,0.3,2.3,6,3.7,7,2.9,0,93170,93510,92870,10.6,20.8,5.5
32,2014/2/1,33,148.6,215,1440,36.72,9.8,46.25,2014,2,1,5,winter,1.pre,chengdu,southwest,9.3,16.3,4.1,78,52,0.8,2.1,6,4.3,7,7.5,0,93360,93580,93080,10.7,21.9,3.7
33,2014/2/2,34,120.1,199,1170,35.64,9.8,42.5,2014,2,2,5,winter,1.pre,chengdu,southwest,12.1,16.4,7.8,73,50,0.5,2.3,5,3.6,6,2.9,0,93280,93530,92910,12.6,23.2,7.1
34,2014/2/3,35,125.8,331,2250,54.92,18.2,41.25,2014,2,3,5,winter,1.pre,chengdu,southwest,13,17.5,10.3,69,43,0.9,2.2,9,4.6,11,3.5,0,93300,93640,93130,14.2,23.7,10.3
35,2014/2/4,36,141,107,1080,19.44,7,32.5,2014,2,4,5,winter,1.pre,chengdu,southwest,10.2,13.6,9.9,84,65,0.8,1.7,3,3.4,4,0,0,92700,93380,92230,10.7,12.3,10.3
36,2014/2/5,37,59.3,55.5,900,18.36,7,25,2014,2,5,6,winter,1.pre,chengdu,southwest,9.1,10.3,7.2,80,66,1.3,3.4,5,5.8,4,0,0.1,92600,92860,92380,10,12.5,8.6
37,2014/2/6,38,26.1,73,810,22.68,8.4,28.75,2014,2,6,6,winter,1.pre,chengdu,southwest,4.4,7.2,3.9,92,84,1.4,3.4,5,6.7,5,0,3.3,93040,93310,92760,7,8.6,6.3
38,2014/2/7,39,36.3,107,810,24.84,14.7,26.25,2014,2,7,6,winter,1.pre,chengdu,southwest,3.7,5.7,2.5,80,60,1.2,2.4,5,3.7,5,0,0.8,93650,93920,93310,6.2,9.8,5.1
39,2014/2/8,40,55.5,69,720,19.44,7.7,36.25,2014,2,8,6,winter,1.pre,chengdu,southwest,4,5.4,3.4,76,49,0.9,3.1,5,4.7,5,0,0,93280,93520,93000,5.7,8.3,5
40,2014/2/9,41,43.1,103,900,24.84,8.4,37.5,2014,2,9,6,winter,1.pre,chengdu,southwest,2.8,4.2,2.5,79,61,0,1.9,5,3.6,4,0,1.2,93950,94150,93480,5.2,8.5,4.2
41,2014/2/10,42,70.7,119,990,31.32,7.7,22.5,2014,2,10,6,winter,1.pre,chengdu,southwest,1.1,2.7,0.3,87,72,0.6,2.3,5,3.9,4,0,2.2,94280,94490,94060,4.2,8.4,2.1
42,2014/2/11,43,82.1,143,1170,30.24,9.1,31.25,2014,2,11,6,winter,1.pre,chengdu,southwest,0.9,4.1,-1.9,86,62,0.6,2.2,5,3.4,4,0,0.3,93890,94350,93480,3.6,11.3,0.7
43,2014/2/12,44,91.6,181,1350,38.88,8.4,40,2014,2,12,7,winter,1.pre,chengdu,southwest,2.2,4.8,0.6,88,69,0.3,2.3,5,4.2,4,0,4.5,93920,94200,93600,4.9,10.5,1.5
44,2014/2/13,45,118.2,193,1260,43.2,14,37.5,2014,2,13,7,winter,1.pre,chengdu,southwest,3.3,6.7,1.1,81,57,0.7,2.5,11,5.3,11,0,2.2,94400,94570,94150,5.1,15.2,2.2
45,2014/2/14,46,112.5,177,1170,38.88,15.4,30,2014,2,14,7,winter,1.pre,chengdu,southwest,3.6,5.5,2.5,87,69,0.6,1.7,5,2.8,4,0,1,94150,94530,93730,5.9,9.9,3.9
46,2014/2/15,47,153.5,201,1440,45.36,11.9,20,2014,2,15,7,winter,1.pre,chengdu,southwest,4,6.4,3.3,86,66,0.6,1.3,14,2.5,3,0,1.1,93650,93980,93390,5.9,10.8,4.5
47,2014/2/16,48,142.9,155,1080,33.48,14.7,33.75,2014,2,16,7,winter,1.pre,chengdu,southwest,4.7,7.2,3,81,59,1,3.2,4,4.6,3,0,0.1,93570,93740,93330,6.2,10.6,4
48,2014/2/17,49,101.1,115,1350,37.8,7.7,36.25,2014,2,17,7,winter,1.pre,chengdu,southwest,3.8,5.5,3,87,69,0.5,2.3,1,3.7,1,0,4.6,94070,94330,93600,5.6,8,4.5
49,2014/2/18,50,80.2,145,1170,38.88,11.9,38.75,2014,2,18,7,winter,1.pre,chengdu,southwest,4.6,8,2.1,75,47,0.4,2.1,12,3.9,9,2.6,2.2,94530,94710,94280,5.9,13,3
50,2014/2/19,51,93.5,237,1710,46.44,21,32.5,2014,2,19,8,winter,1.pre,chengdu,southwest,6.1,8.6,4.3,71,51,0.2,2,10,3.5,10,0,0,94400,94700,94160,7.1,13.2,5
51,2014/2/20,52,153.5,217,1620,54,20.3,13.75,2014,2,20,8,winter,1.pre,chengdu,southwest,6.1,7.6,4.9,76,63,0.5,1.6,6,2.8,7,0,0,94080,94420,93810,7,10,5.4
52,2014/2/21,53,150.5,261,1620,50.76,16.8,36.25,2014,2,21,8,winter,1.pre,chengdu,southwest,6.6,9.2,4.4,77,59,0.1,1.6,7,2.3,7,0,0,93900,94120,93670,7.6,12.4,5
53,2014/2/22,54,170.5,265,1620,48.6,21.7,38.75,2014,2,22,8,winter,1.pre,chengdu,southwest,8.1,11.9,5.2,69,45,0.5,2.1,5,3.5,6,0,0,94050,94210,93790,9.1,16.5,5.4
54,2014/2/23,55,161.5,195,1170,43.2,14,46.25,2014,2,23,8,winter,1.pre,chengdu,southwest,9.5,13.5,6.6,68,46,0.8,2,6,3.6,5,0,0,93990,94230,93670,10.4,19.1,6.7
55,2014/2/24,56,127.7,165,1170,41.04,12.6,20,2014,2,24,8,winter,1.pre,chengdu,southwest,9.9,12.8,7.6,70,54,0.4,2.3,2,3.7,2,0,0,93740,93920,93460,10.9,17.7,7.4
56,2014/2/25,57,108.7,149,1260,41.04,18.2,18.75,2014,2,25,8,winter,1.pre,chengdu,southwest,8.5,10.5,6.3,88,69,0.5,2.6,5,4.6,6,0,0.7,93880,94080,93630,9.1,11.8,6.8
57,2014/2/26,58,82.1,103,990,41.04,11.9,25,2014,2,26,9,spring,1.pre,chengdu,southwest,9,10.4,8,87,78,0.8,1.8,6,4.3,6,0,4.8,93890,94010,93600,9.6,12.2,8.3
58,2014/2/27,59,38.3,121,990,46.44,13.3,13.75,2014,2,27,9,spring,1.pre,chengdu,southwest,8.6,9.3,7.6,82,73,0.8,2.3,4,3.7,5,0,0.6,93790,94170,93380,9.1,12,8
