,date,X,PM25,PM10,CO,NO2,SO2,O3,year,month,day,week,season,covid,city,region,avgtemp,maxtemp,mintemp,avgrh,minrh,avgws,maxws,maxwswd,extremews,extremewswd,daylight,precipitation,avgp,maxp,minp,avggt,maxgt,mingt
1,2014/1/1,2,139.1,193,1350,24.84,27.3,NA,2014,1,1,1,winter,1.pre,chongqing,southwest,5.4,6.5,4,90,80,1.2,2.4,15,3.3,16,0,0,99080,99490,98630,5.1,8.1,1.2
2,2014/1/2,3,159.5,241,1530,32.4,28.7,NA,2014,1,2,1,winter,1.pre,chongqing,southwest,6.5,7.9,5.6,77,65,1.2,2.1,1,3.2,16,0,0,98920,99150,98700,6.6,9.6,5.1
3,2014/1/3,4,178.5,255,1710,38.88,21,NA,2014,1,3,1,winter,1.pre,chongqing,southwest,8.8,13,6.4,75,57,1.4,2.1,14,2.5,14,0,0,99400,99660,99080,8.9,18.4,4.7
4,2014/1/4,5,189.5,213,1350,27,16.1,NA,2014,1,4,1,winter,1.pre,chongqing,southwest,7.8,13.3,3.9,81,47,1.2,2.4,14,2.9,14,0,0,99290,99700,98780,8,18.9,2
5,2014/1/5,6,169.5,203,1620,25.92,15.4,NA,2014,1,5,1,winter,1.pre,chongqing,southwest,7.4,9.4,5.9,83,65,1,2.1,14,2.4,14,0,0,98490,98830,98270,6.2,8.7,2.7
6,2014/1/6,7,164.5,179,1350,24.84,21.7,NA,2014,1,6,1,winter,1.pre,chongqing,southwest,8.2,9,7.5,87,80,1.3,2,15,2.6,15,0,0,98400,98610,98100,8,10.1,7
7,2014/1/7,8,154.5,123,1170,21.6,21,NA,2014,1,7,1,winter,1.pre,chongqing,southwest,8.3,9.7,7,83,73,1.2,3.3,16,5.4,16,0,0,98860,99290,98410,7.4,11.2,5.2
8,2014/1/8,9,104.9,131,1260,20.52,24.5,NA,2014,1,8,2,winter,1.pre,chongqing,southwest,6.9,7.5,6.3,91,80,1,2.7,16,3.9,16,0,1.2,99680,99900,99300,7.1,9,5.1
9,2014/1/9,10,106.8,99,1170,21.6,14,NA,2014,1,9,2,winter,1.pre,chongqing,southwest,7.3,8.9,6.4,89,79,0.9,2.1,15,2.6,16,0,0.6,99520,99910,99110,8.1,11.7,6.3
10,2014/1/10,11,84,137,1350,23.76,21.7,NA,2014,1,10,2,winter,1.pre,chongqing,southwest,7,8.2,6.2,88,80,1.6,2.3,16,3.2,5,0,0.6,99230,99410,99010,7.1,8.4,6.5
11,2014/1/11,12,103,133,1440,20.52,19.6,NA,2014,1,11,2,winter,1.pre,chongqing,southwest,7.4,8.5,6.7,87,79,0.9,1.9,16,2.9,3,0,0.3,99750,99950,99350,7.9,12.3,6.3
12,2014/1/12,13,114.4,121,1170,23.76,24.5,NA,2014,1,12,2,winter,1.pre,chongqing,southwest,7.8,9.1,7,88,74,0.9,1.7,15,2.1,14,0,0.2,100090,100280,99910,8.1,11.6,6.4
13,2014/1/13,14,93.5,127,1440,25.92,14,NA,2014,1,13,2,winter,1.pre,chongqing,southwest,8.3,11.9,6.7,79,52,1.6,2.3,7,4,5,0,0.5,99840,100240,99370,8.7,19.2,5.7
14,2014/1/14,15,89.7,197,1620,32.4,25.9,NA,2014,1,14,2,winter,1.pre,chongqing,southwest,6.8,12.2,2.8,80,50,1.2,2.4,5,3.6,5,0,0,99520,99790,99320,7.4,21,0.7
15,2014/1/15,16,122,203,1620,24.84,23.8,NA,2014,1,15,3,winter,1.pre,chongqing,southwest,8.3,10,7,81,69,1.2,2.5,16,3.4,1,0,0,99430,99680,99130,8.1,12.5,6.1
16,2014/1/16,17,172.5,207,1620,30.24,25.9,NA,2014,1,16,3,winter,1.pre,chongqing,southwest,8.3,9.3,7.7,83,71,0.8,1.8,15,2.3,15,0,0.9,99540,99730,99310,8,12.2,6.7
17,2014/1/17,18,168.5,203,1980,32.4,14.7,NA,2014,1,17,3,winter,1.pre,chongqing,southwest,9.3,13.2,7.4,81,59,1.3,2.1,14,2.6,14,0,0,99860,100090,99710,10.3,21.5,6.7
18,2014/1/18,19,153.5,243,1620,24.84,28,NA,2014,1,18,3,winter,1.pre,chongqing,southwest,8.6,15.1,4,79,48,1.5,2.3,14,2.6,15,0,0,99790,100230,99280,8.7,21.7,2.2
19,2014/1/19,20,199.5,179,1530,30.24,31.5,NA,2014,1,19,3,winter,1.pre,chongqing,southwest,7.9,10.7,6.1,85,70,0.8,2.3,15,3.2,9,0,0,99570,100050,99090,6.5,10.9,3.1
20,2014/1/20,21,144.8,187,1350,31.32,13.3,NA,2014,1,20,3,winter,1.pre,chongqing,southwest,10,15.6,6.7,75,36,1.1,1.8,14,2.3,5,2.2,0,100100,100370,99770,10.5,22.8,5
21,2014/1/21,22,151.5,209,1980,41.04,16.1,NA,2014,1,21,3,winter,1.pre,chongqing,southwest,8.4,15.4,3.3,76,41,1.5,2.4,14,3.4,5,6.1,0,99660,99950,99350,8.4,24.1,1.1
22,2014/1/22,23,141,257,2160,48.6,32.2,NA,2014,1,22,4,winter,1.pre,chongqing,southwest,9,16.7,4.2,72,33,1.3,2.1,14,2.5,14,0,0,99110,99540,98630,9,25.1,1.5
23,2014/1/23,24,157.5,245,2160,45.36,41.4,NA,2014,1,23,4,winter,1.pre,chongqing,southwest,9.7,17,4.8,72,40,0.8,2.3,14,2.8,14,0.8,0,98390,98820,97860,9.3,24.3,2.1
24,2014/1/24,25,169.5,273,1890,45.36,35,NA,2014,1,24,4,winter,1.pre,chongqing,southwest,10.4,16.9,5.7,71,46,1,2.2,14,3.9,9,0,0,98100,98560,97720,9.4,22.9,2.7
25,2014/1/25,26,190.5,269,2340,39.96,26.6,NA,2014,1,25,4,winter,1.pre,chongqing,southwest,11.1,16.4,6.2,72,50,1.4,2.2,14,2.6,14,1.4,0,98800,99080,98460,11,23.9,3.5
