"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,127.7,189,1710,65.04,13.3,87.5,2014,1,1,1,"winter","1.pre","dongguan","south",14.2,20.8,9.3,44,20,1.6,3.2,4,5.3,16,9.1,0,101270,101580,101040,12.6,26.2,4.9
"2",2014-01-02,3,162.5,213,1980,71.48,25.2,82.5,2014,1,2,1,"winter","1.pre","dongguan","south",15,20.4,10.2,61,35,1.9,3.4,5,5,5,4.9,0,101010,101230,100800,13.5,27.1,6.8
"3",2014-01-03,4,155.5,163,1440,55.84,18.9,92.5,2014,1,3,1,"winter","1.pre","dongguan","south",18.8,24,14.4,65,44,1.4,3.3,15,5.5,16,6.7,0,100940,101170,100740,17.8,29.3,11.6
"4",2014-01-04,5,125.8,165,1530,47.52,19.6,129,2014,1,4,1,"winter","1.pre","dongguan","south",17.4,20.8,14.6,47,28,1.9,6.5,1,9.6,1,7.2,0,101180,101430,100940,15.1,25.3,10.2
"5",2014-01-05,6,127.7,219,1620,45.36,13.3,105,2014,1,5,1,"winter","1.pre","dongguan","south",14.8,20.2,10.8,41,23,2,3.5,3,5.5,6,8.3,0,101200,101480,100990,13.3,25.8,6.5
"6",2014-01-06,7,159.5,125,1260,41.04,10.5,62.5,2014,1,6,1,"winter","1.pre","dongguan","south",16.2,21.4,11.5,58,39,2.9,4.7,5,7.4,5,7.9,0,101100,101340,100840,15,26.3,8.7
"7",2014-01-07,8,85.9,109,1440,37.8,12.6,5,2014,1,7,1,"winter","1.pre","dongguan","south",18.4,23,15.2,70,48,2.1,3.8,6,5.5,6,3,0,100960,101110,100740,17.2,28.9,11.9
"8",2014-01-08,9,87.8,57,1800,23.76,9.1,40,2014,1,8,2,"winter","1.pre","dongguan","south",16.7,19.8,14.6,82,69,2.6,6.2,1,10.4,1,0,0.7,101210,101450,101000,16.2,20.1,13.4
"9",2014-01-09,10,49.9,111,1170,28.08,10.5,51.25,2014,1,9,2,"winter","1.pre","dongguan","south",13.5,15.4,11.6,59,48,3.6,5.2,1,8.5,4,0.9,0,101700,101930,101450,13.6,21.7,10.3
"10",2014-01-10,11,78.3,135,1530,46.44,16.1,120,2014,1,10,2,"winter","1.pre","dongguan","south",13.8,17.5,11.6,62,51,2.5,4.2,3,6.6,4,4.6,0,101790,102070,101470,15.6,27.2,10.9
