"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,68.8,149,1080,71.48,11.9,60,2014,1,1,1,"winter","1.pre","fuzhou","southeast",11,19.3,5,50,22,1.6,4,8,5.2,8,8.9,0,101090,101380,100830,12.2,31.4,0.8
"2",2014-01-02,3,84,165,1530,63.2,8.4,70,2014,1,2,1,"winter","1.pre","fuzhou","southeast",13.4,19.7,8.5,59,39,0.8,3.2,15,3.9,15,4,0,100860,101120,100550,14.2,32,4.6
"3",2014-01-03,4,118.2,147,1530,55.84,14.7,42.5,2014,1,3,1,"winter","1.pre","fuzhou","southeast",16.8,22.7,11.6,61,36,3.1,8.1,15,10.7,16,6.9,0,100570,100740,100270,17.9,34.4,9.2
"4",2014-01-04,5,110.6,221,1620,55.84,21,42.5,2014,1,4,1,"winter","1.pre","fuzhou","southeast",14.2,19.7,11.1,60,30,2.1,6,8,8.2,8,6.1,0,100910,101090,100630,14.6,29.9,7.7
"5",2014-01-05,6,179.5,121,1440,36.72,12.6,38.75,2014,1,5,1,"winter","1.pre","fuzhou","southeast",10.5,15.4,7.1,67,35,1.9,5,8,5.9,8,3.1,0,101220,101450,101030,10.7,25.5,3.1
"6",2014-01-06,7,82.1,81,1260,43.2,8.4,42.5,2014,1,6,1,"winter","1.pre","fuzhou","southeast",11.5,15.8,7.2,56,46,2.5,4.9,2,6.4,2,2.6,0,101270,101450,101060,12.4,29.3,4
"7",2014-01-07,8,37.1,71,1260,32.4,5.6,36.25,2014,1,7,1,"winter","1.pre","fuzhou","southeast",15,21.5,11.9,68,50,1.6,3.9,8,5.3,8,5.5,0,100860,101220,100530,17.8,34.7,10.8
"8",2014-01-08,9,43.9,55.5,900,29.16,4.9,42.5,2014,1,8,2,"winter","1.pre","fuzhou","southeast",15.1,18.8,12.6,72,50,3,10.6,15,14.2,14,3.4,0,100880,101260,100590,17,29.3,10.3
"9",2014-01-09,10,33.15,65,630,29.16,5.6,37.5,2014,1,9,2,"winter","1.pre","fuzhou","southeast",9.5,14.7,8.4,75,59,2.9,4.6,4,6.1,4,0,1,101740,101980,101260,9.4,14.3,7.5
"10",2014-01-10,11,34.09,105,720,33.48,4.9,35,2014,1,10,2,"winter","1.pre","fuzhou","southeast",8.7,10.2,7.2,62,53,2,4.5,4,6.7,3,0,0,101920,102180,101690,9.3,15.2,6.3
"11",2014-01-11,12,41.9,89,630,35.64,4.9,33.75,2014,1,11,2,"winter","1.pre","fuzhou","southeast",12.5,17,9.6,68,56,1.6,4.1,14,5.2,15,1,0,101670,101900,101410,14.8,28.3,8.9
"12",2014-01-12,13,43.5,52.17,810,25.92,4.9,33.75,2014,1,12,2,"winter","1.pre","fuzhou","southeast",13.3,18,10.5,83,60,1.8,4.8,8,7.2,9,2.2,0.9,101530,101750,101320,15.4,29.5,8.3
"13",2014-01-13,14,32.68,67,720,32.4,4.9,37.5,2014,1,13,2,"winter","1.pre","fuzhou","southeast",9.8,10.7,9.6,66,50,2.2,4.6,2,7,3,0,1,101710,101860,101500,9.4,11.8,7.7
