"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,85.9,185,2160,77.92,7.7,13.75,2014,1,1,1,"winter","1.pre","guangzhou","south",10.3,20.8,4.5,67,20,2,3.9,1,5.5,10,8.7,0,101100,101390,100860,12.6,32.5,2.9
"2",2014-01-02,3,122,221,1890,64.12,8.4,16.25,2014,1,2,1,"winter","1.pre","guangzhou","south",12.1,21.9,5.3,80,45,2,3.4,9,5.2,10,5.8,0,100830,101070,100600,15,33.8,4.5
"3",2014-01-03,4,135.3,171,1440,45.36,11.2,27.5,2014,1,3,1,"winter","1.pre","guangzhou","south",16.1,24.1,11.6,81,42,1.8,3.8,14,5.7,15,7.1,0,100780,100990,100560,17.9,33.4,10.1
"4",2014-01-04,5,120.1,155,1260,57.68,10.5,28.75,2014,1,4,1,"winter","1.pre","guangzhou","south",15.7,20.4,11.8,56,32,3.7,8.2,1,11.9,16,5.5,0,101020,101280,100780,15.2,28,9.9
"5",2014-01-05,6,103,195,1440,56.76,13.3,28.75,2014,1,5,1,"winter","1.pre","guangzhou","south",12.4,20.3,6.8,58,26,2.5,4.4,1,6.1,1,8.1,0,101030,101320,100810,13.3,30.6,4.6
"6",2014-01-06,7,158.5,121,1440,50.76,7.7,15,2014,1,6,1,"winter","1.pre","guangzhou","south",13,20.8,7.8,79,46,2.2,3.8,5,5.9,5,5.1,0,100930,101150,100660,14.6,30,6.8
"7",2014-01-07,8,80.2,173,1980,35.64,5.6,3.75,2014,1,7,1,"winter","1.pre","guangzhou","south",16.9,21,11.3,78,59,1.6,3.9,5,6.1,5,0,0.3,100790,100950,100590,17.2,26.2,10.8
"8",2014-01-08,9,87.8,73,1170,25.92,5.6,13.75,2014,1,8,2,"winter","1.pre","guangzhou","south",15.1,17.3,12.4,83,70,4.3,9.1,1,14.6,1,0,0.4,101070,101330,100790,14.9,18.8,11.8
"9",2014-01-09,10,47.5,89,1080,33.48,5.6,22.5,2014,1,9,2,"winter","1.pre","guangzhou","south",12.3,15.3,10.1,63,50,4.4,7.1,1,11.4,2,0.8,0,101540,101790,101320,13.4,25.7,9.2
"10",2014-01-10,11,66.9,151,1440,54,7,12.5,2014,1,10,2,"winter","1.pre","guangzhou","south",12.6,18.4,10.8,71,52,1.8,3.5,2,6,4,3.6,0,101620,101920,101310,16,31.4,10.1
"11",2014-01-11,12,104.9,123,1530,32.4,7,16.25,2014,1,11,2,"winter","1.pre","guangzhou","south",14.6,22.1,9.9,77,49,1.1,2.9,16,4.6,16,6.7,0,101510,101770,101190,17.8,35,9
"12",2014-01-12,13,80.2,69,990,22.68,4.9,17.5,2014,1,12,2,"winter","1.pre","guangzhou","south",13.7,18.7,11.5,75,52,3.9,8.4,1,12,1,4.3,0,101590,101780,101390,15.1,28.1,9.8
"13",2014-01-13,14,38.3,55.5,810,28.08,4.9,37.5,2014,1,13,2,"winter","1.pre","guangzhou","south",10.2,13.5,7.7,65,50,5,7.4,1,10.4,16,0,0,101680,101970,101470,11,21.3,5.5
"14",2014-01-14,15,40.7,99,900,41.04,6.3,38.75,2014,1,14,2,"winter","1.pre","guangzhou","south",9.9,16.5,6,68,41,3,6,1,9.3,1,9.3,0,101620,101790,101420,13.6,32.2,4.1
"15",2014-01-15,16,65,153,1530,61.36,7.7,28.75,2014,1,15,3,"winter","1.pre","guangzhou","south",9.1,18,4.6,66,29,2.3,5.1,1,7.5,2,9.2,0,101750,101980,101520,12.2,32.6,2.5
"16",2014-01-16,17,95.4,161,1710,55.84,8.4,22.5,2014,1,16,3,"winter","1.pre","guangzhou","south",9.4,19.4,3.9,76,31,2,3.7,16,5.2,2,8.4,0,101590,101810,101330,13,33.6,2.9
"17",2014-01-17,18,106.8,111,990,41.04,8.4,40,2014,1,17,3,"winter","1.pre","guangzhou","south",11.1,20.9,5.6,75,29,2.9,6.7,1,9,1,8.6,0,101510,101700,101240,13.5,32,4.8
"18",2014-01-18,19,63.1,143,1170,55.84,10.5,52.5,2014,1,18,3,"winter","1.pre","guangzhou","south",13.6,21.2,9.4,46,23,4.1,7.2,1,11.6,1,8.8,0,101840,102200,101520,14.8,35,5.2
"19",2014-01-19,20,97.3,163,1440,57.68,9.1,38.75,2014,1,19,3,"winter","1.pre","guangzhou","south",9.4,18.2,4.6,65,24,2,3.6,1,5.7,4,8.4,0,101780,102060,101580,12.4,32.2,2.5
"20",2014-01-20,21,93.5,125,900,37.8,9.8,45,2014,1,20,3,"winter","1.pre","guangzhou","south",11.9,20.5,5.2,61,23,3.4,6,1,10.3,1,8.5,0,101610,101860,101370,13.7,32.9,3.8
"21",2014-01-21,22,54.7,83,900,39.96,5.6,37.5,2014,1,21,3,"winter","1.pre","guangzhou","south",12.1,18.1,9,31,16,4.7,7.7,1,12.8,2,8.5,0,101680,101890,101460,12.8,31.5,5.1
"22",2014-01-22,23,46.7,147,1350,62.28,11.2,22.5,2014,1,22,4,"winter","1.pre","guangzhou","south",7.8,18.6,1.3,52,13,2.5,4.7,1,6.6,1,9.4,0,101720,102010,101430,10.7,33.6,-0.4
