"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,159.5,227,1710,45.36,43.8,NA,2014,1,1,1,"winter","1.pre","guiyang","southwest",6.8,12.2,2.6,66,50,1.7,5.1,5,10.2,7,0,0,87850,88270,87430,8.2,25.2,-0.3
"2",2014-01-02,3,146.7,139,1170,25.92,40.6,NA,2014,1,2,1,"winter","1.pre","guiyang","southwest",7.3,12.3,5.5,72,52,2.5,5.2,1,8.2,1,0,0,87590,87770,87400,9.6,25.5,2.9
"3",2014-01-03,4,97.3,249,1530,45.36,55.8,NA,2014,1,3,1,"winter","1.pre","guiyang","southwest",6.2,10.5,3.9,65,47,2.7,7,1,10.7,1,5.9,0,88260,88520,87770,10,27.9,3.5
"4",2014-01-04,5,131.5,337,1890,50.76,42.2,NA,2014,1,4,1,"winter","1.pre","guiyang","southwest",8.2,13.6,4.4,49,25,2.5,4.9,4,8.4,4,7.1,0,88260,88610,87920,10.1,30,1.1
"5",2014-01-05,6,159.5,285,1620,43.2,40.6,NA,2014,1,5,1,"winter","1.pre","guiyang","southwest",9.2,12,5.2,64,41,1.6,5,10,10,9,0,0,87490,87950,87120,10,21.5,1.9
"6",2014-01-06,7,181.5,147,990,25.92,30.8,NA,2014,1,6,1,"winter","1.pre","guiyang","southwest",6.3,10.6,4.4,86,64,2.4,4.4,1,7.5,4,0,0,87280,87570,86940,7.6,17.8,5.5
"7",2014-01-07,8,112.5,105,1080,24.84,30.8,NA,2014,1,7,1,"winter","1.pre","guiyang","southwest",4.4,5.7,3.6,84,72,3,5,2,8.5,16,0,0,87750,88050,87160,5.8,11.5,3.9
"8",2014-01-08,9,95.4,137,1080,24.84,34.3,NA,2014,1,8,2,"winter","1.pre","guiyang","southwest",3.1,4.7,2,88,80,3.1,4.5,4,8.2,5,0,0.5,88400,88660,88060,3.7,5.3,2.3
"9",2014-01-09,10,116.3,55.5,2070,27,21.7,NA,2014,1,9,2,"winter","1.pre","guiyang","southwest",2.1,4.2,0.7,82,69,2.4,4.5,4,8.7,4,0,0,88380,88630,88080,4.3,11,1
"10",2014-01-10,11,55.5,69,1350,20.52,31.5,NA,2014,1,10,2,"winter","1.pre","guiyang","southwest",2,3,0.5,99,82,2,4.5,3,7.7,4,0,6,88030,88240,87730,3.5,5.7,2
"11",2014-01-11,12,53.5,63,1350,21.6,28,NA,2014,1,11,2,"winter","1.pre","guiyang","southwest",1.1,2.4,0.2,98,92,2.2,3.7,4,6.8,3,0,2.2,88490,88730,88090,3,6.5,1.5
"12",2014-01-12,13,59.3,117,1350,29.16,32.2,NA,2014,1,12,2,"winter","1.pre","guiyang","southwest",2.2,3.9,1.3,93,86,2.3,3.8,3,6.6,3,0,0.7,88800,89060,88630,4.2,10.4,2
"13",2014-01-13,14,101.1,287,2430,41.04,51,NA,2014,1,13,2,"winter","1.pre","guiyang","southwest",0.3,2.8,-1.1,91,73,1.9,4.5,4,7.9,4,0,3.9,88740,88990,88460,2.3,11.1,-0.2
"14",2014-01-14,15,164.5,211,1890,43.2,48.6,NA,2014,1,14,2,"winter","1.pre","guiyang","southwest",1.7,8.2,-2.3,85,57,1.8,3.4,10,5.7,10,4,0,88460,88640,88260,5.6,22.1,-0.7
"15",2014-01-15,16,150.5,221,1530,46.44,47,NA,2014,1,15,3,"winter","1.pre","guiyang","southwest",2.1,6.6,-0.9,79,46,2,3.8,5,5.3,4,0,0,88370,88630,88090,2.8,11.7,0
"16",2014-01-16,17,160.5,159,1260,34.56,39,NA,2014,1,16,3,"winter","1.pre","guiyang","southwest",3.8,6.6,2.3,71,59,2.2,3.5,6,5.6,3,0,0,88360,88530,88190,4.8,11.4,0.9
"17",2014-01-17,18,116.3,167,1440,43.2,39.8,NA,2014,1,17,3,"winter","1.pre","guiyang","southwest",5.4,11.8,2,71,46,2.6,5.8,5,9.3,4,6.3,0,88680,88890,88470,7.9,24.8,0.4
"18",2014-01-18,19,118.2,145,1170,34.56,32.2,NA,2014,1,18,3,"winter","1.pre","guiyang","southwest",6.5,15.6,0.4,64,26,2.5,4.5,10,8.6,11,8.7,0,88840,89170,88530,8.4,28.9,-0.7
"19",2014-01-19,20,103,109,1170,24.84,32.2,NA,2014,1,19,3,"winter","1.pre","guiyang","southwest",7.4,14.1,4.2,67,37,3.1,8.1,1,11.9,16,5.6,0,88420,88690,88220,8.9,29.2,0.4
