"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,125.8,125,1620,37.8,6.3,NA,2014,1,1,1,"winter","1.pre","haikou","south",15.5,20.4,11.9,76,56,2.3,4.9,2,7.5,2,9.2,0,101120,101400,100860,17.7,35.9,8.6
"2",2014-01-02,3,110.6,79,900,23.76,2.8,NA,2014,1,2,1,"winter","1.pre","haikou","south",17.8,23.7,14.5,77,54,2,4.3,4,6.6,4,8.8,0,100780,100990,100550,20.2,41.2,12.2
"3",2014-01-03,4,48.3,125,1170,25.92,7,NA,2014,1,3,1,"winter","1.pre","haikou","south",19,24.2,15.4,86,59,2.4,4,4,6,4,3.9,0,100800,101100,100600,22.1,38.9,13.3
"4",2014-01-04,5,101.1,161,1170,24.84,6.3,NA,2014,1,4,1,"winter","1.pre","haikou","south",17.6,21.9,14.4,82,50,2.1,5.1,3,8.2,3,8,0,101030,101280,100820,20.5,36.4,13.5
"5",2014-01-05,6,150.5,119,1080,17.28,2.8,NA,2014,1,5,1,"winter","1.pre","haikou","south",18.2,23,14.3,80,59,2.5,4.8,4,8.2,3,6.9,0,100900,101140,100670,18.8,34.5,11.4
"6",2014-01-06,7,74.5,79,720,20.52,2.1,NA,2014,1,6,1,"winter","1.pre","haikou","south",20.2,24.8,17.2,83,59,3.8,6.2,5,9.7,5,4.4,0,100730,100960,100520,21.6,36.1,15.5
"7",2014-01-07,8,44.3,51.06,720,14.04,2.1,NA,2014,1,7,1,"winter","1.pre","haikou","south",21.2,27,18,86,56,2.4,4.8,6,7.6,6,7.7,0,100630,100800,100410,25.3,45.3,16.7
"8",2014-01-08,9,27.98,69,1260,14.04,3.5,NA,2014,1,8,2,"winter","1.pre","haikou","south",20.7,25,19.1,91,69,2.7,6.1,3,8.9,3,6.1,0,100900,101070,100690,25.1,42,19.2
"9",2014-01-09,10,49.5,63,990,14.04,2.1,NA,2014,1,9,2,"winter","1.pre","haikou","south",16.8,19.6,16.3,84,77,4.7,7,3,11,3,0,0,101310,101590,101040,18.3,21.5,16.7
"10",2014-01-10,11,37.5,55.5,720,7.56,1.4,NA,2014,1,10,2,"winter","1.pre","haikou","south",19.1,22.5,16.4,81,66,5.7,7.6,4,12.2,4,5.3,0,101340,101590,101060,22.8,38.3,16.3
"11",2014-01-11,12,31.27,71,900,4.32,3.5,NA,2014,1,11,2,"winter","1.pre","haikou","south",20.3,23.9,18.8,85,69,4.1,6.7,4,10.4,4,7.8,0,101320,101540,101130,23,41.1,17.6
"12",2014-01-12,13,47.1,71,1170,7.56,4.2,NA,2014,1,12,2,"winter","1.pre","haikou","south",18.7,20.8,17.6,84,71,2.8,7.3,3,10.2,3,4.1,0,101460,101680,101290,20.6,35,17
"13",2014-01-13,14,52.3,83,1080,10.8,5.6,NA,2014,1,13,2,"winter","1.pre","haikou","south",15.5,18.8,14.5,75,62,3.8,7.2,3,11.2,3,0,0,101530,101720,101360,17.3,24.1,14.8
"14",2014-01-14,15,63.1,79,900,9.72,3.5,NA,2014,1,14,2,"winter","1.pre","haikou","south",12.6,15,10.6,77,62,2.6,4.3,2,7,1,0,0,101570,101730,101410,14.6,23,12.2
"15",2014-01-15,16,57.4,63,810,10.8,2.8,NA,2014,1,15,3,"winter","1.pre","haikou","south",14.5,16.8,12.2,76,65,2.9,7.2,3,11.9,3,2.4,0,101570,101790,101420,15.1,28.5,10.3
"16",2014-01-16,17,37.1,85,990,20.52,4.9,NA,2014,1,16,3,"winter","1.pre","haikou","south",17.1,20.1,14.3,77,62,4.6,7.1,3,11.6,4,9.7,0,101450,101640,101280,20.7,37.9,11.6
"17",2014-01-17,18,49.5,137,1080,29.16,5.6,75,2014,1,17,3,"winter","1.pre","haikou","south",17.7,21,16.3,73,44,2.9,5.3,3,8,3,8.5,0,101480,101670,101300,21.6,39.6,14.6
"18",2014-01-18,19,95.4,105,720,17.28,5.6,76.25,2014,1,18,3,"winter","1.pre","haikou","south",16.2,19.2,13.2,72,51,3.3,8.7,3,14.7,3,9.2,0,101770,102030,101530,18.7,35.3,10.6
"19",2014-01-19,20,78.3,109,810,15.12,6.3,87.5,2014,1,19,3,"winter","1.pre","haikou","south",16.2,19.7,12.5,70,55,3.6,7.3,3,11.7,4,6.6,0,101650,101880,101470,17,35.1,8.7
"20",2014-01-20,21,80.2,147,810,19.44,9.1,78.75,2014,1,20,3,"winter","1.pre","haikou","south",17.3,20.3,15.9,63,28,4.5,7.2,3,11,3,8.7,0,101540,101800,101390,20.6,38.3,13.9
"21",2014-01-21,22,112.5,107,810,15.12,7,71.25,2014,1,21,3,"winter","1.pre","haikou","south",15.4,18,13.5,60,42,3.8,7.5,4,12.5,3,8.8,0,101650,101820,101500,17.1,32.8,10.7
"22",2014-01-22,23,53.5,99,720,25.92,4.2,63.75,2014,1,22,4,"winter","1.pre","haikou","south",14.8,17.9,12.4,53,38,4,7.1,3,11.7,3,9.9,0,101670,101870,101490,16.9,36.4,9.1
