,date,X,PM25,PM10,CO,NO2,SO2,O3,year,month,day,week,season,covid,city,region,avgtemp,maxtemp,mintemp,avgrh,minrh,avgws,maxws,maxwswd,extremews,extremewswd,daylight,precipitation,avgp,maxp,minp,avggt,maxgt,mingt
1,2014/1/1,2,112.5,233,1800,63.2,22.4,27.5,2014,1,1,1,winter,1.pre,hangzhou,southeast,8.6,17.2,2.7,47,19,2.1,3.9,10,5.1,10,7.3,0,101580,101810,101360,5.6,19.9,-0.4
2,2014/1/2,3,155.5,245,1890,60.44,23.8,38.75,2014,1,2,1,winter,1.pre,hangzhou,southeast,8.7,17,1.9,54,27,1.8,3.7,10,4.9,9,7.5,0,101320,101530,101040,6.5,21.1,-0.5
3,2014/1/3,4,162.5,357.8,2340,50.76,31.5,16.25,2014,1,3,1,winter,1.pre,hangzhou,southeast,11.7,17.5,8.1,46,21,2.1,4.7,1,8.2,1,6.9,0,101220,101470,101070,9.6,20.2,4.4
4,2014/1/4,5,219.5,375.3,2340,58.6,23.1,32.5,2014,1,4,1,winter,1.pre,hangzhou,southeast,7.5,12.2,4.8,54,32,1.5,4.5,1,6.9,13,0,0,101750,101920,101460,5.2,13.2,0.9
5,2014/1/5,6,253.5,277,2070,57.68,21.7,23.75,2014,1,5,1,winter,1.pre,hangzhou,southeast,6.1,13.3,1.4,77,26,1.5,3,9,4.9,5,5.6,0,101880,102030,101730,5.6,19,-0.5
6,2014/1/6,7,215.5,215,2610,54,13.3,8.75,2014,1,6,1,winter,1.pre,hangzhou,southeast,6.7,13.1,1.7,79,45,1.1,2.6,5,4.8,4,3.2,0,101830,102120,101590,5.6,17.2,-0.6
7,2014/1/7,8,199.5,57,1800,30.24,7.7,22.5,2014,1,7,1,winter,1.pre,hangzhou,southeast,7.8,8.4,6.6,90,73,1.6,3.2,10,4.1,10,0,5.9,101390,101660,101200,7.5,10,4
8,2014/1/8,9,44.3,89,1080,29.16,13.3,25,2014,1,8,2,winter,1.pre,hangzhou,southeast,7.3,8.5,5.6,87,81,3.2,7.5,1,12.2,16,0,8.1,101910,102410,101340,7.1,8.7,5.6
9,2014/1/9,10,53.1,137,1260,39.96,22.4,27.5,2014,1,9,2,winter,1.pre,hangzhou,southeast,4.1,6.7,2.8,64,45,2.7,5.9,1,9.2,2,2.1,0.2,102710,102970,102410,5,17.4,1.4
10,2014/1/10,11,89.7,89,1260,37.8,11.9,10,2014,1,10,2,winter,1.pre,hangzhou,southeast,3.8,9.2,-0.9,70,42,1.1,3.9,5,6.6,5,6.9,0,102680,102900,102260,5.1,16.3,-0.1
11,2014/1/11,12,103,69,1620,34.56,9.1,12.5,2014,1,11,2,winter,1.pre,hangzhou,southeast,5.1,6.2,4,93,67,2.3,3.7,15,5.8,2,0,10.7,102520,102700,102320,5.4,6.8,4.3
12,2014/1/12,13,74.5,143,1350,37.8,17.5,13.75,2014,1,12,2,winter,1.pre,hangzhou,southeast,4.8,5.8,4,93,86,2.3,4.1,1,5.9,1,0,6.8,102630,102800,102370,4.7,6.8,2.3
13,2014/1/13,14,131.5,119,1440,39.96,18.2,23.75,2014,1,13,2,winter,1.pre,hangzhou,southeast,4.9,6.1,3.4,75,61,1.9,3.4,2,5.4,1,0,0,102710,102930,102510,5,10.2,1.8
14,2014/1/14,15,93.5,139,1530,44.28,14,32.5,2014,1,14,2,winter,1.pre,hangzhou,southeast,3.8,7.4,0.7,70,46,1.7,3.6,1,5.4,3,3.8,0,102740,102890,102580,3.9,14,-0.2
15,2014/1/15,16,101.1,167,1440,49.68,14.7,33.75,2014,1,15,3,winter,1.pre,hangzhou,southeast,2.8,7.5,-1.2,66,37,1.1,3.1,2,5.2,6,8.2,0,102880,103150,102640,4.2,16.1,-0.1
16,2014/1/16,17,112.5,201,1620,51.84,14,37.5,2014,1,16,3,winter,1.pre,hangzhou,southeast,4.4,11.7,-0.9,68,40,1.8,3.2,8,5.5,9,7.6,0,102380,102750,102070,4.9,18,-0.3
17,2014/1/17,18,118.2,265,1890,41.04,22.4,35,2014,1,17,3,winter,1.pre,hangzhou,southeast,7.2,13.6,2,69,34,1.2,3,1,5,1,6.7,0,102220,102370,102020,6.6,19.8,-0.2
18,2014/1/18,19,252.5,277,1800,49.68,14,38.75,2014,1,18,3,winter,1.pre,hangzhou,southeast,5.5,8.6,3.7,65,45,2.5,4.4,1,7.1,1,1.2,0,102890,103120,102350,4.9,15,0.6
19,2014/1/19,20,238.5,225,1440,41.04,11.9,30,2014,1,19,3,winter,1.pre,hangzhou,southeast,4.3,11,-0.1,71,31,2.3,3.3,9,5,9,5.8,0,102450,103070,102060,4.6,18.7,-0.7
20,2014/1/20,21,122,157,1350,34.56,15.4,23.75,2014,1,20,3,winter,1.pre,hangzhou,southeast,6.4,13.4,1.4,51,18,3,6.1,16,11.6,16,5.1,0,102310,102520,102050,5.1,19.4,-0.5
21,2014/1/21,22,53.9,117,1530,38.88,16.1,28.75,2014,1,21,3,winter,1.pre,hangzhou,southeast,3.7,7.7,-0.3,38,25,2.2,5.5,2,8.6,1,8.4,0,102770,102960,102520,3.4,18.4,-0.9
22,2014/1/22,23,82.1,135,1170,46.44,11.2,33.75,2014,1,22,4,winter,1.pre,hangzhou,southeast,2.3,9.3,-2.8,51,17,1.4,3.1,10,5.6,5,9.4,0,102590,102880,102340,3.6,17.2,-1.3
23,2014/1/23,24,110.6,97,1530,46.44,6.3,41.25,2014,1,23,4,winter,1.pre,hangzhou,southeast,4.8,14,-2,53,25,2.3,3.7,10,5.2,10,8.4,0,101910,102420,101550,5.4,23.6,-1.1
24,2014/1/24,25,54.3,223,1800,44.28,14,48.75,2014,1,24,4,winter,1.pre,hangzhou,southeast,10.8,20.5,2.3,42,21,3.1,5.3,10,8.1,10,8.8,0,101260,101640,100950,8.7,29.8,-1.2
25,2014/1/25,26,189.5,87,1170,21.6,9.8,35,2014,1,25,4,winter,1.pre,hangzhou,southeast,11,17.5,7,52,27,4.1,8.9,1,13.5,1,4.8,0,101430,101960,101080,9.7,24.7,2.8
26,2014/1/26,27,47.9,69,1260,33.48,5.6,30,2014,1,26,4,winter,1.pre,hangzhou,southeast,8.1,11.1,6.5,62,41,3.3,6.2,1,9.2,1,6.7,0,102420,102680,101950,9.3,27.6,4.4
27,2014/1/27,28,45.1,135,1890,39.96,13.3,26.25,2014,1,27,4,winter,1.pre,hangzhou,southeast,7.9,14,2.4,62,35,1.9,3.7,6,7.4,6,7.9,0,101870,102430,101500,8.3,23.2,-0.8
28,2014/1/28,29,112.5,97,1620,32.4,5.6,25,2014,1,28,4,winter,1.pre,hangzhou,southeast,9.5,15.2,4.9,66,44,1.4,4.4,1,6.7,2,0,0,101820,102040,101580,8.9,23.2,1.4
29,2014/1/29,30,112.5,353,1710,38.88,7.7,50,2014,1,29,5,winter,1.pre,hangzhou,southeast,10.3,13.3,8.3,81,64,0.8,3.5,5,5.6,4,0,0.3,101540,102120,101140,10.1,23,5.2
30,2014/1/30,31,210.5,317,1530,30.24,6.3,31.25,2014,1,30,5,winter,1.pre,hangzhou,southeast,13.2,22.3,6.7,79,45,1.3,2.6,10,3.5,5,7.8,0,101350,101540,101150,13.6,32.3,3.2
31,2014/1/31,32,278.5,141,1440,34.56,5.6,55,2014,1,31,5,winter,1.pre,hangzhou,southeast,12.5,20.2,8.4,84,56,1.6,2.9,5,3.7,16,3.7,0,101360,101690,101030,14.2,27.7,7.3
32,2014/2/1,33,154.5,291,2070,30.24,5.6,18.75,2014,2,1,5,winter,1.pre,hangzhou,southeast,17.9,25,12.5,60,39,2.6,5,10,8.8,10,6.6,0,100830,101050,100590,16.2,32.7,7.4
33,2014/2/2,34,259.5,101,1530,14.04,4.9,27.5,2014,2,2,5,winter,1.pre,hangzhou,southeast,13.7,19.8,11.2,83,54,1.7,2.8,5,4.1,5,4.2,0,100680,100940,100310,14.9,28.2,7.3
34,2014/2/3,35,57.4,52.17,900,14.04,6.3,40,2014,2,3,5,winter,1.pre,hangzhou,southeast,8.8,11.4,6.3,89,70,3.5,6.7,2,11.7,2,0,0.2,101180,101810,100530,9.2,11.8,5.6
35,2014/2/4,36,33.15,49.95,1080,18.36,4.9,35,2014,2,4,5,winter,1.pre,hangzhou,southeast,4.9,7.4,2.9,56,39,3.6,6,2,10.1,3,5.1,0,102120,102370,101810,7.7,25.7,1
36,2014/2/5,37,38.3,34.41,1260,20.52,3.5,15,2014,2,5,6,winter,1.pre,hangzhou,southeast,6,7.4,4.2,70,52,2.9,5.9,5,9.1,5,0,0,101650,102140,101300,6.1,9.5,3.9
37,2014/2/6,38,33.62,28.86,1260,21.6,4.2,28.75,2014,2,6,6,winter,1.pre,hangzhou,southeast,7.2,7.9,6.1,93,78,2.1,4,16,6.1,15,0,4.4,101200,101400,101060,7.6,9.3,6.2
38,2014/2/7,39,25.16,54.39,1350,17.28,7.7,33.75,2014,2,7,6,winter,1.pre,hangzhou,southeast,5.3,7.6,3.1,94,90,3.6,5.8,1,8.9,1,0,18.3,101300,101500,101140,6.1,7.7,3.7
39,2014/2/8,40,53.5,63,1170,19.44,7.7,31.25,2014,2,8,6,winter,1.pre,hangzhou,southeast,2.7,3.4,1.8,77,63,3.7,5.2,1,9.3,15,0,0.1,101710,101890,101480,3.1,7.5,1.8
40,2014/2/9,41,59.3,43.29,1170,16.2,5.6,35,2014,2,9,6,winter,1.pre,hangzhou,southeast,1,2.8,0.1,83,64,3.8,6.2,1,10.5,2,0,6.5,102060,102250,101730,0.6,1.8,0
41,2014/2/10,42,37.5,59,1170,17.28,5.6,38.75,2014,2,10,6,winter,1.pre,hangzhou,southeast,-1,1.5,-2.3,73,54,4.5,6.7,1,10.6,1,3.1,2.7,102520,102790,102230,1.9,14.7,-0.1
42,2014/2/11,43,55.5,113,1620,33.48,9.8,20,2014,2,11,6,winter,1.pre,hangzhou,southeast,-0.1,4,-3.3,62,44,2.7,5.8,16,9.5,16,8.8,0,102310,102520,102000,3.7,18.6,-1.5
43,2014/2/12,44,76.4,133,1440,31.32,7,30,2014,2,12,7,winter,1.pre,hangzhou,southeast,0.3,2.2,-0.9,81,58,2.6,4.7,1,7.5,1,0,2.6,102250,102400,102170,0.6,6.7,-0.5
44,2014/2/13,45,54.3,97,1440,27,8.4,48.75,2014,2,13,7,winter,1.pre,hangzhou,southeast,2,4.4,0.3,90,73,2.9,4.4,1,7.2,1,0,12.5,102410,102580,102240,2.1,9.6,0
45,2014/2/14,46,80.2,125,1170,33.48,9.8,48.75,2014,2,14,7,winter,1.pre,hangzhou,southeast,4.4,9.2,2.5,65,40,2.5,4.9,1,8.3,1,5.4,0,102390,102590,102190,5.8,19.3,0.7
46,2014/2/15,47,108.7,51.06,1350,37.8,14.7,11.25,2014,2,15,7,winter,1.pre,hangzhou,southeast,4.1,10.4,-1,69,41,1.4,4.4,5,7.4,5,5.3,0,102180,102460,101930,6.8,24.3,-0.8
47,2014/2/16,48,55.1,27.75,1350,30.24,4.9,10,2014,2,16,7,winter,1.pre,hangzhou,southeast,6.1,7.2,4.8,93,63,1,3.7,5,6.9,5,0,12.8,101790,102110,101600,6.5,9.6,3.2
48,2014/2/17,49,27.98,17.76,1080,30.24,4.9,32.5,2014,2,17,7,winter,1.pre,hangzhou,southeast,6.9,8.2,6.1,93,85,1.6,3.9,16,6.6,15,0,2.1,101720,101900,101550,7,10.2,6
49,2014/2/18,50,23.75,51.06,1350,22.68,4.2,32.5,2014,2,18,7,winter,1.pre,hangzhou,southeast,2.2,6.2,0.4,96,90,2.8,5.5,16,9.8,16,0,38.3,102000,102190,101770,2,6,0
50,2014/2/19,51,51.9,95,1350,33.48,5.6,40,2014,2,19,8,winter,1.pre,hangzhou,southeast,2.4,5.3,0.7,84,69,2.3,4.2,1,7.3,16,0.2,3.4,102310,102440,102150,3,11.9,0
51,2014/2/20,52,80.2,171,1440,36.72,15.4,51.25,2014,2,20,8,winter,1.pre,hangzhou,southeast,3.2,9.4,-1,76,44,1.7,3.8,10,5.6,10,3.4,0,102650,102810,102440,6,22.1,-1
52,2014/2/21,53,137.2,157,1260,43.2,14,47.5,2014,2,21,8,winter,1.pre,hangzhou,southeast,4.3,11.4,-0.2,77,36,2,3.7,4,6.3,4,2.5,0,102530,102780,102280,5.5,21.4,-0.9
53,2014/2/22,54,154.5,99,900,33.48,12.6,48.75,2014,2,22,8,winter,1.pre,hangzhou,southeast,7,13.5,2.5,75,46,2.1,4.2,4,6.3,5,7,0,102330,102500,102120,9,25.1,0.4
54,2014/2/23,55,89.7,129,1260,45.36,15.4,33.75,2014,2,23,8,winter,1.pre,hangzhou,southeast,8.3,13.8,4.9,77,55,1.8,3.7,4,5.7,5,3.7,0,102330,102460,102150,10.7,25.8,3
55,2014/2/24,56,135.3,57,1350,39.96,4.9,16.25,2014,2,24,8,winter,1.pre,hangzhou,southeast,8.5,9.5,7.1,91,71,1.3,2.9,4,5,5,0,7.9,102040,102300,101840,9.1,14,6.1
56,2014/2/25,57,46.7,87,1530,34.56,10.5,18.75,2014,2,25,8,winter,1.pre,hangzhou,southeast,9.7,10.4,8.9,97,96,1.6,2.8,15,4,15,0,23.2,101620,101950,101360,10.2,13,8.9
57,2014/2/26,58,53.9,187,1620,46.44,18.2,22.5,2014,2,26,9,spring,1.pre,hangzhou,southeast,10.9,12.7,9.9,91,80,1.6,4.4,1,7.1,16,0,4.6,101700,101850,101510,11.9,17,9.6
58,2014/2/27,59,129.6,109,1260,29.16,7.7,41.25,2014,2,27,9,spring,1.pre,hangzhou,southeast,12.1,14.8,9.5,83,67,1.2,2.3,3,3.5,4,0,0,101830,102030,101620,13,21.8,8.3
59,2014/2/28,60,101.1,43.29,1260,27,6.3,28.75,2014,2,28,9,spring,1.pre,hangzhou,southeast,9.3,13,8.2,88,76,1.8,3.9,2,6.2,3,0,16.3,101540,101820,101270,9.7,11.8,8.4
60,2014/3/1,61,43.5,157,1350,33.48,16.1,45,2014,3,1,9,spring,1.pre,hangzhou,southeast,7.2,8.4,5.8,93,88,3.6,5.8,1,8.7,2,0,24.5,101540,101700,101310,7.6,9.3,5.9
61,2014/3/2,62,89.7,89,900,22.68,10.5,47.5,2014,3,2,9,spring,1.pre,hangzhou,southeast,7.9,11.2,4.8,65,39,2.8,5.2,16,9.3,16,3.8,0.3,101880,102050,101680,9.2,22,4.4
62,2014/3/3,63,46.3,87,900,37.8,11.9,28.75,2014,3,3,9,spring,1.pre,hangzhou,southeast,9.1,11.9,6.7,69,50,3,5.8,5,9,5,5.8,0.2,101910,102110,101640,11.2,24,5.5
63,2014/3/4,64,63.1,127,1350,32.4,14.7,43.75,2014,3,4,9,spring,1.pre,hangzhou,southeast,9.7,12.2,8.1,86,66,1.4,3.9,1,6.6,16,0,5.7,101620,101780,101450,10.7,17.6,8.3
64,2014/3/5,65,85.9,55.5,630,28.08,9.1,35,2014,3,5,10,spring,1.pre,hangzhou,southeast,8.9,11.2,7.8,71,53,2.8,5.8,5,9.6,5,0,0,102140,102310,101780,10.3,20.1,5.4
65,2014/3/6,66,39.1,75,720,32.4,11.2,43.75,2014,3,6,10,spring,1.pre,hangzhou,southeast,5.9,7.8,4.8,74,57,1.7,4.5,4,7.1,4,0,2.3,102340,102480,101980,5.6,11.5,3.1
66,2014/3/7,67,43.1,51.06,720,29.16,13.3,33.75,2014,3,7,10,spring,1.pre,hangzhou,southeast,6.5,10.4,2.9,70,51,2.7,5,5,8.5,5,0.8,0,102490,102700,102240,7.3,20.2,0.9
67,2014/3/8,68,43.9,103,1080,34.56,11.2,37.5,2014,3,8,10,spring,1.pre,hangzhou,southeast,4.9,7.4,3.2,87,67,1.8,5.4,5,9.2,6,0,7.5,102060,102430,101800,5.5,7.9,4
68,2014/3/9,69,63.1,181,1350,37.8,14,70,2014,3,9,10,spring,1.pre,hangzhou,southeast,7.3,12.8,4.8,78,50,1.3,2.9,15,5.2,15,3.1,0,102170,102290,102000,9.9,23.1,4.9
69,2014/3/10,70,123.9,161,1350,37.8,12.6,75,2014,3,10,10,spring,1.pre,hangzhou,southeast,8.2,16.3,2.4,73,26,1.6,4.7,4,7.5,5,6.1,0,102240,102460,102010,9.7,26.5,-0.4
70,2014/3/11,71,110.6,73,1260,38.88,9.1,31.25,2014,3,11,10,spring,1.pre,hangzhou,southeast,12.3,19.1,4.6,63,43,2.7,5.2,8,9.1,9,7.2,0,101730,102170,101270,12.4,27.9,1.1
71,2014/3/12,72,51.5,103,810,27,8.4,40,2014,3,12,11,spring,1.pre,hangzhou,southeast,13.7,15.9,12,87,61,3.1,7.9,1,11.5,1,0,10.6,100910,101390,100600,13.5,18.1,11.3
72,2014/3/13,73,53.9,121,900,37.8,8.4,52.5,2014,3,13,11,spring,1.pre,hangzhou,southeast,8.7,12.5,6.7,62,36,3.5,8.8,1,14.3,16,0,2.8,101800,101980,100970,8.7,18.3,4
73,2014/3/14,74,53.1,161,1080,46.44,16.8,78.75,2014,3,14,11,spring,1.pre,hangzhou,southeast,9.7,17.5,2.6,52,23,2.8,3.8,11,6.1,9,9.2,0,102000,102180,101790,10.8,27.3,-0.6
74,2014/3/15,75,82.1,183,1260,51.84,16.1,76.25,2014,3,15,11,spring,1.pre,hangzhou,southeast,13.2,22,6,52,23,2.8,4.6,10,7.2,10,9.8,0,101670,101950,101310,13.7,30.4,2.6
75,2014/3/16,76,97.3,129,1260,38.88,11.2,62.5,2014,3,16,11,spring,1.pre,hangzhou,southeast,16.1,24.8,9.2,53,28,2.6,4.9,10,7.9,9,8.4,0,101450,101740,101220,16.7,33,5
76,2014/3/17,77,66.9,189,1530,39.96,11.2,93.75,2014,3,17,11,spring,1.pre,hangzhou,southeast,20.7,27.1,15.5,51,33,2.8,6.4,11,11.8,10,9,0,101040,101310,100770,21.7,38.6,12.1
77,2014/3/18,78,112.5,197,1170,32.4,9.8,36.25,2014,3,18,11,spring,1.pre,hangzhou,southeast,20.1,28.4,14.4,59,27,1.4,4.6,4,7.7,4,8.7,0,101050,101280,100820,23.2,44.8,10.9
78,2014/3/19,79,148.6,117,1260,31.32,9.1,40,2014,3,19,12,spring,1.pre,hangzhou,southeast,12.5,20,11.2,87,61,3.2,6.3,1,10.1,1,0,11.1,101000,101210,100630,12.9,17.5,11.4
79,2014/3/20,80,63.1,129,990,42.12,14.7,60,2014,3,20,12,spring,1.pre,hangzhou,southeast,10,11.1,9,65,48,3.3,7.6,1,14.1,1,0,0,101930,102160,101210,9.4,11.3,7.7
80,2014/3/21,81,53.5,139,900,39.96,15.4,75,2014,3,21,12,spring,1.pre,hangzhou,southeast,10.4,16.2,5.6,49,20,1.8,4.3,5,7.2,5,9.5,0,102220,102450,101990,12.5,28.8,2
81,2014/3/22,82,55.5,167,1080,44.28,14,68.75,2014,3,22,12,spring,1.pre,hangzhou,southeast,12.1,20.5,4.6,50,16,1.9,4.3,5,7,5,9.4,0,101960,102190,101700,14,32,1.1
82,2014/3/23,83,87.8,129,1080,38.88,9.1,61.25,2014,3,23,12,spring,1.pre,hangzhou,southeast,15.1,22.3,8.2,53,24,1.8,3.8,5,6.1,4,7.6,0,101920,102150,101680,16.7,36.9,4.5
83,2014/3/24,84,52.7,119,1350,42.12,7,40,2014,3,24,12,spring,1.pre,hangzhou,southeast,17.1,24.8,11.6,62,37,1.8,4.3,9,6.8,10,6.4,0,101400,101800,101020,17.8,40.1,8.6
84,2014/3/25,85,74.5,145,1530,34.56,14.7,96.25,2014,3,25,12,spring,1.pre,hangzhou,southeast,18.4,24.8,14.5,74,52,2,4.4,2,7.2,2,2.6,1.2,100820,101160,100420,19.2,34.5,12.6
85,2014/3/26,86,101.1,175,1170,39.96,14,106.25,2014,3,26,13,spring,1.pre,hangzhou,southeast,20.2,25.9,16.2,67,36,2.4,5.4,2,8.7,2,7.5,0,100860,101060,100590,23.7,43.2,14
86,2014/3/27,87,129.6,83,1080,36.72,7.7,41.25,2014,3,27,13,spring,1.pre,hangzhou,southeast,17.6,23.1,13.4,74,56,1.8,4.2,5,7,6,4.8,0,101070,101310,100800,21.9,40.4,10.9
87,2014/3/28,88,48.7,69,1350,31.32,4.2,25,2014,3,28,13,spring,1.pre,hangzhou,southeast,19,22.9,15.4,82,67,1.5,6.6,10,9.3,10,0,1.5,100630,101000,100320,18.9,29.4,14
88,2014/3/29,89,43.1,209,1260,31.32,11.2,106.25,2014,3,29,13,spring,1.pre,hangzhou,southeast,19.4,23.1,17.5,90,75,1.3,7.9,16,13.3,16,0,11.2,100210,100670,99960,20.6,30.5,16.4
89,2014/3/30,90,151.5,145,1260,27,14,60,2014,3,30,13,spring,1.pre,hangzhou,southeast,18.4,23.3,14.6,70,37,2.3,4.5,4,7.2,5,7.5,0,101070,101290,100670,20,33,13.9
90,2014/3/31,91,112.5,141,810,34.56,14,38.75,2014,3,31,13,spring,1.pre,hangzhou,southeast,14.3,17.5,13,71,64,2.9,5.6,5,9.1,6,0,0,100960,101210,100750,14.5,20.4,11.8
91,2014/4/1,92,97.3,147,900,41.04,11.9,53.75,2014,4,1,13,spring,1.pre,hangzhou,southeast,14.1,15.9,12.4,78,63,1.3,2.7,4,5.3,5,0,0,101020,101200,100860,14.7,20.1,10.5
92,2014/4/2,93,95.4,125,720,41.04,9.8,38.75,2014,4,2,14,spring,1.pre,hangzhou,southeast,15.5,19.2,11.4,80,56,1.8,3.6,4,6,5,0,0,101040,101210,100890,17.7,27,9.1
93,2014/4/3,94,85.9,129,720,41.04,9.8,67.5,2014,4,3,14,spring,1.pre,hangzhou,southeast,15.6,19.4,14.4,78,53,1.2,4.4,2,6.5,2,2.3,0,101190,101350,100970,16,25.6,13
94,2014/4/4,95,49.9,197,1080,44.28,12.6,83.75,2014,4,4,14,spring,1.pre,hangzhou,southeast,15.9,21.8,9.7,37,14,2.7,5.6,2,8.4,1,10.3,0,101450,101780,101060,19.5,37.9,6.9
95,2014/4/5,96,85.9,97,540,24.84,10.5,55,2014,4,5,14,spring,1.pre,hangzhou,southeast,16,23.9,9.9,51,23,2.4,6.6,2,10.4,3,7.3,0,101380,101850,101050,18.7,35.4,7.4
