"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,114.4,123,1440,36.72,29.4,NA,2014,1,1,1,"winter","1.pre","harbin","northeast",-16.3,-10,-19.8,77,64,2.6,5.6,14,7.8,14,2.6,0.2,99230,100020,98320,-4,-3.5,-4.5
"2",2014-01-02,3,106.8,181,1800,38.88,23.1,NA,2014,1,2,1,"winter","1.pre","harbin","northeast",-17,-11.7,-21.4,71,42,1.9,3.9,11,6,10,2.1,0,100080,100340,99750,-4.9,-4.2,-5.5
"3",2014-01-03,4,163.5,259,2070,48.6,34.3,NA,2014,1,3,1,"winter","1.pre","harbin","northeast",-21.1,-16,-25.3,74,64,1.8,3.3,13,5.5,12,4.9,0,100620,100980,99800,-5.5,-4.3,-5.9
"4",2014-01-04,5,199.5,457,3780,76.08,39.8,NA,2014,1,4,1,"winter","1.pre","harbin","northeast",-22.5,-14,-29.1,73,60,1,2.6,6,3.2,6,2,0,101060,101230,100940,-6.4,-5.6,-7.1
"5",2014-01-05,6,353.5,185,1170,35.64,40.6,NA,2014,1,5,1,"winter","1.pre","harbin","northeast",-21.5,-12.1,-29.6,63,43,0.6,2.9,11,4.5,11,3.8,0,101140,101220,100960,-6.7,-5.8,-7.4
"6",2014-01-06,7,161.5,145,1440,32.4,26.6,NA,2014,1,6,1,"winter","1.pre","harbin","northeast",-14.6,-5.5,-25,61,38,3,5.3,9,7.8,10,4.5,0,100790,101260,100230,-6.1,-5,-7.1
"7",2014-01-07,8,148.6,65,1350,23.76,14,NA,2014,1,7,1,"winter","1.pre","harbin","northeast",-10.8,-4.1,-14.4,70,50,3,7,10,11.3,10,4.7,0,100630,101040,100020,-4.6,-3.9,-5.2
"8",2014-01-08,9,45.1,69,1080,22.68,15.4,NA,2014,1,8,2,"winter","1.pre","harbin","northeast",-18.9,-13.7,-21.7,57,47,2.6,5.2,14,7.4,13,5.6,0,101080,101200,100830,-5.9,-5.1,-6.4
"9",2014-01-09,10,48.3,89,900,21.6,13.3,NA,2014,1,9,2,"winter","1.pre","harbin","northeast",-21.5,-17,-26.8,61,46,2.4,4.4,11,6.8,11,5.5,0,100970,101160,100900,-6.9,-6.1,-7.6
"10",2014-01-10,11,68.8,97,990,24.84,18.2,NA,2014,1,10,2,"winter","1.pre","harbin","northeast",-18.6,-14,-23.5,57,42,2.6,4.2,11,6.7,11,6.9,0,100950,101070,100770,-6.7,-5.7,-7.3
"11",2014-01-11,12,74.5,71,1170,19.44,16.8,NA,2014,1,11,2,"winter","1.pre","harbin","northeast",-18.4,-13.9,-24.6,64,46,2.9,4.6,2,6.6,11,3.1,0.4,101080,101230,100930,-6.7,-5.6,-7.4
"12",2014-01-12,13,65,143,1260,36.72,25.9,NA,2014,1,12,2,"winter","1.pre","harbin","northeast",-25.4,-19.6,-30,50,34,2.6,5.3,2,7.2,3,6.8,0,101880,102010,101210,-7.3,-6.1,-7.9
"13",2014-01-13,14,139.1,187,1350,45.36,43.8,NA,2014,1,13,2,"winter","1.pre","harbin","northeast",-25.4,-19.6,-32.7,54,38,1.2,3.8,11,5.3,11,5.4,0,101790,101950,101640,-8,-7.2,-8.7
"14",2014-01-14,15,127.7,203,1620,38.88,38.2,NA,2014,1,14,2,"winter","1.pre","harbin","northeast",-25.4,-14.7,-31.7,64,36,1.7,2.7,7,3.6,7,5.9,0,101870,102100,101590,-8.5,-7.3,-9.3
"15",2014-01-15,16,174.5,137,2070,30.24,23.8,NA,2014,1,15,3,"winter","1.pre","harbin","northeast",-18.9,-13.7,-25.4,73,60,2.2,4,6,5.3,13,2.8,0,101290,101630,100900,-7.3,-6.3,-8.3
"16",2014-01-16,17,133.4,165,1260,41.04,32.9,NA,2014,1,16,3,"winter","1.pre","harbin","northeast",-25.4,-20.8,-29.3,64,47,1.8,4.3,16,6,1,6.3,0,102040,102170,101630,-8,-7.1,-8.6
"17",2014-01-17,18,160.5,215,1980,46.44,33.6,NA,2014,1,17,3,"winter","1.pre","harbin","northeast",-23.9,-16.8,-31.6,64,43,1.2,3.5,10,5.1,9,5.3,0,101620,102120,101280,-8.3,-7.2,-9.3
"18",2014-01-18,19,177.5,149,1350,43.2,35.8,NA,2014,1,18,3,"winter","1.pre","harbin","northeast",-21.5,-16.8,-26.8,69,55,1.7,3,16,4.9,1,3,0.2,101680,101910,101250,-7.7,-6.9,-8.3
"19",2014-01-19,20,139.1,119,1080,29.16,25.9,NA,2014,1,19,3,"winter","1.pre","harbin","northeast",-20.4,-14.2,-27.3,72,62,2.8,4.6,4,5.8,4,1.1,0,101420,101920,100980,-7.6,-6.6,-8.7
"20",2014-01-20,21,106.8,179,2700,31.32,21.7,NA,2014,1,20,3,"winter","1.pre","harbin","northeast",-16.9,-14.5,-19.3,66,53,2.7,4.7,2,6.7,2,6.3,0,100960,101230,100800,-6.6,-5.7,-6.9
"21",2014-01-21,22,152.5,195,1260,47.52,40.6,NA,2014,1,21,3,"winter","1.pre","harbin","northeast",-18.5,-11.7,-25.4,71,57,2.2,5.4,10,7.8,11,6.5,0,101080,101280,100860,-7.2,-6.1,-8
"22",2014-01-22,23,163.5,141,1350,36.72,35,NA,2014,1,22,4,"winter","1.pre","harbin","northeast",-17.6,-8.8,-23.9,74,57,1.1,4,11,5.9,11,3.7,0,100850,100950,100770,-6.9,-5.7,-7.9
"23",2014-01-23,24,123.9,151,1890,28.08,23.8,NA,2014,1,23,4,"winter","1.pre","harbin","northeast",-7,0.6,-19.4,66,51,4.6,9.4,9,13.5,9,0,0,99820,100870,99210,-6,-4.5,-7.4
"24",2014-01-24,25,135.3,261,1890,44.28,25.2,NA,2014,1,24,4,"winter","1.pre","harbin","northeast",-9.7,-0.1,-14.7,73,52,2.5,6.9,10,11.1,10,2.3,0,100200,100810,99240,-4.6,-3.7,-5.3
