"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,131.5,279,2070,37.8,30.8,NA,2014,1,1,1,"winter","1.pre","hefei","east",5.6,16.3,-2.4,56,25,1.4,3.2,7,4.4,7,7.4,0,101700,101930,101470,4.2,28.7,-6.3
"2",2014-01-02,3,173.5,203,1350,23.76,25.9,NA,2014,1,2,1,"winter","1.pre","hefei","east",7.5,17.3,-0.6,58,22,1.2,2.7,8,4,8,6.9,0,101460,101660,101200,6.9,28.7,-5.5
"3",2014-01-03,4,173.5,215,1980,27,26.6,NA,2014,1,3,1,"winter","1.pre","hefei","east",9.3,14.1,4.5,41,20,2.9,5.5,14,8.6,13,3.5,0,101630,101890,101360,8.9,22.5,0
"4",2014-01-04,5,194.5,191,2070,32.4,28,NA,2014,1,4,1,"winter","1.pre","hefei","east",4.6,10.5,0.8,59,28,1.6,4.7,15,8.5,15,1.6,0,102100,102350,101870,3.9,20.3,-3.8
"5",2014-01-05,6,205.5,201,1620,32.4,16.1,NA,2014,1,5,1,"winter","1.pre","hefei","east",5.4,13.8,-1.1,71,25,1.6,2.5,7,3.5,7,7.6,0,101960,102160,101810,4.4,27,-6.2
"6",2014-01-06,7,180.5,111,1080,20.52,5.6,NA,2014,1,6,1,"winter","1.pre","hefei","east",7.3,14.7,-0.9,56,29,2.1,4.1,7,6.4,7,4.3,0,101800,102020,101540,6.4,26,-5.2
"7",2014-01-07,8,118.2,197,1350,16.2,6.3,NA,2014,1,7,1,"winter","1.pre","hefei","east",7.1,10.7,6.4,93,48,1.1,2.8,15,4.7,1,0,4.6,101660,101880,101510,7.2,9.1,6.3
"8",2014-01-08,9,171.5,87,900,15.12,7,NA,2014,1,8,2,"winter","1.pre","hefei","east",4.4,6.6,3,96,90,3.1,5.5,1,9.7,1,0,7,102520,102880,101870,5.1,6.7,3.7
"9",2014-01-09,10,78.3,123,1530,20.52,7,NA,2014,1,9,2,"winter","1.pre","hefei","east",1.4,5.7,-1.9,87,59,1,3.3,3,5.6,2,2.2,0.1,102960,103220,102750,3.7,15.6,-1.1
"10",2014-01-10,11,97.3,137,1530,21.6,8.4,NA,2014,1,10,2,"winter","1.pre","hefei","east",2,7.7,-3.6,76,46,1.3,5.1,4,8.2,3,5.1,0,102790,103020,102580,2.7,16.2,-4.3
"11",2014-01-11,12,122,167,1170,17.28,7,NA,2014,1,11,2,"winter","1.pre","hefei","east",4.1,5.4,3.3,83,61,1.2,2.7,4,4,4,0,0.1,102790,102970,102650,4.5,10.4,2.7
"12",2014-01-12,13,155.5,233,1800,20.52,10.5,NA,2014,1,12,2,"winter","1.pre","hefei","east",5.6,9.5,1,78,44,1.1,2.9,1,4.5,2,6.3,0,102940,103140,102760,7.2,20.6,-0.5
"13",2014-01-13,14,230.5,151,1350,23.76,9.1,NA,2014,1,13,2,"winter","1.pre","hefei","east",3.2,6.7,0.7,85,63,1.5,3.5,3,5.7,3,0,0,102960,103190,102730,4.2,14.4,-1.1
"14",2014-01-14,15,131.5,151,1440,28.08,9.1,NA,2014,1,14,2,"winter","1.pre","hefei","east",1.2,7.4,-3.9,84,45,1.3,2.5,6,4.2,6,5.3,0,102980,103160,102790,2.7,19.9,-4.1
