,date,X,PM25,PM10,CO,NO2,SO2,O3,year,month,day,week,season,covid,city,region,avgtemp,maxtemp,mintemp,avgrh,minrh,avgws,maxws,maxwswd,extremews,extremewswd,daylight,precipitation,avgp,maxp,minp,avggt,maxgt,mingt
1,2014/1/1,2,74.5,131,360,35.64,17.5,52.5,2014,1,1,1,winter,1.pre,hohhot,north,-8.3,-0.7,-13.5,56,34,2.9,3.8,15,4.8,16,6.7,0,88480,88640,88350,-9.6,8.1,-15.6
2,2014/1/2,3,51.5,159,450,34.56,28,70,2014,1,2,1,winter,1.pre,hohhot,north,-7.5,-2,-11.5,57,39,2.5,4.5,15,5.1,15,4.1,0,88640,88780,88490,-9.1,6.5,-14.5
3,2014/1/3,4,53.9,179,630,41.04,23.8,13.75,2014,1,3,1,winter,1.pre,hohhot,north,-7,-1.5,-10.4,54,38,2.5,4.2,15,5.8,1,4.7,0,88930,89140,88780,-9.4,5.9,-14.7
4,2014/1/4,5,97.3,125,900,38.88,28.7,15,2014,1,4,1,winter,1.pre,hohhot,north,-8.7,-2.7,-12.9,61,41,1.9,4.5,15,5.2,15,4,0,88610,88940,88400,-10,5.3,-15.7
5,2014/1/5,6,144.8,161,450,46.44,31.5,12.5,2014,1,5,1,winter,1.pre,hohhot,north,-7.6,-0.5,-13.5,51,31,3.5,5.9,16,7.8,15,7.6,0,88730,88960,88590,-8.4,8.8,-15.8
6,2014/1/6,7,65,65,360,25.92,25.2,36.25,2014,1,6,1,winter,1.pre,hohhot,north,-4.8,0.4,-10.7,40,25,4.4,7.3,16,10.7,15,2.2,0,88570,88740,88400,-5.8,10.1,-13.4
7,2014/1/7,8,28.92,59,540,19.44,23.8,32.5,2014,1,7,1,winter,1.pre,hohhot,north,-7.3,-1.2,-9.6,38,25,6,10.4,16,16.8,15,6.2,0,89200,89470,88720,-7.8,4.8,-11.7
8,2014/1/8,9,37.5,99,540,31.32,26.6,42.5,2014,1,8,2,winter,1.pre,hohhot,north,-13.2,-7.5,-17.8,35,21,4.5,8.9,16,14.6,16,4.2,0,89500,89660,89310,-13.3,1.5,-20.1
9,2014/1/9,10,42.7,163,630,44.28,26.6,23.75,2014,1,9,2,winter,1.pre,hohhot,north,-15.6,-8.5,-20.8,35,22,2.8,5.8,16,7.4,16,3.3,0,89240,89530,89050,-16.4,1.8,-22.8
10,2014/1/10,11,68.8,171,450,41.04,35.8,35,2014,1,10,2,winter,1.pre,hohhot,north,-13.5,-6.2,-18.2,37,23,2.9,4.4,15,5.2,15,4,0,89330,89480,89170,-14.3,3.7,-20.4
11,2014/1/11,12,78.3,103,450,30.24,32.9,33.75,2014,1,11,2,winter,1.pre,hohhot,north,-11.7,-4,-16.7,39,22,3.5,7.2,15,14,16,3.6,0,89500,89690,89360,-12.4,2.8,-19
12,2014/1/12,13,41.5,145,630,43.2,18.9,33.75,2014,1,12,2,winter,1.pre,hohhot,north,-11.7,-5.7,-17,40,26,3,7.5,16,11.3,16,7.8,0,89810,90030,89650,-13.5,4.5,-20.8
13,2014/1/13,14,72.6,115,630,42.12,21,27.5,2014,1,13,2,winter,1.pre,hohhot,north,-11.8,-5,-17.9,44,29,2.5,4.3,15,5.4,15,2.9,0,89340,89650,89130,-12,4.3,-20.1
14,2014/1/14,15,49.9,157,540,48.6,45.4,56.25,2014,1,14,2,winter,1.pre,hohhot,north,-10.7,-3.8,-16.8,40,24,3,7,1,11.9,16,7.5,0,89540,89700,89300,-11.7,7.4,-19.4
15,2014/1/15,16,65,165,450,39.96,36.6,33.75,2014,1,15,3,winter,1.pre,hohhot,north,-9,-1.1,-14.6,38,21,3.3,4.6,15,5.2,15,0,0,89220,89620,88870,-8.6,12.2,-17.3
16,2014/1/16,17,66.9,97,NA,25.92,30.1,31.25,2014,1,16,3,winter,1.pre,hohhot,north,-8.5,-2.8,-12.6,34,23,3.7,9,16,11.6,16,3.6,0,89170,89440,88900,-9.3,7.4,-17.1
17,2014/1/17,18,26.1,133,NA,43.2,38.2,13.75,2014,1,17,3,winter,1.pre,hohhot,north,-8.9,-3.2,-12.5,44,26,5.6,9.9,16,15.6,16,6.4,0,89600,89850,89150,-9.4,6.6,-14.9
18,2014/1/18,19,57.4,291,1080,30.24,30.8,18.75,2014,1,18,3,winter,1.pre,hohhot,north,-9.9,-2.9,-15.4,47,29,3,4.8,15,5.3,15,4.3,0,89500,89910,89040,-10.2,7.3,-17.7
19,2014/1/19,20,47.9,61,3150,19.44,23.1,17.5,2014,1,19,3,winter,1.pre,hohhot,north,-7.8,-2.5,-12.8,41,27,5,12.1,14,20.4,15,3.5,0,89130,89450,88900,-8.6,9.4,-15.8
20,2014/1/20,21,26.57,87,50500,36.72,34.3,13.75,2014,1,20,3,winter,1.pre,hohhot,north,-10,-3.5,-15.9,40,21,4.4,13.5,15,22.2,15,7.1,0,89610,89730,89430,-10.9,7.9,-18.7
21,2014/1/21,22,44.3,163,630,51.84,25.9,33.75,2014,1,21,3,winter,1.pre,hohhot,north,-10.9,-3.2,-17.3,41,24,2.5,4.1,15,5.2,1,4.3,0,89470,89770,89150,-11.4,7.8,-19.5
22,2014/1/22,23,91.6,239,540,55.84,34.3,35,2014,1,22,4,winter,1.pre,hohhot,north,-7.5,1.5,-12.8,34,18,2.7,4.7,15,5.4,15,0,0,88710,89160,88360,-7.5,12.9,-15.7
23,2014/1/23,24,122,103,540,31.32,39,46.25,2014,1,23,4,winter,1.pre,hohhot,north,-2,3.9,-6.8,29,21,2.9,4.7,15,5.6,15,0,0,88150,88430,87940,-2.7,14.3,-10.1
24,2014/1/24,25,40.7,61,810,28.08,28,50,2014,1,24,4,winter,1.pre,hohhot,north,1.1,4.7,-2.8,18,12,5.5,10,16,15,16,0,0,88570,88870,88170,1.8,14,-5.8
25,2014/1/25,26,27.51,129,1260,42.12,30.8,28.75,2014,1,25,4,winter,1.pre,hohhot,north,-3.5,0.7,-6.8,43,16,4.6,9.7,16,14.6,1,4.1,0,89060,89250,88870,-2.5,15.1,-8.7
26,2014/1/26,27,84,127,3060,27,26.6,30,2014,1,26,4,winter,1.pre,hohhot,north,-5.3,4,-11.4,47,20,3.5,5.2,15,6.1,15,4,0,88790,89310,88290,-4.6,13.6,-13.6
27,2014/1/27,28,46.3,101,5300,36.72,43.8,15,2014,1,27,4,winter,1.pre,hohhot,north,-2,2.2,-6.3,27,16,4.4,9.4,16,16.2,15,7.2,0,88760,89240,88250,-3.6,12.4,-10.4
28,2014/1/28,29,42.7,169,1080,37.8,43,13.75,2014,1,28,4,winter,1.pre,hohhot,north,-7.9,1.1,-14.1,33,18,2.6,5.3,16,8.3,16,8.3,0,88930,89320,88490,-7,14.9,-16.2
29,2014/1/29,30,54.7,155,810,37.8,35,15,2014,1,29,5,winter,1.pre,hohhot,north,-3.1,4.6,-8.2,32,11,2.9,7.9,15,12.5,15,4.8,0,88090,88510,87920,-4.4,14.3,-11.4
30,2014/1/30,31,46.7,424.3,1440,72.4,69.4,11.25,2014,1,30,5,winter,1.pre,hohhot,north,-6,2.3,-13.4,33,17,2.7,7.5,15,11.7,15,7.9,0,88250,88500,87930,-5,14.7,-15.2
31,2014/1/31,32,258.5,359.9,NA,51.84,53.4,15,2014,1,31,5,winter,1.pre,hohhot,north,0.9,10.6,-5.6,27,14,3.8,5.2,15,5.9,15,7.6,0,87950,88050,87810,1.4,22.9,-8.1
32,2014/2/1,33,175.5,117,810,16.2,20.3,21.25,2014,2,1,5,winter,1.pre,hohhot,north,-0.5,7,-5.9,34,21,2.6,4.6,15,5.6,15,6.4,0,88050,88230,87850,0.2,19.8,-9
33,2014/2/2,34,20.93,41.07,4410,15.12,22.4,17.5,2014,2,2,5,winter,1.pre,hohhot,north,-4.5,4.4,-8.5,22,13,7.4,12.5,16,19,15,7,0,88440,88680,87960,-3.2,8.2,-8.6
34,2014/2/3,35,10.08,52.17,2790,24.84,30.8,15,2014,2,3,5,winter,1.pre,hohhot,north,-10.9,-5.2,-14.9,28,11,4.7,11.3,16,16.2,1,8.7,0,89130,89330,88590,-8.8,11.3,-17.1
35,2014/2/4,36,17.64,95,270,35.64,43.8,13.75,2014,2,4,5,winter,1.pre,hohhot,north,-11.2,-5.4,-16.6,18,9,3.4,5.8,16,9.9,16,8,0,88930,89330,88530,-8.8,11.4,-19.2
36,2014/2/5,37,43.5,143,1710,36.72,46.2,8.75,2014,2,5,6,winter,1.pre,hohhot,north,-8.4,0.1,-15,17,9,2.6,4.4,15,5.1,15,8.3,0,88610,88780,88410,-6.4,16.4,-17.3
