"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,122,394.2,2250,57.68,61.4,30,2014,1,1,1,"winter","1.pre","jinan","east",5.6,12.7,1,24,12,2.6,4.2,11,6.7,12,8.1,0,99640,99770,99500,2,19.3,-5
"2",2014-01-02,3,173.5,437.8,2340,64.12,59.8,18.75,2014,1,2,1,"winter","1.pre","jinan","east",6.9,13.9,1.8,24,13,2,3.5,6,4.7,6,8,0,99780,99980,99550,4,21.1,-3.8
"3",2014-01-03,4,201.5,277,1800,43.2,53.4,33.75,2014,1,3,1,"winter","1.pre","jinan","east",5.1,8.1,2.9,40,21,2.1,5,4,7.5,4,3.1,0,99950,100370,99620,2.3,13.9,-3.2
"4",2014-01-04,5,131.5,433,1980,54.92,48.6,18.75,2014,1,4,1,"winter","1.pre","jinan","east",3,8,-1.5,39,13,1.9,4.9,9,7.6,9,8.5,0,100170,100450,99880,0.8,16.2,-6.2
"5",2014-01-05,6,238.5,NA,5200,82.52,54.2,12.5,2014,1,5,1,"winter","1.pre","jinan","east",3,6,-0.2,64,46,2.7,4.9,9,10,9,0,0,100240,100410,99930,1.1,12.2,-4.1
"6",2014-01-06,7,424,NA,4500,80.68,58.2,16.25,2014,1,6,1,"winter","1.pre","jinan","east",1.4,6,-1.8,67,53,1.6,3.2,5,4,7,0,0,100380,100610,100170,-0.4,10.1,-5
"7",2014-01-07,8,496,235,2160,47.52,44.6,36.25,2014,1,7,1,"winter","1.pre","jinan","east",2.8,6.3,1.3,66,58,2.4,5.2,5,8.2,5,0,0,100350,100600,100170,2.3,11.2,-2.1
"8",2014-01-08,9,150.5,263,1440,45.36,53.4,25,2014,1,8,2,"winter","1.pre","jinan","east",-0.3,2.5,-2.3,65,43,3.4,5.3,5,8.1,4,2.3,0,101010,101210,100590,-0.2,9.3,-5.4
"9",2014-01-09,10,125.8,406.8,3420,59.52,66.2,28.75,2014,1,9,2,"winter","1.pre","jinan","east",-2.6,2.6,-6.1,57,29,1.9,3.1,5,4.9,13,8.4,0,101110,101350,100880,-2.1,12,-8
"10",2014-01-10,11,229.5,372.5,3060,60.44,50.2,37.5,2014,1,10,2,"winter","1.pre","jinan","east",0.1,4.7,-3.9,61,48,2.3,4.7,11,7.1,11,2.8,0,101030,101210,100860,-0.8,11.4,-7
