"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,48.7,61,900,19.44,15.4,NA,2014,1,1,1,"winter","1.pre","kunming","southwest",10.5,19.3,2.1,49,12,4,7.6,13,12.6,14,10,0,81110,81390,80810,11.3,37,-2.2
"2",2014-01-02,3,34.56,119,1260,31.32,9.8,NA,2014,1,2,1,"winter","1.pre","kunming","southwest",10.7,18.6,4.9,52,20,4.5,9.9,13,14.1,14,10,0,80930,81140,80690,11.8,36.5,0
"3",2014-01-03,4,59.3,135,1080,30.24,9.8,NA,2014,1,3,1,"winter","1.pre","kunming","southwest",8.4,15.4,1.1,60,27,1.7,4.5,12,6.2,7,9.9,0,81170,81570,80850,10.9,36.9,-1.3
"4",2014-01-04,5,85.9,63,990,18.36,5.6,NA,2014,1,4,1,"winter","1.pre","kunming","southwest",8.4,14.5,2.1,70,36,1.5,4.6,8,6.6,8,6.3,0,81350,81680,81070,11.9,34.1,0
"5",2014-01-05,6,34.56,54.39,810,16.2,4.2,NA,2014,1,5,1,"winter","1.pre","kunming","southwest",9.7,17.8,2.5,64,22,3.3,8.9,12,12.9,13,9.9,0,80850,81160,80500,10.7,34.1,-1.3
"6",2014-01-06,7,28.45,55.5,720,15.12,6.3,NA,2014,1,6,1,"winter","1.pre","kunming","southwest",11.4,17.9,6.5,56,23,4,8.6,12,12.3,12,10,0,80710,80970,80500,12.6,37.1,2.1
"7",2014-01-07,8,27.51,101,1080,22.68,7.7,NA,2014,1,7,1,"winter","1.pre","kunming","southwest",11.1,16.6,6.7,49,23,3.9,8.3,13,11.9,12,9.9,0,80860,81050,80650,12.6,36.3,2
"8",2014-01-08,9,42.7,71,1080,22.68,7,NA,2014,1,8,2,"winter","1.pre","kunming","southwest",8.8,18.1,0.4,57,19,2.4,6.4,12,9.1,12,9.9,0,81170,81460,80910,12,41,-2.2
"9",2014-01-09,10,41.5,55.5,990,16.2,6.3,NA,2014,1,9,2,"winter","1.pre","kunming","southwest",9.5,18.6,2.5,58,25,2.4,6.3,12,13.1,10,9.6,0,81200,81470,80910,11.8,40.2,-0.9
"10",2014-01-10,11,30.8,67,810,18.36,7,NA,2014,1,10,2,"winter","1.pre","kunming","southwest",11.8,17.9,6.4,57,23,5.1,9.7,12,13.1,12,10.1,0,81130,81380,80910,13,35.8,2.4
"11",2014-01-11,12,34.09,69,1170,23.76,7.7,NA,2014,1,11,2,"winter","1.pre","kunming","southwest",9.8,17.9,2.4,56,21,3.1,8.3,12,12.5,12,10,0,81330,81540,81100,11.3,37.6,-1.1
"12",2014-01-12,13,50.7,73,1350,24.84,7.7,NA,2014,1,12,2,"winter","1.pre","kunming","southwest",5.2,13.1,3.5,85,36,1.7,4.5,7,6.1,7,0,5.4,81480,81760,81250,5.6,20.3,0.1
"13",2014-01-13,14,42.3,97,1890,28.08,11.9,NA,2014,1,13,2,"winter","1.pre","kunming","southwest",3.6,8.4,0.9,80,52,1.5,4.6,4,6.6,3,5,1.5,81660,82040,81450,8.1,25.8,0.6
"14",2014-01-14,15,66.9,59,1170,17.28,6.3,NA,2014,1,14,2,"winter","1.pre","kunming","southwest",6.4,13.9,0.4,76,42,2.1,4.2,13,5.8,11,6.2,0,81470,81700,81210,11.1,31.9,0
"15",2014-01-15,16,43.1,52.17,1170,16.2,6.3,NA,2014,1,15,3,"winter","1.pre","kunming","southwest",10.2,15.8,5.9,68,39,2.7,6.6,12,9.5,11,8.7,0,81270,81520,81030,11.3,31.7,3.6
"16",2014-01-16,17,36.3,125,1350,31.32,10.5,NA,2014,1,16,3,"winter","1.pre","kunming","southwest",10.2,17.8,4,65,26,2.8,6.7,14,10.4,12,9.1,0,81250,81500,81040,12.8,36.2,1
"17",2014-01-17,18,85.9,145,1350,32.4,11.2,NA,2014,1,17,3,"winter","1.pre","kunming","southwest",5.6,12,2.3,81,44,1.1,4.3,2,5.2,3,3.7,0,81640,81930,81290,7.6,29.8,0.4
"18",2014-01-18,19,103,143,1980,33.48,9.8,NA,2014,1,18,3,"winter","1.pre","kunming","southwest",5.3,10.2,1.8,83,57,1.7,3.1,8,4.5,11,2.5,0,81960,82280,81710,6.3,26.4,-0.6
"19",2014-01-19,20,80.2,73,990,27,7,NA,2014,1,19,3,"winter","1.pre","kunming","southwest",6.6,15.5,0.3,76,40,2.9,6.1,11,8.6,11,8.4,0,81580,81930,81270,9.7,35.5,-1
"20",2014-01-20,21,46.7,95,1350,31.32,10.5,NA,2014,1,20,3,"winter","1.pre","kunming","southwest",2.9,9.2,2,79,62,2.7,5.8,4,8.8,4,0,0.1,81900,82180,81460,3.4,10.5,0.6
"21",2014-01-21,22,59.3,143,1980,33.48,11.2,NA,2014,1,21,3,"winter","1.pre","kunming","southwest",2.6,10.4,-1.5,81,45,2.1,3.9,12,5,12,6.6,0,81880,82130,81620,7.6,33.1,-3.8
"22",2014-01-22,23,70.7,107,1710,25.92,8.4,NA,2014,1,22,4,"winter","1.pre","kunming","southwest",5.6,15.4,-1.8,71,37,2.7,5.3,11,7.8,11,7.4,0,81570,81830,81220,8.7,35.3,-4.5
"23",2014-01-23,24,53.1,53.28,900,20.52,9.8,NA,2014,1,23,4,"winter","1.pre","kunming","southwest",9.7,18.9,2.8,62,28,3.5,7.4,11,10.5,11,9.8,0,81120,81500,80740,12.3,38.6,-0.2
"24",2014-01-24,25,31.27,99,1260,23.76,9.8,NA,2014,1,24,4,"winter","1.pre","kunming","southwest",12.9,22.9,4.4,46,15,2.8,9.1,12,11.5,11,10.5,0,80780,80980,80460,14,42.2,-0.3
"25",2014-01-25,26,61.2,97,1710,20.52,9.1,NA,2014,1,25,4,"winter","1.pre","kunming","southwest",11.1,19.8,2.1,56,29,2.2,4.7,10,7.8,11,10,0,81030,81350,80760,14.1,43,-1
"26",2014-01-26,27,48.7,69,1440,19.44,7.7,NA,2014,1,26,4,"winter","1.pre","kunming","southwest",11,20.8,3.1,66,26,2.3,5.1,11,7.9,9,10.2,0,81150,81410,80920,14.6,44.1,0.2
"27",2014-01-27,28,43.9,41.07,1350,12.96,8.4,NA,2014,1,27,4,"winter","1.pre","kunming","southwest",11.3,21.1,3.4,61,16,2.4,7.5,12,11.7,14,9.9,0,81200,81440,80890,13.5,37.5,0.6
"28",2014-01-28,29,31.74,48.84,1440,16.2,9.1,NA,2014,1,28,4,"winter","1.pre","kunming","southwest",10.9,20.7,2.1,56,12,2.9,9,13,12.6,11,9.8,0,81140,81370,80880,13.1,39.2,0
"29",2014-01-29,30,34.56,55.5,1440,18.36,9.8,NA,2014,1,29,5,"winter","1.pre","kunming","southwest",9.9,18.4,3.4,63,22,1.7,4.2,11,6.4,12,10,0,81300,81530,81080,13.6,40.3,0.3
"30",2014-01-30,31,43.9,55.5,1260,9.72,12.6,NA,2014,1,30,5,"winter","1.pre","kunming","southwest",10.9,20.5,2.1,53,22,2.8,5.6,8,7.4,9,10.3,0,81380,81640,81070,13.9,41.7,-0.2
"31",2014-01-31,32,43.9,35.52,990,14.04,9.1,NA,2014,1,31,5,"winter","1.pre","kunming","southwest",12.6,21.7,2.7,47,12,3.6,8.1,12,11.4,11,10.7,0,81220,81440,80970,14.6,41.3,0
