"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,127.7,155,1440,18.36,19.6,NA,2014,1,1,1,"winter","1.pre","lanzhou","northwest",-12.1,0.2,-18.6,52,26,0.9,2.4,1,3.4,1,3.7,0,83300,83680,82970,-11.4,12.8,-22.3
"2",2014-01-02,3,54.3,149,1620,21.6,28.7,NA,2014,1,2,1,"winter","1.pre","lanzhou","northwest",-8,1.1,-12.8,38,17,1.2,2.5,7,4.2,7,5.1,0,83590,83830,83230,-7.5,12.6,-16.3
"3",2014-01-03,4,63.1,181,1620,25.92,27.3,NA,2014,1,3,1,"winter","1.pre","lanzhou","northwest",-11.2,0.3,-19.1,41,23,1.4,2.7,7,3.5,7,6.8,0,83840,83990,83670,-10.5,14.3,-22.4
"4",2014-01-04,5,104.9,177,1710,24.84,26.6,NA,2014,1,4,1,"winter","1.pre","lanzhou","northwest",-10.1,3.8,-18.4,44,20,1.6,2.7,16,3.6,15,7.5,0,83480,83940,83060,-10,14.5,-22.1
"5",2014-01-05,6,99.2,137,1170,44.28,22.4,NA,2014,1,5,1,"winter","1.pre","lanzhou","northwest",-8.6,2,-17,40,22,1.2,2.7,1,3.5,1,6.6,0,82920,83240,82570,-8.2,14.7,-20.6
"6",2014-01-06,7,91.6,71,1080,18.36,8.4,NA,2014,1,6,1,"winter","1.pre","lanzhou","northwest",-7.1,1.1,-13.6,38,18,2.5,5.7,4,9.2,4,5.8,0,83040,83430,82770,-7.9,13.4,-17.3
"7",2014-01-07,8,17.64,63,1530,27,11.9,NA,2014,1,7,1,"winter","1.pre","lanzhou","northwest",-9,-3.1,-13.1,41,27,2,6.1,2,9.3,3,6.3,0,83800,84240,83430,-8.3,11.3,-17.5
"8",2014-01-08,9,26.57,113,2610,32.4,18.9,NA,2014,1,8,2,"winter","1.pre","lanzhou","northwest",-11.4,-2,-18,47,27,1.2,3.5,3,6.1,1,7.7,0,84070,84420,83770,-9.4,14,-21.4
"9",2014-01-09,10,48.7,103,1260,31.32,11.2,NA,2014,1,9,2,"winter","1.pre","lanzhou","northwest",-11.7,-0.2,-20.4,46,26,1.3,2.6,1,3.7,7,7.4,0,83470,83910,83090,-9.9,13.7,-23.4
"10",2014-01-10,11,49.1,79,1260,23.76,13.3,NA,2014,1,10,2,"winter","1.pre","lanzhou","northwest",-8.2,1,-13.6,37,18,1.2,2.9,4,3.9,4,7.6,0,83590,83780,83370,-7.8,16.5,-18.4
"11",2014-01-11,12,34.56,121,1800,27,21.7,NA,2014,1,11,2,"winter","1.pre","lanzhou","northwest",-11.4,-2.4,-18.5,38,21,1,2.5,16,3.7,8,4.8,0,84230,84450,83770,-11,13.4,-22.3
"12",2014-01-12,13,47.9,153,2160,35.64,21.7,NA,2014,1,12,2,"winter","1.pre","lanzhou","northwest",-11.8,-1,-18.7,37,22,1.8,2.2,1,3.4,7,7.2,0,84290,84550,84060,-10.9,12.2,-22.1
"13",2014-01-13,14,70.7,153,2160,32.4,24.5,NA,2014,1,13,2,"winter","1.pre","lanzhou","northwest",-10.1,4.2,-20.1,38,17,1.5,2.6,2,5.3,1,7.6,0,83580,84140,83100,-10.2,15.6,-23.4
"14",2014-01-14,15,74.5,147,2160,36.72,16.8,NA,2014,1,14,2,"winter","1.pre","lanzhou","northwest",-8.8,3,-18.5,33,15,1.4,3.2,14,4.5,14,7.6,0,83640,83920,83390,-9.2,17.1,-22.3
"15",2014-01-15,16,223.5,199,2250,47.52,26.6,NA,2014,1,15,3,"winter","1.pre","lanzhou","northwest",-8.1,3.9,-14.2,36,19,1.8,2.6,4,3.8,5,7.2,0,83560,83730,83430,-7,17.7,-18
"16",2014-01-16,17,110.6,195,1890,30.24,25.2,NA,2014,1,16,3,"winter","1.pre","lanzhou","northwest",-9.1,4.7,-18.1,37,17,1.7,2.7,1,3.9,1,8,0,83770,83950,83550,-8.7,17.2,-21.3
