,date,X,PM25,PM10,CO,NO2,SO2,O3,year,month,day,week,season,covid,city,region,avgtemp,maxtemp,mintemp,avgrh,minrh,avgws,maxws,maxwswd,extremews,extremewswd,daylight,precipitation,avgp,maxp,minp,avggt,maxgt,mingt
1,2014/1/1,2,45.9,51.06,1170,15.12,4.2,43.75,2014,1,1,1,winter,1.pre,lhasa,southwest,0.6,11.2,-6.1,24,7,2.6,5.4,4,6.8,13,8.3,0,65890,66200,65430,2.4,34,-12.4
2,2014/1/2,3,28.45,77,1080,20.52,5.6,40,2014,1,2,1,winter,1.pre,lhasa,southwest,1.7,11.4,-6.7,27,3,2.7,9.1,13,11.8,13,8.4,0,65790,66070,65480,2.2,32.4,-13.5
3,2014/1/3,4,30.33,69,1350,19.44,5.6,37.5,2014,1,3,1,winter,1.pre,lhasa,southwest,-1.7,11.2,-11.3,25,3,2.1,4.9,13,6.1,13,8.3,0,66060,66410,65690,-1.5,31.7,-18.2
4,2014/1/4,5,32.21,117,1620,20.52,6.3,43.75,2014,1,4,1,winter,1.pre,lhasa,southwest,-2.4,9.8,-11.3,26,6,1.9,4.3,13,5.6,14,8.3,0,65840,66240,65270,-1.1,31.3,-18.3
5,2014/1/5,6,61.2,57,990,14.04,2.1,47.5,2014,1,5,1,winter,1.pre,lhasa,southwest,2.4,10.8,-5.4,24,5,4.6,7.8,13,9.5,14,8.4,0,65270,65610,64880,3.8,32.9,-11.6
6,2014/1/6,7,25.63,69,1080,12.96,4.2,45,2014,1,6,1,winter,1.pre,lhasa,southwest,-0.4,6.9,-7,36,15,3.4,8.4,9,11,11,8.5,0,65260,65610,64960,2.8,31.9,-12.5
7,2014/1/7,8,28.92,87,1260,17.28,4.2,38.75,2014,1,7,1,winter,1.pre,lhasa,southwest,-0.2,9.2,-8,25,4,3.3,10.1,13,13.5,13,8.4,0,65420,65750,65070,1.2,31.2,-13
8,2014/1/8,9,32.68,47.73,1260,15.12,3.5,45,2014,1,8,2,winter,1.pre,lhasa,southwest,0.4,10.1,-7.1,21,5,3.2,8,13,10.8,13,7.6,0,65640,65940,65320,2.6,31.4,-12.6
9,2014/1/9,10,24.69,57,1170,7.56,2.1,43.75,2014,1,9,2,winter,1.pre,lhasa,southwest,-0.1,10.5,-9.1,21,5,2,5.7,13,7.9,14,8.1,0,65720,66110,65220,1.4,34.5,-16.4
10,2014/1/10,11,19.99,54.39,1260,9.72,2.8,38.75,2014,1,10,2,winter,1.pre,lhasa,southwest,1.4,9,-5.1,29,8,3.4,7,8,9.6,8,8.5,0,65610,66010,65240,4.4,34.2,-10.7
11,2014/1/11,12,22.81,48.84,1080,5.4,2.8,51.25,2014,1,11,2,winter,1.pre,lhasa,southwest,-1.6,4.8,-6.5,44,18,4.1,8.9,9,11,8,0,0,65760,66070,65390,-1.9,16.8,-11.5
12,2014/1/12,13,27.04,38.85,1170,10.8,3.5,46.25,2014,1,12,2,winter,1.pre,lhasa,southwest,-3.1,3.9,-6.6,52,10,2.6,7.2,13,9.2,13,6.5,0.2,66180,66490,65710,-1.5,31.3,-11.6
13,2014/1/13,14,16.7,54.39,1260,17.28,4.9,38.75,2014,1,13,2,winter,1.pre,lhasa,southwest,-4.6,4.9,-12.8,33,14,2.1,6.5,13,8.3,13,8.5,0,66430,66820,65930,-0.9,30.7,-17.5
14,2014/1/14,15,37.1,199,1260,12.96,4.9,37.5,2014,1,14,2,winter,1.pre,lhasa,southwest,-3.4,10.7,-12.7,47,10,1.5,3.8,11,4.8,11,8.5,0,65860,66210,65420,0.1,35.2,-17.2
15,2014/1/15,16,44.3,43.29,1080,6.48,2.8,41.25,2014,1,15,3,winter,1.pre,lhasa,southwest,3.3,12.4,-3,27,7,4.4,7,13,8.4,13,7,0,65620,66000,65310,5.7,38,-7.8
16,2014/1/16,17,13.41,44.4,1170,10.8,3.5,38.75,2014,1,16,3,winter,1.pre,lhasa,southwest,1.4,7.6,-4.6,31,12,1.7,7.1,9,10.2,11,8.5,0,65990,66310,65350,7.2,43.6,-10.7
17,2014/1/17,18,20.46,53.28,1170,7.56,3.5,40,2014,1,17,3,winter,1.pre,lhasa,southwest,-1,8.5,-8.1,30,6,1.7,4.6,6,6.1,6,8.7,0,66300,66620,65980,2.6,36.4,-14.3
18,2014/1/18,19,33.15,29.97,1260,7.56,2.8,45,2014,1,18,3,winter,1.pre,lhasa,southwest,1.1,10.9,-5.6,24,8,5.5,8.7,10,11.4,10,8,0,66310,66650,65990,3.9,37.7,-11.7
19,2014/1/19,20,13.41,35.52,1170,8.64,2.8,41.25,2014,1,19,3,winter,1.pre,lhasa,southwest,1.4,7,-5.6,19,6,4.4,8.5,10,11.5,13,7.8,0,66130,66270,65930,5.3,37.2,-10.9
20,2014/1/20,21,13.41,52.17,810,12.96,4.2,38.75,2014,1,20,3,winter,1.pre,lhasa,southwest,-3,5.3,-10.3,34,9,1.9,5.7,13,8.5,13,8.8,0,66760,67080,66130,0.9,34.6,-15.6
21,2014/1/21,22,17.17,89,450,15.12,4.2,37.5,2014,1,21,3,winter,1.pre,lhasa,southwest,-3.6,8.1,-12.2,27,6,2.2,5.6,13,6.9,13,8.8,0,66760,67070,66410,-0.8,34.9,-18.2
22,2014/1/22,23,57.4,147,630,16.2,4.9,36.25,2014,1,22,4,winter,1.pre,lhasa,southwest,-2.7,11.3,-12.3,36,7,1.9,5.1,13,6.5,13,8.9,0,66470,66780,65960,0.7,36.1,-17.3
23,2014/1/23,24,37.5,77,360,14.04,4.2,40,2014,1,23,4,winter,1.pre,lhasa,southwest,3.4,12.9,-4.7,25,8,2.7,4.8,4,6.1,5,8.2,0,66050,66410,65610,6.9,43.6,-11.6
24,2014/1/24,25,27.04,97,450,14.04,4.2,48.75,2014,1,24,4,winter,1.pre,lhasa,southwest,1.9,11.8,-5.2,31,7,2,5.4,13,7.2,13,8.4,0,65930,66220,65670,3.9,37.5,-11.3
25,2014/1/25,26,28.92,53.28,450,10.8,4.2,40,2014,1,25,4,winter,1.pre,lhasa,southwest,2.8,10.3,-3.4,27,9,5.2,7.5,13,9.8,9,9,0,65840,66050,65600,6.4,38.7,-8.8
26,2014/1/26,27,20.46,49.95,270,7.56,2.8,45,2014,1,26,4,winter,1.pre,lhasa,southwest,0.4,11.7,-9,22,5,1.7,7.1,13,9,14,8.5,0,66160,66550,65740,3.5,40.1,-15.8
27,2014/1/27,28,21.4,52.17,270,3.24,2.8,46.25,2014,1,27,4,winter,1.pre,lhasa,southwest,2.7,11.8,-7,26,6,3.6,7.6,9,10.3,10,9,0,65900,66290,65410,7.1,41,-13.7
28,2014/1/28,29,10.32,44.4,270,7.56,3.5,42.5,2014,1,28,4,winter,1.pre,lhasa,southwest,1.5,8.2,-5.7,24,8,2.7,9.7,9,12.4,10,9.2,0,66110,66410,65450,6.1,42.6,-11.6
29,2014/1/29,30,12.47,54.39,360,10.8,3.5,43.75,2014,1,29,5,winter,1.pre,lhasa,southwest,-2.5,6.3,-9.6,25,8,3,5.5,13,7.3,12,8.6,0,66400,66740,66040,0.2,37.6,-16.1
30,2014/1/30,31,22.81,97,360,9.72,4.9,43.75,2014,1,30,5,winter,1.pre,lhasa,southwest,1.5,8.5,-5,22,8,3.8,5.6,12,8,11,5.6,0,66150,66450,65740,6.4,38.2,-10.7
31,2014/1/31,32,28.45,46.62,360,7.56,4.2,42.5,2014,1,31,5,winter,1.pre,lhasa,southwest,0.5,9.5,-7.2,26,6,1.5,5.6,9,7.7,11,9.4,0,66230,66570,65890,4.4,40.5,-13.4
32,2014/2/1,33,29.39,51.06,450,12.96,4.9,40,2014,2,1,5,winter,1.pre,lhasa,southwest,0.6,10.3,-6.9,21,4,3.2,5.3,13,7.7,13,9.4,0,66250,66540,65950,5.2,40.4,-12.7
33,2014/2/2,34,38.3,43.29,450,9.72,4.9,41.25,2014,2,2,5,winter,1.pre,lhasa,southwest,0.3,11.9,-8.2,20,5,3,5.7,13,7.5,12,9.5,0,66250,66540,65910,4.3,39.6,-14.1
34,2014/2/3,35,26.1,157,720,15.12,5.6,41.25,2014,2,3,5,winter,1.pre,lhasa,southwest,1.3,12.9,-8.5,20,6,2.1,6.4,13,8.3,14,9.5,0,65930,66310,65300,4,40.5,-16.5
35,2014/2/4,36,39.5,93,450,10.8,4.2,41.25,2014,2,4,5,winter,1.pre,lhasa,southwest,4.5,14.3,-4,20,5,3.3,10.6,13,13.4,13,6.7,0,65370,65660,64960,6.4,41.8,-11.2
36,2014/2/5,37,26.1,42.18,270,5.4,2.8,42.5,2014,2,5,6,winter,1.pre,lhasa,southwest,4.7,12.3,-3.8,23,5,3.7,7.8,13,10.9,13,9.5,0,65210,65540,64880,6.3,40.8,-11.4
37,2014/2/6,38,12.47,37.74,360,8.64,3.5,41.25,2014,2,6,6,winter,1.pre,lhasa,southwest,3.4,11.4,-4.2,24,3,3.1,8.7,9,11.8,8,9.7,0,65370,65620,64920,6.6,41,-10
38,2014/2/7,39,15.29,83,450,8.64,3.5,53.75,2014,2,7,6,winter,1.pre,lhasa,southwest,1.8,12.2,-6.8,17,4,2.3,8.4,13,11.1,13,9.8,0,65400,65780,64930,5,41.5,-13.7
39,2014/2/8,40,25.16,87,360,8.64,3.5,46.25,2014,2,8,6,winter,1.pre,lhasa,southwest,3.5,12.9,-4.4,29,9,2.8,8.2,10,10.8,9,9.7,0,64980,65340,64560,8.4,44.1,-9.5
40,2014/2/9,41,24.69,237,360,7.56,3.5,46.25,2014,2,9,6,winter,1.pre,lhasa,southwest,3.8,13.1,-3.3,31,14,3.4,7.9,9,11.4,10,9.8,0,64920,65290,64460,8.6,42.1,-8.5
41,2014/2/10,42,38.3,277,360,3.24,2.8,52.5,2014,2,10,6,winter,1.pre,lhasa,southwest,5.8,16.4,-1.5,28,4,5.8,8.7,9,11.9,9,9.2,0,64830,65150,64510,10.2,45.9,-5.9
42,2014/2/11,43,39.9,141,450,7.56,3.5,55,2014,2,11,6,winter,1.pre,lhasa,southwest,2.6,11.6,-3.9,31,11,6,12.8,9,16.2,9,9.6,0,64940,65240,64420,8.4,42.9,-8.4
