"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,170.5,321,2970,79.76,28.7,40,2014,1,1,1,"winter","1.pre","nanchang","southeast",8.3,17.1,2.2,55,23,1.1,2,10,2.6,10,8.1,0,101530,101830,101260,6.8,28.7,-3.5
"2",2014-01-02,3,168.5,359.9,2340,67.8,23.1,40,2014,1,2,1,"winter","1.pre","nanchang","southeast",9.5,17.2,3.9,56,27,0.9,1.6,3,2.4,4,7.6,0,101170,101330,100900,8,27,-1.5
"3",2014-01-03,4,160.5,251,1170,37.8,24.5,36.25,2014,1,3,1,"winter","1.pre","nanchang","southeast",12.6,18.4,8.5,44,20,1.6,3.1,1,4.8,1,1.7,0,101340,101540,101140,11.3,29.1,5.2
"4",2014-01-04,5,99.2,377.4,1890,63.2,25.9,115,2014,1,4,1,"winter","1.pre","nanchang","southeast",11.2,15.6,8.5,31,21,1.4,3,1,4.9,2,8.1,0,101720,102010,101550,9.6,30.6,0.8
"5",2014-01-05,6,125.8,239,1440,42.12,26.6,113.75,2014,1,5,1,"winter","1.pre","nanchang","southeast",8.4,15,2.9,55,30,0.7,2.4,5,3.3,5,8,0,101600,101820,101390,7.5,29.2,-2.9
"6",2014-01-06,7,125.8,185,1530,29.16,13.3,26.25,2014,1,6,1,"winter","1.pre","nanchang","southeast",9.1,12.1,6.4,56,44,1.2,2.3,5,3.2,5,0,0.1,101340,101590,101100,7.8,19.3,0.1
"7",2014-01-07,8,129.6,139,1890,27,11.2,23.75,2014,1,7,1,"winter","1.pre","nanchang","southeast",9.3,11,8,81,61,1.9,3.5,1,5.3,15,0,2.2,101140,101390,101000,8.9,11.8,7.7
"8",2014-01-08,9,108.7,137,1440,23.76,14.7,23.75,2014,1,8,2,"winter","1.pre","nanchang","southeast",7.3,8.6,6.3,82,73,1.8,3.9,1,6,1,0,5.1,102070,102360,101330,6.7,11.3,3.8
"9",2014-01-09,10,108.7,95,1350,24.84,18.2,22.5,2014,1,9,2,"winter","1.pre","nanchang","southeast",6.4,9.4,4.1,73,57,2.1,3.7,2,7.2,1,4.5,0,102450,102690,102290,6.2,18.2,2.1
"10",2014-01-10,11,66.9,69,990,18.36,7.7,21.25,2014,1,10,2,"winter","1.pre","nanchang","southeast",5.9,9.1,2.7,76,61,1.6,3.5,5,4.6,5,4.4,0,102290,102550,102000,6.6,19.3,-0.6
"11",2014-01-11,12,49.9,77,1080,19.44,8.4,21.25,2014,1,11,2,"winter","1.pre","nanchang","southeast",5,7.2,4.7,92,76,2.2,3.3,2,5.9,1,0,5.5,102310,102460,102160,5.3,6.6,4.8
"12",2014-01-12,13,49.5,131,1440,27,16.8,26.25,2014,1,12,2,"winter","1.pre","nanchang","southeast",6.1,8.5,4.7,80,64,1.4,3.2,16,5,1,0,0.3,102610,102790,102390,6,14.8,3.1
"13",2014-01-13,14,93.5,191,1890,30.24,21,33.75,2014,1,13,2,"winter","1.pre","nanchang","southeast",5.9,8.8,4,77,60,1.4,2.7,2,4.8,1,0,0,102500,102730,102280,4.9,14.2,0.9
"14",2014-01-14,15,141,155,1350,28.08,21,51.25,2014,1,14,2,"winter","1.pre","nanchang","southeast",4.1,7.8,2,81,58,2,2.4,3,3.7,15,0.9,0,102530,102730,102360,4.2,14.5,-0.7
"15",2014-01-15,16,112.5,157,1440,43.2,24.5,33.75,2014,1,15,3,"winter","1.pre","nanchang","southeast",5.2,11,1.7,68,39,1.5,3,3,4.3,3,8.3,0,102540,102780,102280,5.4,22.3,-1.3
"16",2014-01-16,17,95.4,151,1170,33.48,16.1,42.5,2014,1,16,3,"winter","1.pre","nanchang","southeast",6.5,12.4,1.3,61,44,1.2,2.4,5,3.1,5,7.6,0,102180,102430,101930,6.9,26,-2.6
"17",2014-01-17,18,74.5,205,1440,28.08,21.7,38.75,2014,1,17,3,"winter","1.pre","nanchang","southeast",10.6,16.7,7.2,55,26,1.2,3,2,4.5,2,7.7,0,102170,102330,102020,11.6,29.9,4.5
"18",2014-01-18,19,151.5,281,2250,57.68,30.1,47.5,2014,1,18,3,"winter","1.pre","nanchang","southeast",8.4,12.5,5.1,40,19,1.9,4,2,5.7,16,8.6,0,102730,103080,102310,8.4,27.4,-0.2
"19",2014-01-19,20,169.5,251,1530,37.8,15.4,38.75,2014,1,19,3,"winter","1.pre","nanchang","southeast",6.4,13.7,1.2,54,34,0.9,2.7,5,3.7,7,7.6,0,102320,102740,102040,6.1,27.9,-3.9
"20",2014-01-20,21,148.6,151,900,21.6,16.8,32.5,2014,1,20,3,"winter","1.pre","nanchang","southeast",9.1,14.8,4.4,45,16,1.6,3.9,3,6.2,3,7.9,0,102350,102570,102100,8.7,27.8,-0.6
"21",2014-01-21,22,53.1,139,990,31.32,17.5,33.75,2014,1,21,3,"winter","1.pre","nanchang","southeast",6.8,11.6,3.4,31,17,1.2,3.6,3,5.8,2,8.9,0,102620,102870,102410,6.5,27.7,-2.7
"22",2014-01-22,23,55.5,209,1890,59.52,23.1,70,2014,1,22,4,"winter","1.pre","nanchang","southeast",5.9,11.9,0.1,36,19,1.4,2.4,7,3.4,7,8.7,0,102350,102690,102100,6.4,31.5,-6.1
"23",2014-01-23,24,108.7,293,3060,77,21,45,2014,1,23,4,"winter","1.pre","nanchang","southeast",7.3,15.3,0.9,45,24,1.8,2.7,12,3.9,11,9.4,0,101730,102170,101350,7.3,33,-5.7
"24",2014-01-24,25,135.3,366.9,2340,52.92,21.7,45,2014,1,24,4,"winter","1.pre","nanchang","southeast",10.7,21,3,49,24,1.4,3.2,11,4.4,10,9.3,0,101100,101410,100740,9.8,36.2,-3.2
"25",2014-01-25,26,197.5,275,1890,30.24,30.1,28.75,2014,1,25,4,"winter","1.pre","nanchang","southeast",12.1,17.7,7.1,51,32,2,3.7,3,5.9,3,6.9,0,101330,101580,100990,10.8,27.4,2.7
"26",2014-01-26,27,200.5,197,1620,37.8,18.2,32.5,2014,1,26,4,"winter","1.pre","nanchang","southeast",9.1,12.6,7.3,60,36,2.8,4.3,2,6.7,1,0.3,0,101890,102140,101580,8.5,20.4,4.4
"27",2014-01-27,28,142.9,215,1800,34.56,13.3,35,2014,1,27,4,"winter","1.pre","nanchang","southeast",10.2,14.8,7.4,65,47,0.6,2,2,3.1,1,2.7,0,101680,101970,101380,11.9,27.8,4.8
"28",2014-01-28,29,137.2,193,1890,30.24,21,25,2014,1,28,4,"winter","1.pre","nanchang","southeast",11.7,15.8,8.2,67,54,1.6,2.9,2,4.5,3,0,0,101550,101810,101410,12.1,25.9,4.2
"29",2014-01-29,30,155.5,401.2,2700,32.4,24.5,45,2014,1,29,5,"winter","1.pre","nanchang","southeast",11.8,15.3,10.1,71,57,1.4,2.5,3,4.4,3,0,0,101440,101660,101270,12.3,28.2,7.3
