"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,167.5,380.2,50500,66.88,31.5,40,2014,1,1,1,"winter","1.pre","nanjing","east",6.3,16.3,-0.3,54,20,1.3,3.9,14,6.6,12,8,0,101590,101800,101390,4.9,24.2,-4.9
"2",2014-01-02,3,190.5,445.8,50500,58.6,30.8,18.75,2014,1,2,1,"winter","1.pre","nanjing","east",8.6,17.5,0.2,47,20,2,4.1,6,6.3,6,7.8,0,101390,101600,101130,7.2,24.6,-3.9
"3",2014-01-03,4,227.5,357.8,48500,49.68,23.8,16.25,2014,1,3,1,"winter","1.pre","nanjing","east",10,15,6.8,46,32,2.2,4.3,15,7,14,5.2,0,101410,101640,101190,8.4,24.9,3.3
"4",2014-01-04,5,189.5,379.5,34600,54.92,23.1,31.25,2014,1,4,1,"winter","1.pre","nanjing","east",5.9,10.1,4.3,70,33,0.5,4.1,1,6,16,0,0,101930,102180,101640,5.2,14.3,0.5
"5",2014-01-05,6,223.5,247,50500,38.88,22.4,56.25,2014,1,5,1,"winter","1.pre","nanjing","east",4.8,11.1,-1.3,74,41,1.6,2.8,8,3.9,7,6.5,0,101930,102100,101790,4.6,22.1,-3.4
"6",2014-01-06,7,161.5,131,50500,33.48,10.5,27.5,2014,1,6,1,"winter","1.pre","nanjing","east",7.1,12.8,2.3,67,37,5.7,8.4,6,12.2,6,7.3,0,101840,102070,101610,7.2,19.1,0.2
"7",2014-01-07,8,84,95,48300,24.84,8.4,33.75,2014,1,7,1,"winter","1.pre","nanjing","east",8,9.5,7.2,89,59,3.1,6.7,6,10,6,0,3.5,101510,101700,101350,7.8,11.3,6.5
"8",2014-01-08,9,65,105,41000,25.92,11.2,31.25,2014,1,8,2,"winter","1.pre","nanjing","east",5.2,8,3,92,84,4.7,6.4,1,11.2,1,0,6.3,102250,102730,101590,5.7,7.8,3.1
"9",2014-01-09,10,51.9,161,50500,39.96,16.8,37.5,2014,1,9,2,"winter","1.pre","nanjing","east",1.9,5.4,-1.2,67,46,1.7,5.5,6,9.1,6,7.1,0,102890,103130,102690,3.5,15.7,-1.2
"10",2014-01-10,11,95.4,157,50500,44.28,19.6,22.5,2014,1,10,2,"winter","1.pre","nanjing","east",2.9,7.2,-1,68,48,3.8,6.7,6,9.9,5,6.5,0,102750,102960,102370,3.4,14,-1.8
"11",2014-01-11,12,101.1,205,26900,41.04,21.7,42.5,2014,1,11,2,"winter","1.pre","nanjing","east",4.3,5.2,3.8,81,59,3.3,5.2,5,7.9,5,0,0.7,102690,102900,102560,4.2,7.6,3
"12",2014-01-12,13,146.7,187,39300,33.48,18.9,32.5,2014,1,12,2,"winter","1.pre","nanjing","east",5.7,9.4,4.3,78,53,1.9,4,1,6.3,16,2.6,0.1,102800,102970,102640,6.1,16.8,2.6
"13",2014-01-13,14,116.3,149,48400,44.28,21.7,30,2014,1,13,2,"winter","1.pre","nanjing","east",2.9,5.6,1.2,76,59,2.1,5.7,5,8.2,5,0.7,0,102890,103130,102710,3,11.6,-0.6
"14",2014-01-14,15,84,173,48400,46.44,21,43.75,2014,1,14,2,"winter","1.pre","nanjing","east",2.4,7.7,-0.4,66,45,2.2,4,5,6.1,5,5.7,0,102920,103070,102730,3.9,18.5,-2.2
"15",2014-01-15,16,112.5,181,32800,48.6,17.5,35,2014,1,15,3,"winter","1.pre","nanjing","east",2.3,6.9,-1.8,63,38,2.4,5,7,7.5,7,7.9,0,103000,103240,102760,2.7,17.2,-3.5
"16",2014-01-16,17,108.7,279,34300,44.28,16.8,47.5,2014,1,16,3,"winter","1.pre","nanjing","east",4.8,11,0.8,64,35,2.3,4.2,6,5.9,6,8.4,0,102450,102800,102170,6.3,22.6,-1.3
"17",2014-01-17,18,167.5,445.8,46500,54,29.4,113.75,2014,1,17,3,"winter","1.pre","nanjing","east",6.2,12,1.8,63,35,1.8,4,15,6.5,15,6.7,0,102370,102560,102180,6.1,21.7,-0.5
"18",2014-01-18,19,332.5,414.5,50500,71.48,28.7,68.75,2014,1,18,3,"winter","1.pre","nanjing","east",3.3,7.3,1.9,74,53,2.1,4.7,1,7.8,1,0,0,103080,103330,102560,4.5,16,-0.5
"19",2014-01-19,20,308.5,307,40300,32.4,21.7,50,2014,1,19,3,"winter","1.pre","nanjing","east",3.4,11.6,-2.2,72,38,1.8,5.3,8,7.9,7,5.7,0,102510,103150,102100,3.9,19.2,-4.5
"20",2014-01-20,21,151.5,145,50500,37.8,23.1,47.5,2014,1,20,3,"winter","1.pre","nanjing","east",5.6,9.4,3,41,17,2.8,7.5,15,11.4,15,7.4,0,102500,102750,102210,4.4,19.2,-1.9
"21",2014-01-21,22,49.9,133,40200,46.44,21.7,33.75,2014,1,21,3,"winter","1.pre","nanjing","east",1.6,7,-1.8,39,17,1.6,6.3,1,9.6,16,8.7,0,102950,103180,102750,1.6,20.3,-5.7
