"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,170.5,211,1440,46.44,16.8,73.75,2014,1,1,1,"winter","1.pre","nanning","south",9.2,20.8,2.5,79,30,0.5,1.9,9,2.7,11,8.3,0,100470,100830,100100,13.2,34.8,2.5
"2",2014-01-02,3,142.9,237,1350,59.52,14.7,66.25,2014,1,2,1,"winter","1.pre","nanning","south",12.1,22.5,4.3,82,50,0.7,3.4,9,4.8,7,8.3,0,99980,100260,99680,15.3,36.6,4.1
"3",2014-01-03,4,151.5,273,1620,60.44,21,61.25,2014,1,3,1,"winter","1.pre","nanning","south",15.2,21.8,11.2,85,54,1.3,2.7,15,4.3,15,1.2,0,100250,100580,99810,18.2,34.8,10.2
"4",2014-01-04,5,168.5,223,1260,46.44,15.4,NA,2014,1,4,1,"winter","1.pre","nanning","south",14,20.9,9.1,76,40,1.5,3.1,16,4.7,16,7.5,0,100560,100910,100270,16.6,33.4,8.1
"5",2014-01-05,6,146.7,195,1260,32.4,7,51.25,2014,1,5,1,"winter","1.pre","nanning","south",12.3,21.4,5.2,77,43,1,4.5,9,6.6,9,7.4,0,100230,100540,99830,15,33,5.1
"6",2014-01-06,7,137.2,127,990,24.84,4.9,43.75,2014,1,6,1,"winter","1.pre","nanning","south",17.3,19.7,14,86,66,2.2,4.8,8,7.1,8,0,0,99970,100200,99750,16.8,20.6,12.1
"7",2014-01-07,8,89.7,99,1080,28.08,13.3,26.25,2014,1,7,1,"winter","1.pre","nanning","south",19.6,22.1,18,86,77,2.9,4.1,8,5.6,7,0,0,99890,100070,99680,20.9,30.6,16.3
"8",2014-01-08,9,66.9,105,1170,25.92,11.2,25,2014,1,8,2,"winter","1.pre","nanning","south",15.1,19.8,13.2,81,67,2,4,16,6.7,3,0,0.9,100550,100860,99930,15.8,20.3,13.4
"9",2014-01-09,10,70.7,225,1440,39.96,17.5,18.75,2014,1,9,2,"winter","1.pre","nanning","south",11.8,13.4,11,66,60,0.9,2.9,1,3.8,4,0,0.1,100950,101230,100750,13.3,17.8,11.2
"10",2014-01-10,11,146.7,199,1710,36.72,11.9,10,2014,1,10,2,"winter","1.pre","nanning","south",11.3,12.8,10.4,74,64,0.8,1.8,5,3,6,0,0,100830,101120,100540,12.9,18,10.7
"11",2014-01-11,12,151.5,65,1260,23.76,9.1,15,2014,1,11,2,"winter","1.pre","nanning","south",12.7,14.4,11.7,87,78,1.4,2.3,1,3.4,1,0,0.1,100820,101040,100650,13.7,16.9,12.5
"12",2014-01-12,13,39.1,87,990,29.16,11.2,32.5,2014,1,12,2,"winter","1.pre","nanning","south",10.8,12.3,9.5,82,69,2.5,3.7,16,5.3,1,0,0.4,101230,101540,100950,12.6,19.6,10.1
"13",2014-01-13,14,47.9,139,1080,44.28,16.1,51.25,2014,1,13,2,"winter","1.pre","nanning","south",9.5,11.3,8.1,70,59,2.3,4.4,15,6.3,1,0,0,101280,101600,101110,11.7,20.3,8.1
"14",2014-01-14,15,68.8,179,1530,47.52,18.9,56.25,2014,1,14,2,"winter","1.pre","nanning","south",6.6,15.4,1.3,80,37,1.1,3.2,15,5.3,15,9.5,0,101140,101410,100910,11,33.4,0.1
"15",2014-01-15,16,99.2,213,1800,58.6,16.1,51.25,2014,1,15,3,"winter","1.pre","nanning","south",6.8,17.3,0.9,77,34,0.6,2.8,3,4.7,4,8.7,0,101050,101390,100760,12,35.6,0.8
"16",2014-01-16,17,116.3,239,1890,49.68,14,58.75,2014,1,16,3,"winter","1.pre","nanning","south",9.3,18.2,3.1,81,49,0.7,2.1,9,2.8,4,5.3,0,100890,101170,100670,14.5,35.8,3.4
"17",2014-01-17,18,129.6,285,1890,51.84,15.4,36.25,2014,1,17,3,"winter","1.pre","nanning","south",11.8,19.7,6.4,78,42,0.8,3.2,15,4.7,15,6,0,100980,101280,100780,16.1,35.5,6.5
"18",2014-01-18,19,152.5,263,1800,50.76,16.1,78.75,2014,1,18,3,"winter","1.pre","nanning","south",10.1,19.3,4.8,78,36,0.8,3,2,4.3,3,8,0,101320,101680,101020,14.4,35,4.6
"19",2014-01-19,20,120.1,249,1800,58.6,20.3,61.25,2014,1,19,3,"winter","1.pre","nanning","south",10,20.7,2.9,76,32,0.6,3.4,9,5.6,9,8.8,0,101040,101340,100790,14.4,38.5,2.8
"20",2014-01-20,21,142.9,173,1170,43.2,16.8,53.75,2014,1,20,3,"winter","1.pre","nanning","south",11.3,19.6,4.9,71,37,1.6,4,2,6.3,16,7.6,0,101110,101360,100900,14.4,34.2,4.4
"21",2014-01-21,22,95.4,237,1440,48.6,18.9,40,2014,1,21,3,"winter","1.pre","nanning","south",10.3,19.2,4.1,63,17,1.1,4,1,6.4,16,9.3,0,101200,101460,100980,14.4,37.9,3.4
"22",2014-01-22,23,106.8,163,990,43.2,20.3,38.75,2014,1,22,4,"winter","1.pre","nanning","south",7.7,19.5,0.2,69,16,0.8,2.3,5,4.3,7,9.3,0,101130,101420,100810,12.6,38.8,0
"23",2014-01-23,24,95.4,103,810,24.84,9.1,61.25,2014,1,23,4,"winter","1.pre","nanning","south",8.9,20,0.2,68,29,1.4,4.2,9,5.9,9,8.9,0,100710,101010,100350,13,36.6,0.5
"24",2014-01-24,25,57.4,161,1170,47.52,8.4,27.5,2014,1,24,4,"winter","1.pre","nanning","south",13.3,19.5,5.7,78,51,2,4.8,8,6.5,9,0.7,0,100120,100460,99730,15,37.3,5.1
"25",2014-01-25,26,89.7,269,1530,56.76,11.2,45,2014,1,25,4,"winter","1.pre","nanning","south",13,19.3,9.1,92,68,1.1,2.4,6,3.6,10,0,0,100310,100530,99960,13.3,28.7,8.6
