"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,116.3,295,1890,46.44,30.1,37.5,2014,1,1,1,"winter","1.pre","qingdao","east",7.5,11.4,3.7,28,18,2.4,4.3,9,6.7,9,7.8,0,100750,100930,100580,4.2,20.1,-3.2
"2",2014-01-02,3,122,333,1980,59.52,35.8,36.25,2014,1,2,1,"winter","1.pre","qingdao","east",7,9.9,4.1,66,24,2.1,4.5,7,7.6,6,6.3,0,101060,101290,100900,3.9,18.3,-3.2
"3",2014-01-03,4,159.5,195,1260,29.16,28,60,2014,1,3,1,"winter","1.pre","qingdao","east",5.5,7.7,2.8,77,47,2.9,7.1,2,10.4,2,5.3,0,100950,101330,100680,4.6,15.3,0.1
"4",2014-01-04,5,49.9,263,1890,41.04,34.3,68.75,2014,1,4,1,"winter","1.pre","qingdao","east",1.9,5.5,-1.1,58,31,3.1,5.1,1,8.8,2,8.4,0,101490,101700,101320,2.3,17.4,-4.5
"5",2014-01-05,6,176.5,478.6,2790,62.28,43,70,2014,1,5,1,"winter","1.pre","qingdao","east",4.2,6.3,3.1,68,60,2.7,3.6,9,6.5,9,2.7,0,101450,101630,101330,2.7,14.5,-1.6
"6",2014-01-06,7,296.5,197,1440,41.04,21,85,2014,1,6,1,"winter","1.pre","qingdao","east",1.9,6,-1.7,89,65,1.6,3.7,16,5.3,16,0,0,101700,101900,101540,2.6,14.3,-2.4
"7",2014-01-07,8,68.8,161,1260,25.92,22.4,58.75,2014,1,7,1,"winter","1.pre","qingdao","east",6.8,8.9,5.6,88,76,1.5,2.9,7,5.8,7,0,2.6,101440,101620,101270,6.3,12.9,1.8
"8",2014-01-08,9,53.1,135,1530,39.96,32.9,47.5,2014,1,8,2,"winter","1.pre","qingdao","east",0.4,5.6,-2.8,60,32,6.3,8.4,2,15,2,4.6,0.1,101950,102350,101530,1,9,-3.2
"9",2014-01-09,10,68.8,231,1440,51.84,40.6,45,2014,1,9,2,"winter","1.pre","qingdao","east",-2.2,1.2,-4.8,56,27,1.9,5.8,1,10,2,7.9,0,102350,102560,102140,-0.9,11.9,-6
"10",2014-01-10,11,155.5,305,1710,54,40.6,55,2014,1,10,2,"winter","1.pre","qingdao","east",0.3,2.9,-1.8,67,54,2.7,4.8,13,8.2,14,3.7,0,102300,102480,102130,-0.7,10.6,-4.7
"11",2014-01-11,12,196.5,283,1710,37.8,34.3,46.25,2014,1,11,2,"winter","1.pre","qingdao","east",2.1,4.9,-0.3,70,51,1.6,3.1,11,5.2,10,3.8,0,102260,102490,102040,0.7,11.4,-3.8
"12",2014-01-12,13,45.5,141,1440,31.32,27.3,55,2014,1,12,2,"winter","1.pre","qingdao","east",0.4,2.9,-2.5,56,34,4.1,7.1,16,11.2,16,6.8,0,102390,102690,102060,0.9,11.4,-3.4
"13",2014-01-13,14,43.9,356.4,1440,59.52,34.3,46.25,2014,1,13,2,"winter","1.pre","qingdao","east",-1.5,2.1,-4.8,56,43,1.5,4.8,2,8.1,2,8.4,0,102510,102770,102230,-0.4,14,-7.1
"14",2014-01-14,15,114.4,441,1980,79.76,51,43.75,2014,1,14,2,"winter","1.pre","qingdao","east",1.1,3,-0.9,60,45,2.6,4,16,6.2,1,6.6,0,102440,102560,102320,0.6,13.6,-4
"15",2014-01-15,16,252.5,249,1620,51.84,43.8,62.5,2014,1,15,3,"winter","1.pre","qingdao","east",1.8,5.2,-0.7,61,36,2.1,2.8,15,4.1,15,6.1,0,102440,102640,102230,0.8,14.9,-4.8
"16",2014-01-16,17,184.5,384.4,2160,49.68,41.4,45,2014,1,16,3,"winter","1.pre","qingdao","east",3.4,5.9,1.6,65,54,1.9,5,10,8.3,10,3.2,0,101940,102260,101710,1.6,13.7,-3.1
"17",2014-01-17,18,232.5,285,2070,50.76,51,38.75,2014,1,17,3,"winter","1.pre","qingdao","east",0.6,3.5,-1,81,63,3.6,7.4,16,12.6,16,0,0,101960,102190,101790,-0.1,7.1,-3.4
"18",2014-01-18,19,209.5,253,1890,48.6,33.6,43.75,2014,1,18,3,"winter","1.pre","qingdao","east",-0.6,2.8,-3,76,49,3.8,8.6,16,13,16,4.8,0,102420,102630,102200,-0.1,10,-4.3
