"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,127.7,139,1170,57.68,11.9,48.75,2014,1,1,1,"winter","1.pre","shanghai","east",5.7,15.6,-0.7,59,20,1.3,5.6,12,8.6,12,7.6,0,101980,102170,101810,4.1,19.2,-2
"2",2014-01-02,3,93.5,165,1080,58.6,22.4,26.25,2014,1,2,1,"winter","1.pre","shanghai","east",7.2,15.7,0,67,33,1.7,4.5,4,6.9,5,7.8,0,101850,102040,101610,6,21.5,-1.5
"3",2014-01-03,4,133.4,143,810,38.88,13.3,22.5,2014,1,3,1,"winter","1.pre","shanghai","east",11.6,15.9,8.2,58,24,2,4.7,14,8.2,14,5.1,0,101630,101860,101490,9.4,20.7,4.1
"4",2014-01-04,5,104.9,61,630,39.96,9.1,16.25,2014,1,4,1,"winter","1.pre","shanghai","east",7.2,11.8,5.2,76,41,2.4,5,2,8,2,0,0,102170,102340,101860,5.5,13.3,0.8
"5",2014-01-05,6,41.9,39.96,630,30.24,7,35,2014,1,5,1,"winter","1.pre","shanghai","east",4,9.8,-0.7,78,55,1.3,3.3,5,5.3,5,6.4,0,102400,102550,102240,4.3,19.1,-1.7
"6",2014-01-06,7,27.51,53.28,630,36.72,4.9,35,2014,1,6,1,"winter","1.pre","shanghai","east",8.1,13.3,0.4,71,47,2.5,5.4,6,9.3,6,6.7,0,102440,102660,102270,6.8,23.1,-1.5
"7",2014-01-07,8,43.5,43.29,540,23.76,7,33.75,2014,1,7,1,"winter","1.pre","shanghai","east",10.3,12.1,8.9,85,69,1.9,3.7,6,6.8,7,0,3.9,101930,102370,101670,8.5,12.2,4.9
"8",2014-01-08,9,37.9,59,450,17.28,7,32.5,2014,1,8,2,"winter","1.pre","shanghai","east",7.4,10.5,5,86,70,4.1,5.9,1,12.1,1,0,8.9,102260,102870,101690,6.9,9.2,3.7
"9",2014-01-09,10,34.09,79,540,27,9.8,35,2014,1,9,2,"winter","1.pre","shanghai","east",3,5,1.7,58,47,2.8,5.9,1,10.5,2,5.7,0,103240,103450,102870,2.6,12,-0.4
"10",2014-01-10,11,43.5,57,540,24.84,6.3,31.25,2014,1,10,2,"winter","1.pre","shanghai","east",2.5,7.9,-2.7,70,34,1.1,4.8,4,8.3,4,7.6,0,103280,103440,102930,3.8,15.4,-0.9
"11",2014-01-11,12,46.3,87,540,28.08,9.1,37.5,2014,1,11,2,"winter","1.pre","shanghai","east",5.6,6.5,4.4,76,61,3.2,4.2,4,7,4,0,2.5,103100,103270,102940,4.9,9.2,2.3
"12",2014-01-12,13,59.3,51.06,450,19.44,9.1,32.5,2014,1,12,2,"winter","1.pre","shanghai","east",5.9,8.3,4.5,73,51,2.3,4,3,7.6,16,0,4.1,103080,103260,102900,6.2,14.3,2.8
"13",2014-01-13,14,37.1,27.75,630,20.52,7.7,33.75,2014,1,13,2,"winter","1.pre","shanghai","east",4.7,6.4,3.4,65,50,3.1,4.7,2,9.4,2,3.4,0,103200,103410,103060,5.1,14.6,1
