"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,37.9,143,990,35.64,45.4,16.25,2014,1,1,1,"winter","1.pre","shenyang","northeast",-3.2,2.1,-10.2,38,22,3.4,7.4,14,11.3,13,7.4,0,100710,101310,100280,-5.2,5.9,-12.3
"2",2014-01-02,3,53.5,85,450,28.08,47,8.75,2014,1,2,1,"winter","1.pre","shenyang","northeast",-4.9,4.3,-15.3,49,25,2.7,6.9,11,10.1,11,7.3,0,101180,101610,100740,-6.1,5.8,-14
"3",2014-01-03,4,49.1,217,1800,45.36,108,8.75,2014,1,3,1,"winter","1.pre","shenyang","northeast",-4.6,1.2,-9.5,44,31,2.5,4.7,3,8,1,7.6,0,101620,101950,100830,-5,5.5,-10.5
"4",2014-01-04,5,166.5,157,1260,36.72,81.6,15,2014,1,4,1,"winter","1.pre","shenyang","northeast",-10,-1.9,-15.3,58,28,1.3,3,4,4.2,5,7.6,0,101890,102090,101680,-8.3,5.5,-14.8
"5",2014-01-05,6,127.7,199,1530,39.96,108,10,2014,1,5,1,"winter","1.pre","shenyang","northeast",-6.9,-2,-10.5,60,38,2.2,3.5,3,5.1,16,6.9,0.2,101920,102140,101670,-6,4.1,-10.8
"6",2014-01-06,7,164.5,97,630,30.24,47,21.25,2014,1,6,1,"winter","1.pre","shenyang","northeast",-7.7,0.1,-15.8,73,49,2.3,5.4,11,8,10,5.1,0,101910,102250,101600,-7,4.7,-14.8
"7",2014-01-07,8,51.9,53.28,270,24.84,37.4,28.75,2014,1,7,1,"winter","1.pre","shenyang","northeast",-1.6,0.3,-4.6,55,35,2.4,5.4,15,7.4,1,6.1,0,101960,102350,101610,-2.1,7.7,-7.4
"8",2014-01-08,9,27.04,131,990,38.88,48.6,16.25,2014,1,8,2,"winter","1.pre","shenyang","northeast",-12.3,-4.5,-15.6,34,25,3.3,6.9,16,9.6,16,8,0,102630,102780,102340,-10.1,4,-15.5
"9",2014-01-09,10,89.7,167,1440,46.44,61.4,13.75,2014,1,9,2,"winter","1.pre","shenyang","northeast",-14.6,-7.2,-20.5,48,22,1.6,4.7,13,6.8,12,8,0,102390,102690,102220,-13,3.2,-19.8
"10",2014-01-10,11,110.6,181,1530,47.52,59,11.25,2014,1,10,2,"winter","1.pre","shenyang","northeast",-12.4,-2.5,-20.1,49,19,1.9,4.2,12,6.2,11,8,0,102320,102450,102160,-12,5.9,-19.4
