"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,156.5,215,1620,84.36,14.7,80,2014,1,1,1,"winter","1.pre","shenzhen","south",15.1,22.1,10.9,44,23,1.6,2.9,10,5.1,11,8.2,0,101160,101430,100950,15.8,36.3,5.1
"2",2014-01-02,3,129.6,241,1710,82.52,13.3,110,2014,1,2,1,"winter","1.pre","shenzhen","south",16.4,22.1,11.9,64,41,1.6,2.8,4,4.8,3,5,0,100910,101100,100690,16.7,33.6,8.1
"3",2014-01-03,4,154.5,215,1620,58.6,13.3,107.5,2014,1,3,1,"winter","1.pre","shenzhen","south",19.5,24.3,15.7,62,48,1.3,2.9,10,5.4,10,7.8,0,100830,101030,100610,20.7,37.1,12.3
"4",2014-01-04,5,144.8,197,1350,35.64,12.6,132.2,2014,1,4,1,"winter","1.pre","shenzhen","south",18.5,21.6,15.6,43,29,2.1,5.1,1,7.9,3,7.7,0,101030,101270,100820,18.5,34.2,11
"5",2014-01-05,6,133.4,205,1530,41.04,12.6,106.25,2014,1,5,1,"winter","1.pre","shenzhen","south",16,19.9,13.2,39,26,2.3,4,3,6.7,4,8.1,0,101100,101350,100930,17.1,35.1,8.8
"6",2014-01-06,7,133.4,113,1170,33.48,9.8,66.25,2014,1,6,1,"winter","1.pre","shenzhen","south",16.3,20.9,13,60,42,2.7,4.4,4,8.2,4,8.2,0,101000,101260,100790,18.3,36.6,9.9
"7",2014-01-07,8,54.7,139,1440,46.44,7.7,40,2014,1,7,1,"winter","1.pre","shenzhen","south",18.1,21.3,16,75,59,2.4,4.6,4,8.4,3,5.3,0,100870,101010,100690,20.6,38.7,13.6
"8",2014-01-08,9,82.1,95,1710,31.32,5.6,45,2014,1,8,2,"winter","1.pre","shenzhen","south",18.8,22.1,16.5,79,70,1.8,5.4,1,8.5,2,0.6,0,101050,101260,100880,19.6,28.7,16.5
"9",2014-01-09,10,53.5,117,1620,34.56,6.3,57.5,2014,1,9,2,"winter","1.pre","shenzhen","south",13.9,16.6,12.3,60,54,2.4,5.8,3,9.4,3,0,0,101550,101760,101270,15.5,21.7,11.9
"10",2014-01-10,11,72.6,105,1260,37.8,9.8,71.25,2014,1,10,2,"winter","1.pre","shenzhen","south",14.4,17.2,12.8,67,54,2.3,4.6,4,7.1,5,1.3,0,101670,101920,101400,16.3,27.4,12.7
"11",2014-01-11,12,57.4,147,1530,43.2,5.6,91.25,2014,1,11,2,"winter","1.pre","shenzhen","south",16.5,22.4,12.8,70,47,2.4,3.8,4,7,4,9,0,101580,101820,101280,19.7,40,10.2
"12",2014-01-12,13,85.9,75,1260,24.84,4.9,42.5,2014,1,12,2,"winter","1.pre","shenzhen","south",16.5,20.9,13.8,73,53,2.7,5.4,1,8.8,16,7.4,0,101580,101770,101340,18.8,35.6,10.8
"13",2014-01-13,14,51.1,87,1440,25.92,4.9,53.75,2014,1,13,2,"winter","1.pre","shenzhen","south",11.5,16.4,9.3,66,57,3.2,5.7,1,9.7,2,1.5,0,101680,101950,101460,13.1,23.9,7.9
"14",2014-01-14,15,51.5,105,1260,30.24,6.3,80,2014,1,14,2,"winter","1.pre","shenzhen","south",11.5,15.4,8.4,62,49,2.4,6.1,2,9.9,2,9,0,101640,101780,101440,15.2,32.9,6.4
"15",2014-01-15,16,55.5,135,1440,50.76,7.7,83.75,2014,1,15,3,"winter","1.pre","shenzhen","south",12.3,18.1,9.2,50,30,2.6,5.1,2,9,3,8.9,0,101790,101990,101580,15.8,36.6,7.1
"16",2014-01-16,17,80.2,159,1620,54,7.7,107.5,2014,1,16,3,"winter","1.pre","shenzhen","south",13.6,19.6,9.6,61,34,1.7,3.7,10,5.7,3,8.7,0,101650,101860,101430,16.6,37,6.2
"17",2014-01-17,18,95.4,129,1530,38.88,7.7,83.75,2014,1,17,3,"winter","1.pre","shenzhen","south",15,19.9,11,66,33,1.5,4.5,1,9.1,3,8.7,0,101550,101750,101280,16.3,35,7.4
"18",2014-01-18,19,95.4,185,1800,51.84,9.8,115,2014,1,18,3,"winter","1.pre","shenzhen","south",15.9,20.2,13,33,19,2.9,6.7,2,11.6,2,9,0,101860,102170,101570,17,36.7,8.5
"19",2014-01-19,20,120.1,179,1620,61.36,9.1,98.75,2014,1,19,3,"winter","1.pre","shenzhen","south",14.1,18.3,10.7,46,27,1.5,4.1,2,7,2,6.3,0,101840,102150,101650,15.2,33,6.1
"20",2014-01-20,21,120.1,147,1170,28.08,9.8,92.5,2014,1,20,3,"winter","1.pre","shenzhen","south",15.5,21.1,11.5,49,19,2.1,5.7,1,9.3,16,8.8,0,101620,101870,101350,17.1,36.8,8
"21",2014-01-21,22,80.2,157,1170,38.88,8.4,83.75,2014,1,21,3,"winter","1.pre","shenzhen","south",14.2,17.4,10.7,23,14,2.6,7.3,2,11.7,2,8.7,0,101690,101870,101500,14.8,32.4,6.4
"22",2014-01-22,23,89.7,145,1350,57.68,9.8,96.25,2014,1,22,4,"winter","1.pre","shenzhen","south",13,18.8,8.8,22,13,2.9,5.1,2,11,4,8.6,0,101750,101990,101480,14.3,35.3,4.6
"23",2014-01-23,24,84,83,1170,42.12,7.7,68.75,2014,1,23,4,"winter","1.pre","shenzhen","south",13,18.6,9.6,58,25,1.6,4.2,10,6.1,10,9.4,0,101550,101800,101260,15.4,37.1,5.8
"24",2014-01-24,25,44.3,87,1080,46.44,7,66.25,2014,1,24,4,"winter","1.pre","shenzhen","south",15,21.1,11,70,53,2.2,4.5,3,7.8,4,9.1,0,101110,101430,100840,16.8,38.5,7.5
"25",2014-01-25,26,49.9,109,1350,39.96,9.1,102.5,2014,1,25,4,"winter","1.pre","shenzhen","south",18.9,24.4,15.7,71,52,1.6,3.2,3,6.6,4,1.3,0,100990,101170,100790,22.6,42,13.9
"26",2014-01-26,27,78.3,115,1260,25.92,7.7,87.5,2014,1,26,4,"winter","1.pre","shenzhen","south",19.6,26,17,68,41,1.4,4.5,6,8.2,5,5.1,0,101140,101370,100960,24.5,46.4,15.6
"27",2014-01-27,28,76.4,95,1260,41.04,17.5,86.25,2014,1,27,4,"winter","1.pre","shenzhen","south",17.1,22.5,14.6,62,39,1.9,4.3,4,8,4,7.4,0,101330,101560,101090,20.7,40.3,13.8
"28",2014-01-28,29,51.9,83,1260,41.04,7.7,81.25,2014,1,28,4,"winter","1.pre","shenzhen","south",17,23,13.8,72,45,1.6,3.4,4,5.2,4,7.5,0,101260,101540,101030,20.9,42.3,11.3
"29",2014-01-29,30,49.1,111,1350,50.76,11.2,88.75,2014,1,29,5,"winter","1.pre","shenzhen","south",18.3,25.4,14,62,28,1.5,3.2,7,5,4,9.9,0,101220,101460,101000,21.4,44,10.2
"30",2014-01-30,31,68.8,201,1440,50.76,15.4,96.25,2014,1,30,5,"winter","1.pre","shenzhen","south",18.2,24.8,13.7,69,42,1.1,3.4,10,4.8,10,9.7,0,101160,101460,100980,21.3,43.3,10.5
"31",2014-01-31,32,159.5,83,1170,32.4,6.3,62.5,2014,1,31,5,"winter","1.pre","shenzhen","south",19.5,26.8,15.2,63,32,1.2,3.6,10,5.5,10,9.3,0,101070,101270,100910,22.1,44.6,11.5
"32",2014-02-01,33,51.5,81,1260,32.4,7,61.25,2014,2,1,5,"winter","1.pre","shenzhen","south",20.2,26.8,16.9,74,36,1.5,3.8,10,5.5,11,8.4,0,100800,101070,100580,23.4,48.2,13.9
"33",2014-02-02,34,51.5,87,1530,41.04,11.2,87.5,2014,2,2,5,"winter","1.pre","shenzhen","south",19.8,25.4,15.9,73,44,1.2,3.9,10,6.6,10,9.9,0,100430,100720,100130,23.4,45,12.6
"34",2014-02-03,35,49.1,77,4320,24.84,6.3,67.5,2014,2,3,5,"winter","1.pre","shenzhen","south",20.2,26.7,16.1,71,42,1.2,4.2,11,5.9,10,9.5,0,100250,100440,100030,23.8,45.7,12.4
"35",2014-02-04,36,43.1,47.73,4410,11.88,2.1,56.25,2014,2,4,5,"winter","1.pre","shenzhen","south",18.7,21.4,17.4,73,60,2.2,5.3,7,9,7,7.6,0,100520,100710,100300,23.6,41,14.8
"36",2014-02-05,37,30.8,34.41,1710,21.6,9.1,46.25,2014,2,5,6,"winter","1.pre","shenzhen","south",17.5,21.3,15.9,74,60,2.3,4.2,4,9.3,4,1.4,0,100610,100870,100410,20.4,36.9,16.8
"37",2014-02-06,38,20.46,49.95,1710,28.08,6.3,37.5,2014,2,6,6,"winter","1.pre","shenzhen","south",19.1,24,16.9,80,62,2.7,4.7,10,6.5,3,4.5,0,100430,100690,100210,24.8,44.6,16.5
"38",2014-02-07,39,34.09,63,3510,20.52,4.9,30,2014,2,7,6,"winter","1.pre","shenzhen","south",20.4,23.9,18.1,81,67,1.1,3,10,4.3,3,0,0,100330,100540,100130,24.1,36.6,17.2
"39",2014-02-08,40,38.3,42.18,1260,18.36,4.9,38.75,2014,2,8,6,"winter","1.pre","shenzhen","south",14.1,21.3,12.9,87,70,2,4.3,4,7.3,3,0,0.9,100430,100640,100260,15.8,22.1,14.2
"40",2014-02-09,41,22.81,53.28,1440,14.04,3.5,42.5,2014,2,9,6,"winter","1.pre","shenzhen","south",13.4,16.1,10.1,92,88,2.9,4.3,1,8.9,16,0,7.8,100480,100740,100250,14.4,16.6,11.4
"41",2014-02-10,42,37.5,77,1440,16.2,4.9,47.5,2014,2,10,6,"winter","1.pre","shenzhen","south",6.9,10.1,6.2,79,66,3.6,5.3,1,11.3,1,0,1.4,101220,101450,100730,8.3,12.5,7.1
"42",2014-02-11,43,49.1,93,1260,21.6,2.8,45,2014,2,11,6,"winter","1.pre","shenzhen","south",6.1,7.5,5.3,63,56,3.7,4.9,1,10,3,0,0,101290,101490,101110,7.1,13,5.7
"43",2014-02-12,44,63.1,43.29,1440,21.6,2.1,47.5,2014,2,12,7,"winter","1.pre","shenzhen","south",6,7.4,4.4,83,61,2.3,4.7,1,7.2,1,0,0.4,101150,101360,100940,7.4,10.8,5.1
"44",2014-02-13,45,28.92,69,1260,18.36,4.2,61.25,2014,2,13,7,"winter","1.pre","shenzhen","south",6.4,7.4,5.8,90,84,2.8,5.2,1,9.4,16,0,10.7,101430,101630,101140,8,11.5,6.7
"45",2014-02-14,46,53.9,91,1530,28.08,4.2,52.5,2014,2,14,7,"winter","1.pre","shenzhen","south",9.2,14,5.9,64,45,2.6,5.2,1,8.3,1,6.8,0,101500,101770,101180,11.8,24.4,5.9
"46",2014-02-15,47,51.9,147,1440,41.04,5.6,51.25,2014,2,15,7,"winter","1.pre","shenzhen","south",9.6,11.9,7.3,68,56,2.4,4.6,2,7.3,2,0,0,101300,101550,101040,10.1,15.2,6.2
"47",2014-02-16,48,82.1,119,1530,47.52,7,51.25,2014,2,16,7,"winter","1.pre","shenzhen","south",14.7,16.7,11.9,82,72,2.6,3.6,4,6.8,4,0,0,101040,101250,100880,15.4,22.7,10.9
"48",2014-02-17,49,80.2,151,1710,47.52,7.7,35,2014,2,17,7,"winter","1.pre","shenzhen","south",19,25.4,15.3,85,61,1.6,3.4,6,5.7,10,6.7,0,101040,101210,100860,21.8,38.6,14.8
"49",2014-02-18,50,74.5,33.3,1710,20.52,2.8,47.5,2014,2,18,7,"winter","1.pre","shenzhen","south",16.6,22.2,11.2,90,71,2.1,3.8,16,7.7,1,0.6,0.2,100900,101090,100740,18.9,32,13.2
"50",2014-02-19,51,19.05,89,1620,37.8,6.3,72.5,2014,2,19,8,"winter","1.pre","shenzhen","south",8.2,11.2,6.5,77,64,3.8,7.7,16,13.1,1,0,10.2,101430,101680,101090,9.4,13.4,7.7
"51",2014-02-20,52,45.5,113,1260,45.36,4.9,80,2014,2,20,8,"winter","1.pre","shenzhen","south",10.8,18.6,4.9,58,23,1.5,4.5,2,8.1,3,9.8,0,101720,102010,101490,12.5,30.2,2.7
"52",2014-02-21,53,61.2,97,990,46.44,6.3,66.25,2014,2,21,8,"winter","1.pre","shenzhen","south",12.7,16.7,9.5,69,44,2.8,4.6,4,8,4,4.7,0,101670,101900,101490,12.8,29.7,6.7
"53",2014-02-22,54,59.3,85,1080,35.64,7,76.25,2014,2,22,8,"winter","1.pre","shenzhen","south",14.5,17.8,11.7,65,43,2.8,5.1,4,8.2,3,2.4,0.2,101520,101730,101340,14,28,10.8
"54",2014-02-23,55,52.3,55.5,1080,35.64,9.8,65,2014,2,23,8,"winter","1.pre","shenzhen","south",16.7,21.9,13.9,68,35,3,4.9,3,8.2,4,7.9,0,101480,101690,101270,20.1,37.6,12.2
"55",2014-02-24,56,34.56,71,1080,41.04,14,57.5,2014,2,24,8,"winter","1.pre","shenzhen","south",17.9,23.3,14,71,50,2.9,4.8,7,8.1,7,6.4,0,101280,101510,101030,20.4,41.4,11.8
"56",2014-02-25,57,42.3,113,1260,52.92,15.4,61.25,2014,2,25,8,"winter","1.pre","shenzhen","south",19.3,23.6,17.3,79,63,2.3,4,4,7.7,4,5.9,0,101090,101270,100800,19.9,39.8,15.3
"57",2014-02-26,58,55.1,73,1260,41.04,9.8,56.25,2014,2,26,9,"spring","1.pre","shenzhen","south",20.5,25.1,18.3,82,61,0.9,3,3,4.4,2,3.9,0,101040,101260,100810,21.9,37.9,17.7
"58",2014-02-27,59,42.3,54.39,1260,35.64,9.1,50,2014,2,27,9,"spring","1.pre","shenzhen","south",20.5,24.8,18.6,79,63,3,4.6,4,8.2,7,7.8,0,101100,101440,100880,25.1,44.1,16.7
"59",2014-02-28,60,35.5,79,1170,32.4,6.3,45,2014,2,28,9,"spring","1.pre","shenzhen","south",19,20.8,17.6,82,72,3,5.3,4,9.4,4,1.4,0.2,100900,101170,100690,21.7,32.1,17.1
"60",2014-03-01,61,43.9,77,1530,38.88,8.4,52.5,2014,3,1,9,"spring","1.pre","shenzhen","south",21,24.5,18.3,82,67,1.5,3.9,4,6.7,3,2,0,100680,100910,100450,22.5,34.8,16.8
"61",2014-03-02,62,44.3,53.28,1440,28.08,5.6,65,2014,3,2,9,"spring","1.pre","shenzhen","south",19,21.6,17.4,82,67,2.1,4.5,2,7.6,2,0.8,0,100700,100840,100530,20.1,29.3,17.8
"62",2014-03-03,63,34.09,115,1530,45.36,8.4,61.25,2014,3,3,9,"spring","1.pre","shenzhen","south",15.9,17.5,15.4,82,73,2.8,4.9,5,10.5,2,0,0,100890,101080,100730,17.9,23,15.1
"63",2014-03-04,64,55.5,79,1710,32.4,5.6,60,2014,3,4,9,"spring","1.pre","shenzhen","south",17,19.3,15.5,86,78,2.3,5.1,4,10.8,4,0,0.3,100970,101160,100800,18.3,25.4,15
"64",2014-03-05,65,41.9,67,1530,29.16,7,65,2014,3,5,10,"spring","1.pre","shenzhen","south",16.2,17.3,14.9,80,67,2.6,3.9,3,7,4,0,0.1,101110,101320,100930,17,22.2,14.5
"65",2014-03-06,66,43.1,59,1620,24.84,5.6,46.25,2014,3,6,10,"spring","1.pre","shenzhen","south",15.9,17.7,15,77,66,2.9,5.8,4,10.1,4,1.4,0,100990,101200,100820,17.3,28.1,13.7
"66",2014-03-07,67,40.3,75,1260,28.08,3.5,45,2014,3,7,10,"spring","1.pre","shenzhen","south",14.5,16,14,84,78,3.3,4.8,3,9.3,4,0,0,101240,101430,101060,15.9,21.1,14.6
"67",2014-03-08,68,48.7,45.51,1440,24.84,3.5,36.25,2014,3,8,10,"spring","1.pre","shenzhen","south",15,16.5,13.9,88,79,2.6,4.6,4,8.8,4,0,0.3,101090,101340,100920,16.2,20.5,14.5
"68",2014-03-09,69,27.51,59,1530,28.08,7.7,60,2014,3,9,10,"spring","1.pre","shenzhen","south",13.4,14.9,11.7,80,74,2.3,4.7,2,7.1,1,0,1.2,101340,101590,101130,14.2,17.7,12.8
"69",2014-03-10,70,40.7,93,1530,35.64,8.4,57.5,2014,3,10,10,"spring","1.pre","shenzhen","south",13.1,15.1,11.8,86,76,2.3,4,3,6,3,0,2.4,101460,101690,101260,14.2,20.6,12.2
"70",2014-03-11,71,53.9,143,1530,41.04,6.3,55,2014,3,11,10,"spring","1.pre","shenzhen","south",15.5,17.8,13.5,80,74,3.6,5.2,4,9.4,4,0,0,101220,101560,100940,15.8,21.5,12.7
"71",2014-03-12,72,80.2,111,1710,30.24,3.5,56.25,2014,3,12,11,"spring","1.pre","shenzhen","south",19.4,22.8,16.1,90,79,2.1,4.3,3,6.9,3,0,0.5,100690,101180,100390,20.2,27.2,15.8
