"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,49.9,380.9,NA,73.32,61.4,NA,2014,1,1,1,"winter","1.pre","shijiazhuang","north",4.2,15.3,-1.3,29,13,1.8,4.4,14,6.7,14,8.6,0,101300,101420,101140,1,15.6,-5.3
"2",2014-01-02,3,212.5,311,NA,59.52,55.8,NA,2014,1,2,1,"winter","1.pre","shijiazhuang","north",4.2,13.2,-4.1,35,17,1.6,3.3,11,4.9,11,5.3,0,101480,101740,101240,0.2,13.5,-5.5
"3",2014-01-03,4,152.5,438.6,NA,55.84,51.8,NA,2014,1,3,1,"winter","1.pre","shijiazhuang","north",2.7,9.5,-0.5,42,22,2,6.7,3,10.5,2,7.5,0,101840,102210,101380,1.6,14.1,-4.1
"4",2014-01-04,5,224.5,489.8,NA,61.36,49.4,NA,2014,1,4,1,"winter","1.pre","shijiazhuang","north",2.6,8.4,-3.9,51,30,3,5,10,8.1,10,8.2,0,101880,102280,101500,0.1,10.8,-5.4
"5",2014-01-05,6,269.5,NA,NA,57.68,47.8,NA,2014,1,5,1,"winter","1.pre","shijiazhuang","north",-0.3,7.6,-5.7,55,23,1.6,3.9,4,5.9,4,7.6,0,102080,102280,101580,-0.9,9.5,-5.8
"6",2014-01-06,7,388,NA,NA,54,51,NA,2014,1,6,1,"winter","1.pre","shijiazhuang","north",-3.2,0,-5.8,82,44,0.9,2.4,4,3.4,5,0,0.2,102230,102450,101980,-1.9,2.5,-5.9
"7",2014-01-07,8,397,406.8,NA,39.96,35.8,NA,2014,1,7,1,"winter","1.pre","shijiazhuang","north",-0.6,3,-2.3,77,58,1.2,3.6,1,5.4,1,0,0,102270,102600,102020,-0.7,3.1,-2.4
"8",2014-01-08,9,223.5,335,NA,42.12,43,NA,2014,1,8,2,"winter","1.pre","shijiazhuang","north",-2.5,1.6,-6,69,54,1.1,3.5,4,5.6,3,0,0,102930,103160,102590,-1.8,5.4,-6.3
"9",2014-01-09,10,165.5,457,NA,62.28,66.2,NA,2014,1,9,2,"winter","1.pre","shijiazhuang","north",-2.6,3,-6.5,62,26,1.2,2.9,8,4.8,8,7,0,102890,103160,102650,-2.4,7.1,-6.8
"10",2014-01-10,11,237.5,NA,NA,84.36,67.8,NA,2014,1,10,2,"winter","1.pre","shijiazhuang","north",-3.2,4.6,-8.7,61,34,0.8,2.6,6,3.4,6,7,0,102790,102970,102600,-2.9,6.5,-7.6
"11",2014-01-11,12,440.5,387.9,NA,48.6,41.4,NA,2014,1,11,2,"winter","1.pre","shijiazhuang","north",-2.2,5.7,-6,77,47,1.2,2.4,11,3.6,10,3.3,0,102760,102990,102430,-1.4,6,-6.3
