"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,152.5,253,50500,72.4,22.4,61.25,2014,1,1,1,"winter","1.pre","suzhou","east",8.3,15.8,2.7,45,20,1.6,3.6,12,6.5,12,7.9,0,101980,102160,101800,4.8,20.8,-1.9
"2",2014-01-02,3,191.5,305,50500,75.16,32.2,37.5,2014,1,2,1,"winter","1.pre","suzhou","east",8.8,17.7,1.4,55,18,1,3.5,7,5.9,7,8,0,101820,102030,101550,5.9,23,-1.9
"3",2014-01-03,4,219.5,265,50500,41.04,25.2,16.25,2014,1,3,1,"winter","1.pre","suzhou","east",11.5,16.3,6.8,59,24,1.9,4.3,15,7.1,15,5.4,0,101650,101890,101510,10,22.2,3
"4",2014-01-04,5,177.5,207,48400,51.84,22.4,21.25,2014,1,4,1,"winter","1.pre","suzhou","east",7.2,11.1,4.9,69,49,1.7,3.7,14,6.7,14,0,0,102180,102370,101890,5.8,15.1,2.2
"5",2014-01-05,6,153.5,87,50500,36.72,19.6,73.75,2014,1,5,1,"winter","1.pre","suzhou","east",5,10.9,0.4,78,53,1.3,2.2,7,4.1,8,6.7,0,102380,102530,102210,5.2,20,-2.1
"6",2014-01-06,7,48.3,89,50500,39.96,14,32.5,2014,1,6,1,"winter","1.pre","suzhou","east",7.3,13.2,1.2,71,44,1.9,5.3,6,9.6,6,8,0,102410,102630,102200,6.5,23.1,-2.2
"7",2014-01-07,8,76.4,77,50500,28.08,12.6,51.25,2014,1,7,1,"winter","1.pre","suzhou","east",10.2,11.8,7.9,83,65,2.6,4.6,6,7.5,6,0,4.3,101900,102310,101660,8.9,12.4,4.8
"8",2014-01-08,9,70.7,93,34300,25.92,15.4,47.5,2014,1,8,2,"winter","1.pre","suzhou","east",7,10.1,4.2,87,74,3,4.3,15,10.3,15,0,8.6,102330,102900,101750,6.8,11.9,2.9
"9",2014-01-09,10,61.2,117,50500,41.04,12.6,37.5,2014,1,9,2,"winter","1.pre","suzhou","east",2.7,5.6,0.3,65,43,1.4,3.3,3,6.6,3,6.7,0,103250,103470,102900,3.4,14.8,-0.3
"10",2014-01-10,11,61.2,95,50500,42.12,10.5,20,2014,1,10,2,"winter","1.pre","suzhou","east",3.7,8,-1.6,59,31,1.8,3.7,5,6.1,5,7.8,0,103260,103420,102870,4.2,15.3,-1.2
"11",2014-01-11,12,76.4,161,40400,39.96,21.7,36.25,2014,1,11,2,"winter","1.pre","suzhou","east",5.2,6.3,4.2,82,64,1.4,3.2,4,6.1,4,0,3.5,103080,103260,102920,5,9.1,3.1
"12",2014-01-12,13,155.5,87,38100,24.84,16.8,56.25,2014,1,12,2,"winter","1.pre","suzhou","east",5.5,8.8,4.2,78,45,1.1,3.8,15,6,15,2.1,4.9,103110,103280,102920,6.5,15.5,2.7
