"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,120.1,197,3060,34.56,51,10,2014,1,1,1,"winter","1.pre","taiyuan","north",-0.8,8.8,-7.6,37,20,2.7,5,11,7.7,11,8.2,0,92700,92890,92550,-2.1,17.3,-10.7
"2",2014-01-02,3,131.5,111,2160,20.52,38.2,15,2014,1,2,1,"winter","1.pre","taiyuan","north",-2.4,4.1,-8.2,48,32,1.4,2.5,11,3.5,11,0,0,92820,92980,92650,-4.1,9.4,-10.9
"3",2014-01-03,4,55.1,141,2880,27,56.6,12.5,2014,1,3,1,"winter","1.pre","taiyuan","north",-2,5.9,-7.9,44,24,2,3.3,12,5.4,12,7.6,0,93060,93220,92890,-2.7,15.9,-10.3
"4",2014-01-04,5,103,139,2610,25.92,41.4,7.5,2014,1,4,1,"winter","1.pre","taiyuan","north",-2,7.8,-9.8,43,16,1.6,6,10,9.5,10,7.8,0,92970,93260,92560,-3.1,15.4,-11.9
"5",2014-01-05,6,80.2,191,2970,32.4,51.8,2.5,2014,1,5,1,"winter","1.pre","taiyuan","north",-3.3,6.7,-10,39,16,1.9,2.9,13,4.7,8,8.2,0,93000,93220,92820,-3.2,19.5,-13.3
"6",2014-01-06,7,123.9,189,2700,29.16,45.4,7.5,2014,1,6,1,"winter","1.pre","taiyuan","north",-2.3,2.4,-6.7,45,30,1.5,3.9,2,6.1,4,0,0,92980,93190,92780,-3.1,11.2,-9.7
"7",2014-01-07,8,135.3,75,1800,16.2,39,25,2014,1,7,1,"winter","1.pre","taiyuan","north",0.4,4.2,-3.1,44,29,1.8,5.8,16,8.1,16,0,0,93200,93530,92980,0.5,9.9,-4.2
"8",2014-01-08,9,34.09,135,2340,22.68,39.8,10,2014,1,8,2,"winter","1.pre","taiyuan","north",-3.3,1.5,-5.9,25,12,2.2,6.7,15,10.9,15,7.1,0,93790,94020,93540,-3,15,-9.7
"9",2014-01-09,10,57.4,165,2880,28.08,42.2,5,2014,1,9,2,"winter","1.pre","taiyuan","north",-8.5,0.5,-15.7,37,14,1,3,9,4.9,10,8.2,0,93570,93900,93300,-6.9,13.8,-16.6
"10",2014-01-10,11,112.5,131,2880,23.76,43.8,NA,2014,1,10,2,"winter","1.pre","taiyuan","north",-6.8,1.6,-13.3,37,20,1.6,2.4,5,3,5,7.2,0,93590,93810,93390,-6,13.9,-14.4
"11",2014-01-11,12,84,79,2250,16.2,35.8,10,2014,1,11,2,"winter","1.pre","taiyuan","north",-3.7,4.4,-10.1,33,14,1.7,4.8,15,8.7,15,5.8,0,93730,93920,93520,-3.7,11.3,-11.9
"12",2014-01-12,13,44.7,121,2610,23.76,38.2,NA,2014,1,12,2,"winter","1.pre","taiyuan","north",-3.2,1.8,-8,28,17,1.1,3.9,1,6.5,15,8.3,0,94090,94400,93790,-5.1,14.1,-13.5
"13",2014-01-13,14,57.4,161,2970,28.08,37.4,NA,2014,1,13,2,"winter","1.pre","taiyuan","north",-7.6,2.3,-15,39,15,1.7,2.1,10,3.3,9,8.4,0,93670,94060,93310,-6.4,15.8,-16.8
"14",2014-01-14,15,125.8,237,3510,30.24,47.8,NA,2014,1,14,2,"winter","1.pre","taiyuan","north",-6.6,2.8,-13,37,19,1.5,2.9,4,3.8,4,7.4,0,93810,94050,93430,-6.5,14.8,-16
"15",2014-01-15,16,162.5,227,3420,33.48,52.6,3.75,2014,1,15,3,"winter","1.pre","taiyuan","north",-6.7,3.8,-13.7,39,17,1.1,2.4,6,3.3,10,7.1,0,93630,93950,93260,-6.1,15.9,-16.4
"16",2014-01-16,17,171.5,121,2970,22.68,42.2,12.5,2014,1,16,3,"winter","1.pre","taiyuan","north",-4.1,5.4,-11.1,38,16,1.7,3,8,4.7,8,7.6,0,93380,93620,93240,-3.9,16.6,-13.4
"17",2014-01-17,18,61.2,225,3420,30.24,68.6,6.25,2014,1,17,3,"winter","1.pre","taiyuan","north",-5.8,3.2,-13.3,39,18,1.2,5.6,1,9,15,8.4,0,93760,94050,93430,-4.5,18.9,-15.2
"18",2014-01-18,19,141,147,2610,17.28,48.6,25,2014,1,18,3,"winter","1.pre","taiyuan","north",-6.4,4.6,-14.1,41,17,1.4,2.4,9,3.6,8,8.9,0,93880,94220,93440,-5.4,19,-16.1
"19",2014-01-19,20,51.1,71,2160,11.88,39.8,25,2014,1,19,3,"winter","1.pre","taiyuan","north",-1.1,5.9,-7.1,28,12,3.1,9.1,15,15.8,14,7.4,0,93440,93690,93210,-0.1,17.1,-10
"20",2014-01-20,21,35.5,161,3150,25.92,61.4,17.5,2014,1,20,3,"winter","1.pre","taiyuan","north",-3.1,3.1,-7.2,27,14,3,6.8,14,11.3,15,9.3,0,93870,93970,93670,-3.3,15.3,-11.5
"21",2014-01-21,22,150.5,265,4050,34.56,88.2,25,2014,1,21,3,"winter","1.pre","taiyuan","north",-6.9,4,-14,36,17,1.2,2.5,4,4.7,11,8.3,0,93840,94150,93520,-5.8,16.1,-16.2
"22",2014-01-22,23,180.5,369,5000,44.28,123.4,31.25,2014,1,22,4,"winter","1.pre","taiyuan","north",-5.1,7.4,-12.5,36,14,0.9,2.3,5,3.8,11,8.4,0,93080,93540,92660,-4.5,18.9,-15.3
"23",2014-01-23,24,243.5,197,3780,31.32,56.6,20,2014,1,23,4,"winter","1.pre","taiyuan","north",-2.6,8.5,-10,35,17,1.6,2.8,15,4.4,16,6.6,0,92410,92840,91980,-2.8,17.3,-12.6
"24",2014-01-24,25,212.5,171,3600,27,54.2,17.5,2014,1,24,4,"winter","1.pre","taiyuan","north",2.8,11.2,-3.2,31,14,2.9,8.2,4,13.4,4,5,0,92380,92820,92110,2.3,17.6,-5.7
"25",2014-01-25,26,165.5,233,3870,32.4,61.4,11.25,2014,1,25,4,"winter","1.pre","taiyuan","north",-0.9,8.3,-8,32,16,1.6,3.5,4,4.9,3,8,0,93170,93390,92830,-1.2,20.4,-10.7
"26",2014-01-26,27,188.5,281,4140,42.12,74.2,8.75,2014,1,26,4,"winter","1.pre","taiyuan","north",-1.7,5.5,-6.9,41,24,2.1,6.3,3,10,3,6.7,0,93330,93670,92900,-1.6,17.1,-10.2
"27",2014-01-27,28,228.5,135,1710,23.76,35.8,16.25,2014,1,27,4,"winter","1.pre","taiyuan","north",0.8,8.1,-7.3,40,23,2.2,4.2,1,6.5,1,2.4,0,92810,93090,92620,-0.7,16.9,-9.5
