"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,93.5,366.2,3690,62.28,55,5,2014,1,1,1,"winter","1.pre","tianjin","north",2.3,11.5,-3.4,39,17,1.2,2.9,12,3.9,1,7.7,0,101500,101760,101260,-1.5,21,-10.3
"2",2014-01-02,3,150.5,159,2250,41.04,40.6,13.75,2014,1,2,1,"winter","1.pre","tianjin","north",1.5,8.7,-3.4,58,30,1.7,3.1,1,3.7,3,5.6,0,101780,102010,101540,-1.3,16.7,-9.6
"3",2014-01-03,4,68.8,103,1620,37.8,42.2,13.75,2014,1,3,1,"winter","1.pre","tianjin","north",1.8,8.8,-2.4,58,24,1.5,6.7,1,8.2,1,7.4,0,102160,102530,101660,-0.8,19.1,-8
"4",2014-01-04,5,52.7,183,2160,38.88,40.6,20,2014,1,4,1,"winter","1.pre","tianjin","north",0,7.2,-4.2,68,26,2.5,4.6,8,6.5,7,6.7,0,102250,102600,101920,-2.5,16.1,-9.3
"5",2014-01-05,6,112.5,183,2610,41.04,42.2,12.5,2014,1,5,1,"winter","1.pre","tianjin","north",-0.9,6.6,-6.3,73,28,2.9,5.6,1,7.2,1,7.3,0,102410,102680,102010,-1.7,17.2,-11.4
"6",2014-01-06,7,127.7,181,2430,37.8,42.2,15,2014,1,6,1,"winter","1.pre","tianjin","north",-1.4,2.7,-5.4,84,65,1.8,3.1,7,3.6,7,1.2,0,102610,102810,102380,-1.2,12.8,-10.2
"7",2014-01-07,8,116.3,65,900,24.84,31.5,32.5,2014,1,7,1,"winter","1.pre","tianjin","north",1.2,6.4,-1.2,64,26,2.5,6.9,1,8.9,1,4.3,0,102590,102930,102320,0.9,13.5,-5.9
"8",2014-01-08,9,39.1,103,1260,33.48,30.8,21.25,2014,1,8,2,"winter","1.pre","tianjin","north",-2.8,0.7,-5.3,41,18,2.6,7.2,1,9.4,1,7.4,0,103310,103530,102930,-4.4,11.7,-12.5
"9",2014-01-09,10,49.5,291,2340,46.44,55,12.5,2014,1,9,2,"winter","1.pre","tianjin","north",-5.5,0.6,-9.7,42,17,1.1,4.3,1,5.4,1,7.3,0,103230,103490,102980,-7.4,15,-16
"10",2014-01-10,11,171.5,497.8,3600,61.36,54.2,8.75,2014,1,10,2,"winter","1.pre","tianjin","north",-4,3,-9.1,66,30,1.3,2.4,11,3,11,7,0,103110,103290,102950,-6.7,13.2,-15.3
"11",2014-01-11,12,339.5,95,1260,27,30.8,28.75,2014,1,11,2,"winter","1.pre","tianjin","north",-3.9,2.4,-8.1,80,55,1.5,2.7,9,3.6,9,0,0,103080,103280,102790,-6.6,9.5,-14
"12",2014-01-12,13,52.3,173,1980,42.12,52.6,11.25,2014,1,12,2,"winter","1.pre","tianjin","north",-2.1,2.7,-7.9,38,16,2.8,5.2,1,6.5,1,8,0,103580,103930,102990,-4.1,18.4,-13.5
"13",2014-01-13,14,108.7,263,2430,50.76,53.4,7.5,2014,1,13,2,"winter","1.pre","tianjin","north",-3.7,3.3,-8.2,64,35,1.9,3.7,12,5.1,11,5.1,0,103260,103630,102940,-6.3,12.7,-14.5
"14",2014-01-14,15,154.5,450.6,3600,61.36,51,10,2014,1,14,2,"winter","1.pre","tianjin","north",-4.2,2.5,-8.5,70,31,1.1,2.2,1,2.8,16,5.6,0,103370,103560,103100,-6.2,14,-13.4
"15",2014-01-15,16,306.5,369.7,2970,47.52,48.6,10,2014,1,15,3,"winter","1.pre","tianjin","north",-3.4,3,-8.5,84,59,1.5,3,10,3.8,11,4.4,0,103170,103430,102900,-6.5,9.1,-14.1
"16",2014-01-16,17,270.5,207,2430,37.8,43,7.5,2014,1,16,3,"winter","1.pre","tianjin","north",-0.9,1.7,-3.8,86,74,2.3,3.8,6,4.7,6,0,0,102770,103000,102560,-1.8,7.2,-9.4
"17",2014-01-17,18,150.5,370.4,3690,54,51,8.75,2014,1,17,3,"winter","1.pre","tianjin","north",-0.8,2.6,-2.5,70,51,2.1,6.7,6,8.4,6,3.4,0,103150,103280,103000,-0.7,10,-7
"18",2014-01-18,19,232.5,382.3,2970,50.76,51.8,11.25,2014,1,18,3,"winter","1.pre","tianjin","north",-2,5.4,-7.9,68,26,2.4,4.4,6,5.4,6,5.9,0,103330,103590,103180,-1.6,15.8,-11
"19",2014-01-19,20,237.5,101,900,16.2,18.2,28.75,2014,1,19,3,"winter","1.pre","tianjin","north",-1.1,2.5,-3.7,64,47,2.4,4.8,11,5.8,11,0.9,0,102490,103260,102090,-1.9,9.6,-7.7
"20",2014-01-20,21,26.57,52.17,1260,24.84,34.3,25,2014,1,20,3,"winter","1.pre","tianjin","north",-0.3,2.9,-3.7,26,19,5.9,11.6,16,15.4,1,8,0,102890,103210,102340,-1.7,12.9,-8.7
"21",2014-01-21,22,38.3,203,2250,44.28,50.2,16.25,2014,1,21,3,"winter","1.pre","tianjin","north",-2.7,3.4,-7,34,19,2.8,6,16,7.6,16,7.9,0,103270,103540,102970,-5.1,18.2,-14.9
"22",2014-01-22,23,127.7,239,2070,46.44,48.6,10,2014,1,22,4,"winter","1.pre","tianjin","north",-1.9,5.8,-7.7,43,24,1.4,3.4,7,3.9,8,7.1,0,102390,102970,102140,-4.4,17.4,-13.5
"23",2014-01-23,24,151.5,355.7,4500,59.52,55.8,8.75,2014,1,23,4,"winter","1.pre","tianjin","north",-0.5,6,-4.9,50,32,2.1,4.9,10,5.7,10,1.7,0,101690,102250,101310,-4.1,18.4,-11.2
