"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,180.5,217,4050,49.68,16.8,5,2014,1,1,1,"winter","1.pre","urumqi","northwest",-10.2,-3.4,-12.9,43,30,2.7,4.1,12,5,12,6.4,0,80810,81010,80630,-3.6,-3.3,-3.9
"2",2014-01-02,3,192.5,368.3,3960,62.28,24.5,5,2014,1,2,1,"winter","1.pre","urumqi","northwest",-10.4,-3,-13.2,41,22,2.5,3.9,12,5.2,12,6.2,0,80980,81080,80930,-3.8,-3.3,-4
"3",2014-01-03,4,358,249,1170,55.84,36.6,3.75,2014,1,3,1,"winter","1.pre","urumqi","northwest",-7.1,1.3,-11.8,37,22,2.6,4.2,12,5.4,12,6.5,0,80830,81040,80600,-3.7,-3.3,-4.1
"4",2014-01-04,5,274.5,113,630,41.04,17.5,10,2014,1,4,1,"winter","1.pre","urumqi","northwest",-5.6,0,-9.4,36,19,2,4.3,11,5.3,11,0,0,80260,80620,80110,-3.6,-3.2,-3.8
"5",2014-01-05,6,118.2,127,1170,38.88,26.6,5,2014,1,5,1,"winter","1.pre","urumqi","northwest",-14.6,-5.8,-16.4,74,45,1.7,3.6,11,5.7,3,2,0.1,80570,80760,80360,-3.8,-3.2,-4.1
"6",2014-01-06,7,133.4,215,2880,34.56,31.5,5,2014,1,6,1,"winter","1.pre","urumqi","northwest",-18.3,-13.4,-21.3,75,65,1.3,3.7,2,5.4,2,4.6,0.7,81030,81350,80710,-4.3,-3.9,-4.5
"7",2014-01-07,8,204.5,151,2070,34.56,34.3,6.25,2014,1,7,1,"winter","1.pre","urumqi","northwest",-16.8,-8.9,-21.1,57,28,2.4,3.7,12,5.1,12,6.5,0,81310,81470,81150,-4.6,-4.2,-4.8
"8",2014-01-08,9,150.5,293,3600,41.04,30.8,5,2014,1,8,2,"winter","1.pre","urumqi","northwest",-15.7,-10.4,-19.7,49,34,1.3,3.9,11,4.9,12,6.8,0,80580,81150,80410,-4.8,-4.5,-5
"9",2014-01-09,10,189.5,384.4,5200,41.04,21.7,5,2014,1,9,2,"winter","1.pre","urumqi","northwest",-10.7,-4.5,-16.6,33,23,1.9,3.9,12,4.9,11,6.5,0,80460,80720,80310,-5,-4.6,-5.2
"10",2014-01-10,11,265.5,241,3330,21.6,21.7,3.75,2014,1,10,2,"winter","1.pre","urumqi","northwest",-12.7,-6.6,-15.4,34,18,2.9,4.1,12,5.2,12,7.1,0,81220,81480,80710,-4.8,-4.6,-5
"11",2014-01-11,12,129.6,217,1890,12.96,28,7.5,2014,1,11,2,"winter","1.pre","urumqi","northwest",-10.4,-3.1,-15.2,35,20,1.2,4,12,5.1,12,6.6,0,81260,81560,80970,-4.9,-4.6,-5.2
"12",2014-01-12,13,93.5,41.07,1440,11.88,22.4,5,2014,1,12,2,"winter","1.pre","urumqi","northwest",-10,-2.1,-14.8,40,24,1.6,4.1,12,5.1,12,6.6,0,80630,80990,80490,-4.9,-4.5,-5.2
"13",2014-01-13,14,49.9,139,2520,12.96,24.5,3.75,2014,1,13,2,"winter","1.pre","urumqi","northwest",-8.4,-1.6,-12.9,38,24,2.1,4.5,12,5.7,12,6.6,0,80550,80710,80410,-4.7,-4.3,-5
"14",2014-01-14,15,139.1,201,2520,18.36,28.7,3.75,2014,1,14,2,"winter","1.pre","urumqi","northwest",-7.2,-0.6,-11.5,38,24,2.3,4.2,11,5.8,11,6.7,0,80770,80850,80700,-4.6,-4.1,-4.9
"15",2014-01-15,16,157.5,105,2340,16.2,24.5,3.75,2014,1,15,3,"winter","1.pre","urumqi","northwest",-5.7,1.5,-9.3,48,28,2.7,4.1,11,4.8,12,6.7,0,80530,80750,80410,-4.3,-3.8,-4.6
"16",2014-01-16,17,99.2,55.5,1800,33.48,14,12.5,2014,1,16,3,"winter","1.pre","urumqi","northwest",-7.1,-1.5,-10.9,44,29,2,3.6,11,5.1,4,6.9,0,80790,80950,80470,-4.2,-3.7,-4.5
"17",2014-01-17,18,47.1,59,1710,33.48,7,8.75,2014,1,17,3,"winter","1.pre","urumqi","northwest",-10.5,-6.6,-14.4,72,57,1.5,3.5,16,6,1,0,1,81100,81460,80740,-4.4,-3.8,-4.7
"18",2014-01-18,19,39.9,52.17,2070,30.24,11.2,7.5,2014,1,18,3,"winter","1.pre","urumqi","northwest",-11.5,-5.2,-15.9,71,52,2.3,3.9,12,5.3,12,6.9,1.2,81410,81540,81200,-4.2,-4.1,-4.4
"19",2014-01-19,20,43.1,91,3600,46.44,21.7,3.75,2014,1,19,3,"winter","1.pre","urumqi","northwest",-5.3,2.2,-11.6,38,23,2.5,4.4,12,5.6,12,6.8,0,81050,81240,80900,-4.2,-3.9,-4.5
"20",2014-01-20,21,104.9,79,3960,49.68,18.9,5,2014,1,20,3,"winter","1.pre","urumqi","northwest",-2.1,4.3,-4.9,26,12,2.2,3.9,12,5.5,12,6.4,0,80860,81180,80580,-3.9,-3.5,-4.2
"21",2014-01-21,22,91.6,52.17,3060,41.04,15.4,5,2014,1,21,3,"winter","1.pre","urumqi","northwest",-4.1,2.9,-6.1,41,16,1.6,4.1,11,6.5,1,6.8,0,80120,80620,79750,-3.7,-3.3,-4
