"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,152.5,357.8,2520,51.84,60.6,31.25,2014,1,1,1,"winter","1.pre","weifang","east",2.8,12.5,-2.3,36,16,1.4,5.1,13,8.8,14,8.4,0,101380,101580,101250,-0.9,15.4,-7.5
"2",2014-01-02,3,189.5,333,1260,43.2,42.2,31.25,2014,1,2,1,"winter","1.pre","weifang","east",3.4,12.8,-3.6,47,17,1.2,3.8,9,7.3,9,6.9,0,101660,101910,101440,0.1,14.4,-6.1
"3",2014-01-03,4,169.5,155,1260,30.24,36.6,32.5,2014,1,3,1,"winter","1.pre","weifang","east",4.1,6.4,-0.5,54,39,2.4,5.5,2,11.7,2,8.1,0,101740,102210,101370,1.1,10.9,-3.5
"4",2014-01-04,5,76.4,325,1890,43.2,47,17.5,2014,1,4,1,"winter","1.pre","weifang","east",0,6.8,-6.7,59,23,1.8,3.8,9,6.8,9,7.9,0,102140,102430,101880,-1.4,12.9,-8.8
"5",2014-01-05,6,183.5,331,2340,42.12,44.6,21.25,2014,1,5,1,"winter","1.pre","weifang","east",1.6,6,-2.5,77,51,1.5,3.9,9,7.3,9,7.9,0,102130,102370,101910,-1.3,8.1,-6
"6",2014-01-06,7,214.5,422.2,2970,56.76,53.4,20,2014,1,6,1,"winter","1.pre","weifang","east",-1,3,-6.6,92,80,1.3,2.5,7,4.5,3,0,0,102370,102600,102160,-0.9,7,-6.5
"7",2014-01-07,8,298.5,87,990,16.2,19.6,40,2014,1,7,1,"winter","1.pre","weifang","east",2.6,7.7,-0.8,84,62,1.1,4,16,7.1,1,0,0,102170,102400,101990,2.3,10.4,-2.8
"8",2014-01-08,9,38.7,205,1620,39.96,50.2,33.75,2014,1,8,2,"winter","1.pre","weifang","east",-0.7,3,-3.7,64,50,2.9,5.1,4,9.3,3,5,0,102860,103140,102390,-0.3,8.5,-5.4
"9",2014-01-09,10,152.5,385.8,2610,62.28,56.6,27.5,2014,1,9,2,"winter","1.pre","weifang","east",-4.1,2.6,-8.5,60,22,0.7,2.6,13,4.9,13,7.8,0,103000,103260,102760,-3.5,10.2,-9.4
"10",2014-01-10,11,244.5,420.8,2340,59.52,61.4,31.25,2014,1,10,2,"winter","1.pre","weifang","east",-2.9,4.3,-9.2,59,33,0.8,2.9,11,4.2,11,7.9,0,102960,103130,102750,-3.3,9.5,-10.1
