"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,183.5,366.2,2430,71.48,33.6,15,2014,1,1,1,"winter","1.pre","wuhan","central",4.4,17.9,-2.6,74,23,0.5,2.7,9,4.5,8,7.1,0,101710,102020,101440,6.3,30.1,-3.9
"2",2014-01-02,3,202.5,301,1890,54.92,35,35,2014,1,2,1,"winter","1.pre","wuhan","central",4.4,15.5,-2.5,75,32,0.9,2.1,15,3,16,3.6,0,101420,101580,101220,4.4,24.2,-3.7
"3",2014-01-03,4,218.5,213,1800,52.92,30.8,30,2014,1,3,1,"winter","1.pre","wuhan","central",6,16.2,-1,64,16,1.8,5.5,15,9.2,15,6.9,0,101820,102070,101490,6.9,27.1,-2.8
"4",2014-01-04,5,129.6,283,2340,61.36,34.3,33.75,2014,1,4,1,"winter","1.pre","wuhan","central",4.5,16,-1.1,62,16,0.7,1.7,6,3.4,2,8.1,0,102100,102380,101860,6.9,30.1,-2.7
"5",2014-01-05,6,202.5,303,2340,52.92,30.8,36.25,2014,1,5,1,"winter","1.pre","wuhan","central",4.1,16.1,-3.5,66,15,1.2,4,4,5.9,5,7.9,0,101800,102030,101530,5.9,28,-4.7
"6",2014-01-06,7,224.5,243,2700,35.64,7.7,47.5,2014,1,6,1,"winter","1.pre","wuhan","central",6.9,10.2,2.9,67,32,1.5,4.1,2,6.1,2,0,1,101560,101740,101380,5.9,11.8,0.6
"7",2014-01-07,8,285.5,193,2610,34.56,35,31.25,2014,1,7,1,"winter","1.pre","wuhan","central",5.4,6.2,5,93,86,3,4.4,16,8,16,0,16.7,101720,102080,101470,5.6,6.7,4.9
"8",2014-01-08,9,228.5,281,2790,48.6,32.2,28.75,2014,1,8,2,"winter","1.pre","wuhan","central",4.7,7.8,1.2,82,61,3.1,5.7,1,9.2,16,0,1.3,102640,102910,102070,5.8,13.1,1
"9",2014-01-09,10,271.5,155,1620,39.96,26.6,28.75,2014,1,9,2,"winter","1.pre","wuhan","central",1.7,8.8,-2.3,85,49,1.2,2.7,1,3.8,1,0,0,102830,103100,102610,4.3,16.5,-0.8
"10",2014-01-10,11,195.5,89,1170,31.32,15.4,47.5,2014,1,10,2,"winter","1.pre","wuhan","central",3.2,6.8,-1.2,84,59,2.3,3.8,2,5.4,3,0,0.8,102600,102790,102430,3.1,8.2,-0.2
"11",2014-01-11,12,108.7,181,1530,37.8,21,45,2014,1,11,2,"winter","1.pre","wuhan","central",4.1,5.2,2.8,90,79,1.2,3,1,4.4,1,0,5,102760,102940,102640,4.6,8.3,3.2
"12",2014-01-12,13,183.5,333,2250,56.76,30.8,18.75,2014,1,12,2,"winter","1.pre","wuhan","central",4.8,10.6,-1.1,72,35,1.6,4.8,2,7.8,2,5.9,0,103020,103230,102800,5.8,16.9,-0.2
"13",2014-01-13,14,294.5,289,2250,52.92,27.3,26.25,2014,1,13,2,"winter","1.pre","wuhan","central",2.3,10.1,-2.3,78,30,0.7,3,16,5,16,6.2,0,102860,103170,102550,4.4,17.3,-0.4
"14",2014-01-14,15,255.5,205,1530,42.12,24.5,33.75,2014,1,14,2,"winter","1.pre","wuhan","central",1.6,10.9,-3.5,86,37,1,3.2,6,4.9,7,6.2,0,102800,103010,102600,4.4,17.3,-0.5
"15",2014-01-15,16,192.5,183,1620,59.52,32.2,37.5,2014,1,15,3,"winter","1.pre","wuhan","central",2.1,10.6,-2.5,79,35,1.5,3.8,6,6.1,6,7.2,0,102850,103100,102540,4.2,18,-0.8
"16",2014-01-16,17,148.6,307,1890,59.52,28,41.25,2014,1,16,3,"winter","1.pre","wuhan","central",5.3,13.1,-0.4,70,32,1,2.2,1,4.1,15,5.8,0,102470,102640,102250,7,21.9,-0.3
"17",2014-01-17,18,280.5,295,2070,52.92,35,37.5,2014,1,17,3,"winter","1.pre","wuhan","central",5,13.5,-0.6,77,39,0.9,2.6,13,4,13,7.3,0,102630,102840,102450,6.4,19.8,-0.3
"18",2014-01-18,19,267.5,281,1890,62.28,32.9,30,2014,1,18,3,"winter","1.pre","wuhan","central",2.3,11.5,-4,68,17,1,3.2,3,5.1,4,8.1,0,103140,103490,102840,5,21.9,-1.6
