"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,139.1,243,50500,78.84,25.2,32.5,2014,1,1,1,"winter","1.pre","wuxi","east",7.2,16,0.5,53,23,1.2,3.8,13,6.3,13,8.7,0,101980,102150,101790,5.5,21.6,-2.6
"2",2014-01-02,3,189.5,333,50500,79.76,28.7,21.25,2014,1,2,1,"winter","1.pre","wuxi","east",6.5,16.8,0.4,62,27,1.6,4.1,7,6.2,7,8.3,0,101810,102010,101530,5.5,22.9,-2.5
"3",2014-01-03,4,213.5,241,48400,39.96,20.3,18.75,2014,1,3,1,"winter","1.pre","wuxi","east",11,16.4,5.6,58,26,2,4,15,5.9,15,4.8,0,101700,101940,101540,9.7,22.1,2.5
"4",2014-01-04,5,164.5,213,48500,50.76,21.7,30,2014,1,4,1,"winter","1.pre","wuxi","east",6.4,10.7,3.5,70,48,1.5,3,15,4.9,15,0,0,102230,102450,101930,5.9,14.7,1.3
"5",2014-01-05,6,166.5,101,50500,39.96,13.3,38.75,2014,1,5,1,"winter","1.pre","wuxi","east",5.3,12.6,-0.6,75,41,1.4,2.9,6,4.6,6,6.3,0,102360,102510,102190,5.6,20.2,-2.5
"6",2014-01-06,7,51.9,91,50500,39.96,10.5,26.25,2014,1,6,1,"winter","1.pre","wuxi","east",7,13.1,0.9,71,43,3.2,6.1,7,9.5,7,8.2,0,102360,102600,102140,6.5,21.8,-2.7
"7",2014-01-07,8,54.3,75,50500,25.92,7,31.25,2014,1,7,1,"winter","1.pre","wuxi","east",9.2,11.2,7.5,86,66,1.8,4,7,6.1,7,0,3.9,101900,102220,101670,8.6,13.5,4.5
"8",2014-01-08,9,51.5,101,34200,25.92,14.7,22.5,2014,1,8,2,"winter","1.pre","wuxi","east",6.2,9.3,3.3,88,77,2.4,4.9,1,9.6,1,0,8.9,102440,103000,101820,6.1,8.8,2.2
"9",2014-01-09,10,68.8,111,50500,39.96,16.1,33.75,2014,1,9,2,"winter","1.pre","wuxi","east",2.1,5.6,-0.6,69,44,1.3,3.1,5,5.7,4,8.2,0,103280,103510,102990,3.7,14.5,-0.1
"10",2014-01-10,11,63.1,101,50500,35.64,11.2,20,2014,1,10,2,"winter","1.pre","wuxi","east",3.1,7.8,-1.5,65,41,2.1,5.1,6,7.6,8,8.1,0,103220,103420,102860,4.1,14.7,-0.6
"11",2014-01-11,12,76.4,165,42000,37.8,16.1,31.25,2014,1,11,2,"winter","1.pre","wuxi","east",4.4,5.3,4,84,59,2.2,3.9,6,6.2,6,0,5,103090,103290,102930,4.5,7.2,3.1
"12",2014-01-12,13,154.5,127,37200,28.08,14.7,26.25,2014,1,12,2,"winter","1.pre","wuxi","east",5.7,8.7,4,79,52,1.2,3.1,16,5,16,2.2,2.8,103150,103330,102970,6.5,14.1,3
"13",2014-01-13,14,66.9,103,50500,37.8,16.1,30,2014,1,13,2,"winter","1.pre","wuxi","east",3.8,6.2,1.6,69,49,2.3,3.5,4,5.7,4,4.7,0,103260,103480,103080,4.5,14.3,-0.2
"14",2014-01-14,15,54.7,97,46400,37.8,13.3,37.5,2014,1,14,2,"winter","1.pre","wuxi","east",2.1,7.7,-2.6,72,35,1.4,3.1,4,5.5,1,8.4,0,103280,103450,103140,3.3,16.4,-0.8
"15",2014-01-15,16,78.3,121,20600,43.2,14,33.75,2014,1,15,3,"winter","1.pre","wuxi","east",1.5,7.8,-3.1,76,40,1,3.1,6,4.9,4,8.7,0,103410,103650,103170,3.5,16.2,-1.8
"16",2014-01-16,17,84,203,34300,57.68,21.7,38.75,2014,1,16,3,"winter","1.pre","wuxi","east",4.2,10.4,-0.9,75,41,1.5,4.4,8,7.2,8,8.5,0,102880,103250,102590,4.7,17.4,-0.9
"17",2014-01-17,18,158.5,285,46400,42.12,23.1,36.25,2014,1,17,3,"winter","1.pre","wuxi","east",6.1,12.4,0.9,69,33,1.1,3.1,15,5,16,7.3,0,102700,102830,102490,5.4,18.4,0
"18",2014-01-18,19,239.5,301,48500,47.52,17.5,61.25,2014,1,18,3,"winter","1.pre","wuxi","east",4,7.6,2.1,75,45,2.1,4,14,6.6,15,3.8,0,103410,103650,102830,4,14.2,-0.2
"19",2014-01-19,20,246.5,327,38600,41.04,25.9,32.5,2014,1,19,3,"winter","1.pre","wuxi","east",4.1,10.3,-2.2,70,37,1.6,4.4,9,7.1,9,6.8,0,102920,103540,102490,3.9,16.7,-2.1
"20",2014-01-20,21,200.5,127,44400,30.24,20.3,37.5,2014,1,20,3,"winter","1.pre","wuxi","east",5.9,10,2.6,51,21,3.2,5.1,15,9.2,15,7.3,0,102780,103030,102560,4.5,16.9,-0.5
"21",2014-01-21,22,51.9,191,40200,34.56,15.4,26.25,2014,1,21,3,"winter","1.pre","wuxi","east",2.4,6.3,-0.6,43,22,2,5.6,15,10.6,16,9.1,0,103270,103470,103030,2.9,16.9,-2.4
"22",2014-01-22,23,87.8,123,30200,44.28,17.5,27.5,2014,1,22,4,"winter","1.pre","wuxi","east",1.3,7.7,-4.2,58,23,1.3,2.9,10,5.4,7,8.8,0,103060,103380,102850,3,19.1,-4
"23",2014-01-23,24,93.5,111,50500,45.36,11.9,45,2014,1,23,4,"winter","1.pre","wuxi","east",5.4,12.8,-0.4,54,22,2.7,4.2,9,7.5,8,9.4,0,102380,102880,101990,5.1,20.6,-2.4
"24",2014-01-24,25,78.3,219,42300,37.8,17.5,30,2014,1,24,4,"winter","1.pre","wuxi","east",9.1,19.3,2.8,57,23,2.2,4.6,9,7,10,9.2,0,101650,102040,101380,7.4,25.4,-1
"25",2014-01-25,26,173.5,95,26600,18.36,12.6,36.25,2014,1,25,4,"winter","1.pre","wuxi","east",10.5,14.6,7.7,55,33,3.4,6.1,14,10.5,3,0.5,0,101930,102530,101420,9,17.1,3.5
"26",2014-01-26,27,46.3,83,25250,28.08,8.4,38.75,2014,1,26,4,"winter","1.pre","wuxi","east",6.2,9.7,3.9,65,44,2.5,4.8,2,8.7,3,7.6,0,102980,103300,102530,8.6,21.9,2.8
"27",2014-01-27,28,47.1,181,48300,31.32,15.4,43.75,2014,1,27,4,"winter","1.pre","wuxi","east",7.8,14.2,0.8,63,30,2.7,4.4,9,6.8,8,8.8,0,102330,102920,101950,8,24.6,-1.7
"28",2014-01-28,29,82.1,113,32000,24.84,8.4,30,2014,1,28,4,"winter","1.pre","wuxi","east",8,13.1,3.6,76,48,2.5,4.8,5,7.5,4,4.1,0,102370,102650,102070,8.4,19.3,2.3
"29",2014-01-29,30,85.9,199,40400,31.32,12.6,38.75,2014,1,29,5,"winter","1.pre","wuxi","east",8.1,10.7,5.7,90,74,1.3,4.9,4,8.1,5,0,1.8,102030,102700,101640,7.6,12.7,4.3
"30",2014-01-30,31,178.5,255,42300,21.6,9.8,45,2014,1,30,5,"winter","1.pre","wuxi","east",10,16.6,7.4,87,61,1,2.9,14,5.2,15,4.9,0,101850,102070,101710,11.5,23.7,6.4
"31",2014-01-31,32,206.5,115,50500,20.52,10.5,51.25,2014,1,31,5,"winter","1.pre","wuxi","east",12.9,20.3,7.8,82,55,2.8,4.7,8,7.5,8,5.9,0,101810,102090,101490,13.6,26.6,6.5
"32",2014-02-01,33,103,371.8,34700,29.16,9.1,16.25,2014,2,1,5,"winter","1.pre","wuxi","east",17,23.6,12,69,43,2.5,4.9,14,8.1,13,6.8,0,101230,101520,101000,15.1,29,8.4
"33",2014-02-02,34,251.5,177,40300,15.12,7.7,36.25,2014,2,2,5,"winter","1.pre","wuxi","east",12.1,16.4,10.7,89,70,1.5,3.1,15,5.3,16,0,0,101180,101430,100830,14,21.7,10.9
"34",2014-02-03,35,80.2,55.5,50500,11.88,10.5,45,2014,2,3,5,"winter","1.pre","wuxi","east",7.4,12.5,4.1,80,59,3.1,6.4,4,11,3,0,0,101790,102460,100980,8.3,12.6,4.7
"35",2014-02-04,36,31.74,38.85,42200,11.88,5.6,38.75,2014,2,4,5,"winter","1.pre","wuxi","east",3.2,6.6,0.2,56,38,2.8,5.2,5,10.2,5,8.3,0,102680,102920,102460,6.9,20.1,-0.6
"36",2014-02-05,37,29.86,17.76,29600,9.72,4.2,31.25,2014,2,5,6,"winter","1.pre","wuxi","east",3.4,5,2.4,83,50,3.8,6.2,6,9.4,6,0,7.8,102300,102710,101920,4.1,5.1,2
"37",2014-02-06,38,17.64,39.96,10220,20.52,7.7,35,2014,2,6,6,"winter","1.pre","wuxi","east",6.2,6.7,5,95,92,3.8,6.3,4,10.7,4,0,23.2,101840,102000,101730,6.4,6.9,5.1
"38",2014-02-07,39,34.09,77,15140,12.96,9.8,35,2014,2,7,6,"winter","1.pre","wuxi","east",3.6,6.3,2,93,90,3.1,5.3,4,9.2,4,0,20.8,101890,102010,101720,4.5,6.2,3.2
"39",2014-02-08,40,61.2,83,6700,14.04,10.5,30,2014,2,8,6,"winter","1.pre","wuxi","east",1.8,4,0,75,57,2.3,4.4,15,7.6,16,2.5,0.1,102280,102470,102020,4.2,16,-0.2
"40",2014-02-09,41,61.2,52.17,12980,11.88,7.7,36.25,2014,2,9,6,"winter","1.pre","wuxi","east",0.9,2.1,-0.5,70,66,3,4.8,2,9.2,2,0,0.1,102680,102910,102400,1.6,5.2,0.1
