"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,164.5,289,3420,30.24,15.4,NA,2014,1,1,1,"winter","1.pre","xian","northwest",-0.2,11.5,-7.8,46,17,0.8,2.9,14,3.2,14,8.4,0,96400,96680,96060,-0.2,20.5,-9.3
"2",2014-01-02,3,172.5,382.3,2070,37.8,10.5,NA,2014,1,2,1,"winter","1.pre","xian","northwest",1.5,10.9,-4.2,45,17,2.4,5.8,14,7.3,14,4.1,0,96520,96790,96260,0,17.4,-6.3
"3",2014-01-03,4,178.5,203,2700,29.16,10.5,NA,2014,1,3,1,"winter","1.pre","xian","northwest",2.4,11.5,-4.1,34,14,3,6.5,14,7.4,14,8.7,0,96930,97190,96720,1.3,21.2,-7.4
"4",2014-01-04,5,97.3,357.8,2520,29.16,14,NA,2014,1,4,1,"winter","1.pre","xian","northwest",1.2,12,-7.3,45,18,1.2,2.5,11,3.7,10,8.5,0,96630,97000,96240,-0.1,20.4,-8.6
"5",2014-01-05,6,176.5,362,2610,28.08,18.9,NA,2014,1,5,1,"winter","1.pre","xian","northwest",0.5,6.3,-6.4,42,22,1.3,4,3,5.3,3,2.4,0,96310,96600,96040,-0.5,15.1,-7.4
"6",2014-01-06,7,171.5,185,1980,20.52,6.3,NA,2014,1,6,1,"winter","1.pre","xian","northwest",2.5,5.1,-0.3,50,36,2.1,3.8,4,5.4,3,0,0,96330,96570,96170,2.3,9.7,-2.9
"7",2014-01-07,8,63.1,139,1710,15.12,5.6,NA,2014,1,7,1,"winter","1.pre","xian","northwest",3.4,6.7,0.2,63,30,2.2,4.7,12,5.9,12,0,0,96930,97290,96570,2.9,11.3,-1.6
"8",2014-01-08,9,49.1,191,2160,20.52,12.6,NA,2014,1,8,2,"winter","1.pre","xian","northwest",1.2,6.5,-2.1,37,14,1.5,3.6,14,4.9,14,7.3,0,97600,97920,97290,2.3,19.9,-6.1
"9",2014-01-09,10,84,331,2790,29.16,24.5,NA,2014,1,9,2,"winter","1.pre","xian","northwest",-1.8,2.6,-7,35,22,2.4,4.1,4,5.5,4,8.2,0,97180,97580,96850,-1.6,14.2,-8.1
"10",2014-01-10,11,150.5,315,2430,20.52,15.4,NA,2014,1,10,2,"winter","1.pre","xian","northwest",-0.7,4.6,-6.3,44,27,1.5,2.2,1,3.2,12,2.6,0,97120,97380,96980,-0.8,12.2,-7.5
"11",2014-01-11,12,162.5,155,1620,16.2,14,NA,2014,1,11,2,"winter","1.pre","xian","northwest",0.9,7.6,-3.9,49,21,2.7,5.1,11,6.6,11,6.1,0,97510,97760,97220,1.4,14.7,-4.5
"12",2014-01-12,13,47.1,225,1980,28.08,25.9,NA,2014,1,12,2,"winter","1.pre","xian","northwest",-0.8,6.8,-5,39,16,1.6,5.2,14,5.9,14,8.4,0,97880,98230,97660,0,18.7,-7.3
"13",2014-01-13,14,112.5,357.8,2610,56.76,24.5,NA,2014,1,13,2,"winter","1.pre","xian","northwest",-3.6,4.8,-10.4,50,21,1.6,3.8,4,4.8,4,8.3,0,97170,97780,96690,-1.9,18,-10.4
"14",2014-01-14,15,180.5,442.6,2700,58.6,23.8,NA,2014,1,14,2,"winter","1.pre","xian","northwest",-4.1,4.8,-9.4,60,23,1.3,3,4,4.3,5,8.1,0,97380,97660,96840,-3,13.8,-9.9
"15",2014-01-15,16,283.5,478.6,3330,65.96,22.4,NA,2014,1,15,3,"winter","1.pre","xian","northwest",-2.3,2.7,-6.9,60,38,1.4,3.2,3,4.4,2,0,0,97220,97480,96970,-1.5,11,-7.8
