,date,X,PM25,PM10,CO,NO2,SO2,O3,year,month,day,week,season,covid,city,region,avgtemp,maxtemp,mintemp,avgrh,minrh,avgws,maxws,maxwswd,extremews,extremewswd,daylight,precipitation,avgp,maxp,minp,avggt,maxgt,mingt
1,2014/1/1,2,63.1,83,2970,33.48,21,25,2014,1,1,1,winter,1.pre,xining,northwest,-8.9,3.4,-17.3,43,16,0.5,1.9,10,3.6,10,5.3,0,76830,77220,76420,-7.7,12.3,-18.7
2,2014/1/2,3,51.1,153,3240,36.72,31.5,27.5,2014,1,2,1,winter,1.pre,xining,northwest,-7.6,1.3,-13.6,44,22,0.4,1.8,9,4.1,6,7.4,0,77040,77300,76720,-6,11.9,-15.2
3,2014/1/3,4,66.9,159,1980,36.72,28.7,32.5,2014,1,3,1,winter,1.pre,xining,northwest,-9.1,0.9,-17.6,48,18,0.8,3,11,6.5,11,5.3,0,77370,77500,77180,-8.4,11.9,-18.8
4,2014/1/4,5,70.7,183,2790,33.48,32.2,32.5,2014,1,4,1,winter,1.pre,xining,northwest,-8.5,4.2,-16.8,40,12,0.4,3.5,13,8.1,13,7.8,0,77050,77450,76650,-7.5,15.9,-19
5,2014/1/5,6,99.2,209,2160,30.24,25.2,36.25,2014,1,5,1,winter,1.pre,xining,northwest,-9.6,2.9,-17.6,44,14,0.6,1.8,3,2.9,3,6.2,0,76560,76880,76190,-8,15.5,-19
6,2014/1/6,7,112.5,189,1080,24.84,16.1,32.5,2014,1,6,1,winter,1.pre,xining,northwest,-8.4,-0.8,-14.9,45,29,1.1,2.7,10,5.7,9,5.8,0,76520,76720,76340,-9,8.3,-16.8
7,2014/1/7,8,61.2,133,1440,22.68,19.6,32.5,2014,1,7,1,winter,1.pre,xining,northwest,-10.4,-3.5,-16.2,48,27,1.1,2.9,7,6.2,5,0,0,77120,77340,76700,-10,4.5,-17.7
8,2014/1/8,9,52.7,187,2430,25.92,35,35,2014,1,8,2,winter,1.pre,xining,northwest,-11.5,-2.4,-19.4,52,26,0.6,2.6,8,5.6,7,8,0,77360,77630,77020,-8.6,11.4,-19.8
9,2014/1/9,10,122,167,1800,30.24,18.2,47.5,2014,1,9,2,winter,1.pre,xining,northwest,-12.3,-1,-20.9,54,19,0.7,1.5,4,3.6,10,7,0,76940,77270,76530,-9.1,12.9,-21.6
10,2014/1/10,11,91.6,179,2070,28.08,18.9,48.75,2014,1,10,2,winter,1.pre,xining,northwest,-9.6,-1.1,-15.4,46,19,0.3,2.2,6,4,7,6.2,0,77020,77230,76720,-7.2,11.5,-16.8
11,2014/1/11,12,118.2,197,2520,35.64,34.3,41.25,2014,1,11,2,winter,1.pre,xining,northwest,-12.1,-4,-18.5,52,29,0.9,2.8,10,4.9,10,5.6,0,77560,77760,77170,-11.2,7.4,-19.4
12,2014/1/12,13,129.6,241,2970,35.64,32.2,41.25,2014,1,12,2,winter,1.pre,xining,northwest,-11.5,0.3,-17.6,49,21,0.5,1.7,10,2.8,9,7.1,0,77670,77940,77380,-8.8,12.5,-18.5
13,2014/1/13,14,156.5,219,3240,33.48,33.6,41.25,2014,1,13,2,winter,1.pre,xining,northwest,-10.4,4.6,-18.5,44,12,0.7,2,3,3.5,12,7.7,0,77150,77520,76750,-8.9,15.7,-20.7
14,2014/1/14,15,133.4,303,3600,34.56,32.9,32.5,2014,1,14,2,winter,1.pre,xining,northwest,-10.4,3.6,-18,40,12,0.7,1.6,7,3.2,6,7,0,77170,77460,76850,-8.8,14.8,-19.8
15,2014/1/15,16,166.5,219,2250,34.56,28,35,2014,1,15,3,winter,1.pre,xining,northwest,-8.5,6.1,-18,40,11,0.9,3.7,10,6.7,10,7.8,0,77070,77230,76760,-7.6,16.6,-19.7
16,2014/1/16,17,144.8,209,2880,34.56,39,20,2014,1,16,3,winter,1.pre,xining,northwest,-9.4,6.6,-17.8,41,12,0.4,1.5,11,3.2,11,8,0,77330,77540,77060,-8,16.1,-19.5
17,2014/1/17,18,141,305,2700,30.24,32.2,22.5,2014,1,17,3,winter,1.pre,xining,northwest,-8.9,6.7,-17.2,42,12,0.6,1.9,7,3.4,6,7.5,0,77520,77800,77280,-7.6,17,-19.1
18,2014/1/18,19,152.5,249,1170,27,23.8,26.25,2014,1,18,3,winter,1.pre,xining,northwest,-6.8,9.4,-16.3,40,11,1.4,3.7,10,7.8,10,8.1,0,77250,77480,76810,-5.6,18.8,-18.4
19,2014/1/19,20,78.3,279,2250,32.4,27.3,27.5,2014,1,19,3,winter,1.pre,xining,northwest,-5.7,1.9,-9.2,34,17,0.8,3.4,8,7.5,9,6.1,0,77710,77920,77140,-4.1,13.3,-11.2
20,2014/1/20,21,150.5,187,2340,30.24,30.1,26.25,2014,1,20,3,winter,1.pre,xining,northwest,-9.7,6.6,-18.2,42,7,0.7,2.1,3,4,14,7.6,0,77740,77990,77380,-7.7,16.8,-19.7
