"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,53.9,117,1620,29.16,36.6,NA,2014,1,1,1,"winter","1.pre","yinchuan","northwest",-3.2,4.4,-8.6,43,21,1,2.5,2,3.3,2,7.5,NA,89120,89330,88980,-5.7,15.1,-14.4
"2",2014-01-02,3,47.5,77,1530,29.16,34.3,NA,2014,1,2,1,"winter","1.pre","yinchuan","northwest",-1.7,4,-6.6,38,23,2.1,3.9,14,5.9,14,6.5,NA,89340,89530,89150,-3.4,15,-11.8
"3",2014-01-03,4,42.7,75,1260,22.68,25.2,NA,2014,1,3,1,"winter","1.pre","yinchuan","northwest",-2.3,6.4,-9.5,42,19,1.1,4.7,14,5.9,14,7.2,NA,89510,89710,89360,-5,16.4,-16.2
"4",2014-01-04,5,34.09,119,2070,24.84,32.9,NA,2014,1,4,1,"winter","1.pre","yinchuan","northwest",-0.6,8.2,-6.2,28,14,1.5,3.8,13,4.8,15,7.6,NA,89220,89570,88980,-4.9,17.7,-14.2
"5",2014-01-05,6,53.5,151,2790,32.4,47.8,NA,2014,1,5,1,"winter","1.pre","yinchuan","northwest",-4.1,2.3,-10.1,39,23,1.6,3.8,16,5.2,3,6,NA,88970,89200,88690,-6,13.3,-15.3
"6",2014-01-06,7,89.7,103,1440,24.84,48.6,NA,2014,1,6,1,"winter","1.pre","yinchuan","northwest",-3,1.8,-6.7,40,24,0.9,2.5,1,3.1,1,0,NA,89020,89380,88760,-4.1,11.1,-12.3
"7",2014-01-07,8,45.1,55.5,900,18.36,37.4,NA,2014,1,7,1,"winter","1.pre","yinchuan","northwest",-5.5,-0.8,-8.5,37,23,2.1,3.8,6,4.6,7,3.8,NA,89890,90250,89380,-6.1,11.2,-14.8
"8",2014-01-08,9,34.56,73,1440,22.68,38.2,NA,2014,1,8,2,"winter","1.pre","yinchuan","northwest",-6.9,-1.7,-11.8,32,21,1.8,4.4,8,6.3,8,7.7,NA,90120,90390,89930,-7.8,11.8,-17.9
"9",2014-01-09,10,42.7,127,2520,33.48,44.6,NA,2014,1,9,2,"winter","1.pre","yinchuan","northwest",-9.4,-3.7,-14.8,38,24,1.6,3.1,1,4.2,15,7.9,NA,89650,90060,89340,-11.1,9.1,-20.7
"10",2014-01-10,11,74.5,99,2160,29.16,50.2,NA,2014,1,10,2,"winter","1.pre","yinchuan","northwest",-6.7,-1.4,-12,38,22,0.6,1.8,16,2.3,9,0,NA,89810,90030,89590,-7.5,10.1,-17.5
"11",2014-01-11,12,59.3,77,1620,29.16,49.4,NA,2014,1,11,2,"winter","1.pre","yinchuan","northwest",-5.5,1.2,-11.8,38,18,1.8,3.9,14,6,14,5.6,NA,90170,90380,89970,-6.8,12.5,-17.2
"12",2014-01-12,13,42.7,121,2520,31.32,41.4,NA,2014,1,12,2,"winter","1.pre","yinchuan","northwest",-7.2,-0.6,-13.4,37,19,1.2,4.1,7,5.3,6,7.9,NA,90390,90620,90170,-9.4,14.3,-20
"13",2014-01-13,14,76.4,103,1980,29.16,43.8,NA,2014,1,13,2,"winter","1.pre","yinchuan","northwest",-8.1,0,-14.5,46,20,1.4,3,2,3.8,2,5.2,NA,89670,90170,89400,-10.6,11.1,-20.4
"14",2014-01-14,15,55.1,175,3150,35.64,61.4,NA,2014,1,14,2,"winter","1.pre","yinchuan","northwest",-6.5,0.5,-12.7,37,19,1.5,3.5,4,5.6,3,7.7,NA,89920,90160,89660,-8.7,12.5,-19.5
"15",2014-01-15,16,93.5,173,2970,35.64,48.6,NA,2014,1,15,3,"winter","1.pre","yinchuan","northwest",-6.1,1.8,-11.8,38,18,1,2.9,9,3.5,11,7.1,NA,89570,89840,89440,-7,14.3,-15.9
"16",2014-01-16,17,108.7,125,1980,32.4,49.4,NA,2014,1,16,3,"winter","1.pre","yinchuan","northwest",-6.5,1.5,-12.5,43,20,1.1,2.3,1,2.8,2,7.6,NA,89710,89880,89580,-9.1,13.3,-18.9
"17",2014-01-17,18,54.3,143,2520,27,47.8,NA,2014,1,17,3,"winter","1.pre","yinchuan","northwest",-6.1,0.9,-13.2,38,20,1.6,2.6,10,4,9,7.6,NA,90210,90510,89770,-9.2,15,-20.4
"18",2014-01-18,19,72.6,115,1710,15.12,33.6,NA,2014,1,18,3,"winter","1.pre","yinchuan","northwest",-6.3,0.7,-12.3,40,20,2.1,4.7,8,6.2,9,6.9,NA,89830,90220,89570,-7.3,13.4,-16.5
"19",2014-01-19,20,33.62,95,2160,25.92,47.8,NA,2014,1,19,3,"winter","1.pre","yinchuan","northwest",-2,2.9,-6.5,27,16,2.6,6.9,14,10.8,14,7.7,NA,90140,90370,89810,-3.5,18.1,-13.2
"20",2014-01-20,21,50.7,125,2700,35.64,46.2,NA,2014,1,20,3,"winter","1.pre","yinchuan","northwest",-6.3,0.9,-13.1,36,18,1.5,4,8,5.5,9,8,NA,90260,90450,90090,-8.7,14,-19.4
"21",2014-01-21,22,82.1,191,3780,41.04,54.2,NA,2014,1,21,3,"winter","1.pre","yinchuan","northwest",-5.1,2.6,-12.9,34,18,1.1,2.1,1,2.8,16,7.8,NA,89850,90200,89450,-8,17.8,-19.6
"22",2014-01-22,23,118.2,215,3960,47.52,59.8,NA,2014,1,22,4,"winter","1.pre","yinchuan","northwest",-4.3,5.5,-11.8,41,19,1.2,2.3,16,2.8,1,7.4,NA,88890,89460,88510,-6,18.6,-18.1
"23",2014-01-23,24,142.9,245,4320,46.44,56.6,NA,2014,1,23,4,"winter","1.pre","yinchuan","northwest",-3.4,4.6,-9,43,24,0.9,2.4,11,3.1,1,4.8,NA,88680,88870,88430,-5.4,15.8,-15.1
"24",2014-01-24,25,155.5,169,3600,30.24,43.8,NA,2014,1,24,4,"winter","1.pre","yinchuan","northwest",-1.1,6.1,-5.8,37,17,1.2,2.2,8,3.3,9,3.2,NA,89150,89410,88760,-1.6,19.2,-11
"25",2014-01-25,26,97.3,223,4320,46.44,67.8,NA,2014,1,25,4,"winter","1.pre","yinchuan","northwest",-2.4,4.9,-9.2,39,22,1.3,2.7,2,3.6,2,7.6,NA,89430,89600,89300,-4.4,17.6,-15
