,date,X,PM25,PM10,CO,NO2,SO2,O3,year,month,day,week,season,covid,city,region,avgtemp,maxtemp,mintemp,avgrh,minrh,avgws,maxws,maxwswd,extremews,extremewswd,daylight,precipitation,avgp,maxp,minp,avggt,maxgt,mingt
1,2014/1/1,2,39.5,191,1980,34.56,41.4,NA,2014,1,1,1,winter,1.pre,zhengzhou,central,9.7,16.3,4.1,19,11,2.7,5.8,13,9.9,14,8.4,0,100400,100620,100200,7.2,27.3,-4.5
2,2014/1/2,3,91.6,127,1530,22.68,30.8,NA,2014,1,2,1,winter,1.pre,zhengzhou,central,7.3,12.9,0.6,32,19,1.5,3.1,15,5.4,15,2.8,0,100460,100660,100310,5.9,24.8,-4.9
3,2014/1/3,4,43.9,177,1530,29.16,21.7,NA,2014,1,3,1,winter,1.pre,zhengzhou,central,8.8,12.7,5.4,22,16,3.1,6.6,13,11.8,14,7.5,0,100770,101090,100450,7.5,23.9,-1.2
4,2014/1/4,5,54.7,205,2070,33.48,32.9,NA,2014,1,4,1,winter,1.pre,zhengzhou,central,4.7,12.8,-2.5,41,19,1.6,3,9,6.1,9,7.8,0,100930,101260,100560,3,23.8,-7.2
5,2014/1/5,6,91.6,195,1980,31.32,32.9,NA,2014,1,5,1,winter,1.pre,zhengzhou,central,3.4,9.6,-2,43,23,1.4,4.3,4,7.7,4,7.1,0,100900,101180,100590,1.5,20.1,-7.9
6,2014/1/6,7,125.8,235,2430,35.64,39,NA,2014,1,6,1,winter,1.pre,zhengzhou,central,4.1,6.5,2.2,57,41,1.8,4.2,4,6.7,4,0,0,100990,101230,100750,4,14.2,-2.6
7,2014/1/7,8,159.5,125,1980,31.32,31.5,NA,2014,1,7,1,winter,1.pre,zhengzhou,central,5.2,7.5,4.3,63,53,2,3.4,3,8.6,1,0,0,101080,101460,100890,5.1,13,2.4
8,2014/1/8,9,85.9,115,1620,25.92,23.8,NA,2014,1,8,2,winter,1.pre,zhengzhou,central,2.7,6.2,-0.4,45,34,1.2,2.9,3,5.6,1,0.8,0,101800,102010,101460,2.5,17.2,-5.7
9,2014/1/9,10,72.6,233,2340,32.4,30.1,NA,2014,1,9,2,winter,1.pre,zhengzhou,central,-0.4,5.9,-6.5,57,29,1.3,3.1,9,5.4,10,6.6,0,101780,102050,101520,-0.7,17.5,-10.5
10,2014/1/10,11,131.5,357.8,3240,33.48,30.8,NA,2014,1,10,2,winter,1.pre,zhengzhou,central,1.3,6.2,-2.9,59,37,1,2.6,5,4.1,5,1.9,0,101660,101810,101510,0.8,16,-6.4
11,2014/1/11,12,207.5,109,2520,24.84,25.9,NA,2014,1,11,2,winter,1.pre,zhengzhou,central,3.2,8.7,-1.6,66,40,1.1,2.1,16,3.6,13,0,0,101760,102040,101480,2.3,16.1,-5.1
12,2014/1/12,13,55.1,185,2700,30.24,27.3,NA,2014,1,12,2,winter,1.pre,zhengzhou,central,4.4,7.1,2.5,24,16,2.4,4.9,13,8.7,13,5.2,0,102100,102430,101580,2.7,16.9,-5
13,2014/1/13,14,99.2,215,2880,24.84,16.8,NA,2014,1,13,2,winter,1.pre,zhengzhou,central,1,7.7,-5.2,41,20,1.3,3.1,9,5.9,9,6.2,0,101810,102310,101370,-0.5,18.5,-9.9
14,2014/1/14,15,139.1,255,3150,27,24.5,NA,2014,1,14,2,winter,1.pre,zhengzhou,central,0.8,2.8,-0.8,76,37,1.3,2.6,6,4.2,5,0,0,101950,102170,101490,-0.2,8.5,-6.4
15,2014/1/15,16,166.5,275,3150,34.56,35,NA,2014,1,15,3,winter,1.pre,zhengzhou,central,0.4,4.4,-2.6,78,61,1.5,2.9,6,5.4,5,0,0,101880,102190,101580,-0.1,11.6,-7.1
16,2014/1/16,17,167.5,384.4,3960,41.04,37.4,NA,2014,1,16,3,winter,1.pre,zhengzhou,central,3.1,10.8,-2.1,62,24,2,4.5,15,8.8,13,4.1,0,101390,101650,101170,2,19.8,-6.2
17,2014/1/17,18,288.5,335,3690,33.48,28.7,NA,2014,1,17,3,winter,1.pre,zhengzhou,central,0.8,10.2,-4.9,63,16,2.1,4.8,15,9.3,1,4.3,0,101710,102130,101500,-0.4,20.7,-8.7
