Unnamed: 0,date,X,PM25,PM10,CO,NO2,SO2,O3,year,month,day,week,season,covid,city,region,avgtemp,maxtemp,mintemp,avgrh,minrh,avgws,maxws,maxwswd,extremews,extremewswd,daylight,precipitation,avgp,maxp,minp,avggt,maxgt,mingt,weekday
2216,2020-01-25,2208.0,401.5,333.0,1350.0,29.16,7.7,41.25,2020,1,25,4,winter,2.ing,baoding,north,-2.6,5.7,-8.3,70.0,3.5553480614894135,0.5877866649021191,2.2,10,1.5686159179138452,11,3.7,0.0,103190.0,103460.0,102940.0,-2.2,15.6,-10.5,5
2217,2020-01-26,2209.0,255.5,321.0,1980.0,27.0,9.8,41.25,2020,1,26,4,winter,2.ing,baoding,north,-3.5,4.3,-9.3,77.0,3.8501476017100584,0.3364722366212129,2.6,2,1.5260563034950492,1,0.1,0.0,103070.0,103310.0,102910.0,-2.3,12.4,-10.3,6
2218,2020-01-27,2210.0,265.5,329.0,1890.0,25.92,6.3,46.25,2020,1,27,4,winter,2.ing,baoding,north,0.2,5.9,-2.5,71.0,3.8066624897703196,0.6418538861723947,2.8,11,1.7404661748405046,11,0.0,0.0,102390.0,102930.0,102100.0,0.6,14.5,-4.2,0
2219,2020-01-28,2211.0,269.5,215.0,1620.0,28.08,7.0,53.75,2020,1,28,4,winter,2.ing,baoding,north,0.2,5.7,-3.5,72.0,3.828641396489095,0.8329091229351039,3.2,4,1.7578579175523736,4,0.0,0.0,102250.0,102410.0,102110.0,0.1,12.1,-6.5,1
2220,2020-01-29,2212.0,185.5,143.0,1260.0,22.68,7.0,46.25,2020,1,29,5,winter,2.ing,baoding,north,-0.6,8.7,-5.8,75.0,3.5553480614894135,0.4054651081081644,2.3,15,1.667706820558076,10,6.4,0.0,102410.0,102550.0,102230.0,-0.3,19.5,-7.4,2
2221,2020-01-30,2213.0,103.0,163.0,1710.0,20.52,6.3,53.75,2020,1,30,5,winter,2.ing,baoding,north,-1.7,7.8,-8.1,67.0,3.258096538021482,0.6418538861723947,3.5,9,1.8870696490323797,9,8.3,0.0,102380.0,102630.0,102160.0,-0.9,18.2,-9.6,3
2222,2020-01-31,2214.0,135.3,103.0,1170.0,19.44,3.5,40.0,2020,1,31,5,winter,2.ing,baoding,north,-1.7,8.8,-8.1,74.0,3.5553480614894135,0.4054651081081644,2.1,4,1.5686159179138452,7,6.9,0.0,102100.0,102260.0,101900.0,-0.8,20.0,-9.7,4
2223,2020-02-01,2215.0,53.5,61.0,630.0,7.56,2.8,40.0,2020,2,1,5,winter,2.ing,baoding,north,-0.3,5.9,-7.3,49.0,3.044522437723423,0.7419373447293773,3.7,5,1.9459101490553132,5,5.3,0.0,102680.0,102950.0,102220.0,-0.5,18.3,-10.4,5
2224,2020-02-02,2216.0,45.5,93.0,900.0,14.04,3.5,43.75,2020,2,2,5,winter,2.ing,baoding,north,-1.0,3.4,-4.6,87.0,3.295836866004329,1.0296194171811581,3.5,4,1.8562979903656263,7,2.6,0.0,102660.0,102840.0,102500.0,0.1,17.4,-7.6,6
2225,2020-02-03,2217.0,53.1,57.0,720.0,11.88,3.5,37.5,2020,2,3,5,winter,2.ing,baoding,north,-2.3,5.0,-8.4,72.0,3.091042453358316,0.9932517730102834,5.6,8,2.312535423847214,10,8.2,0.0,102650.0,103010.0,102210.0,-1.1,17.5,-10.0,0
